zone_id,zone_type,start_m,end_m,corner_number,length_m
straight_01,straight,0.0,203.88374054700716,,203.88374054700716
brake_T1,brake,203.88374054700716,323.88374054700716,1.0,120.0
corner_T1,corner,323.88374054700716,383.88374054700716,1.0,60.0
brake_T2,brake,383.88374054700716,406.7003365555678,2.0,22.816596008560623
corner_T2,corner,406.7003365555678,466.7003365555678,2.0,60.0
straight_02,straight,466.7003365555678,932.2892742801762,,465.5889377246084
brake_T3,brake,932.2892742801762,1052.2892742801762,3.0,120.0
corner_T3,corner,1052.2892742801762,1112.2892742801762,3.0,60.0
brake_T4,brake,1112.2892742801762,1210.170991042173,4.0,97.88171676199681
corner_T4,corner,1210.170991042173,1270.170991042173,4.0,60.0
straight_03,straight,1270.170991042173,1285.14938555486,,14.978394512686918
brake_T5,brake,1285.14938555486,1405.14938555486,5.0,120.0
corner_T5,corner,1405.14938555486,1465.14938555486,5.0,60.0
straight_04,straight,1465.14938555486,1714.7055004409924,,249.5561148861325
brake_T6,brake,1714.7055004409924,1834.7055004409924,6.0,120.0
corner_T6,corner,1834.7055004409924,1894.7055004409924,6.0,60.0
brake_T7,brake,1894.7055004409924,1957.203084628555,7.0,62.49758418756255
corner_T7,corner,1957.203084628555,2017.203084628555,7.0,60.0
brake_T8,brake,2017.203084628555,2127.2061344201793,8.0,110.00304979162433
corner_T8,corner,2127.2061344201793,2187.2061344201793,8.0,60.0
straight_05,straight,2187.2061344201793,3129.161824308824,,941.9556898886449
brake_T9,brake,3129.161824308824,3249.161824308824,9.0,120.0
corner_T9,corner,3249.161824308824,3309.161824308824,9.0,60.0
brake_T10,brake,3309.161824308824,3353.648575155501,10.0,44.48675084667684
corner_T10,corner,3353.648575155501,3413.648575155501,10.0,60.0
straight_06,straight,3413.648575155501,3937.7654403282904,,524.1168651727894
brake_T11,brake,3937.7654403282904,4057.7654403282904,11.0,120.0
corner_T11,corner,4057.7654403282904,4117.76544032829,11.0,60.0
straight_07,straight,4117.76544032829,4209.092824256714,,91.32738392842384
brake_T12,brake,4209.092824256714,4329.092824256714,12.0,120.0
corner_T12,corner,4329.092824256714,4389.092824256714,12.0,60.0
straight_08,straight,4389.092824256714,4458.497211042661,,69.40438678594637
brake_T13,brake,4458.497211042661,4578.497211042661,13.0,120.0
corner_T13,corner,4578.497211042661,4638.497211042661,13.0,60.0
brake_T14,brake,4638.497211042661,4734.984350201991,14.0,96.48713915933058
corner_T14,corner,4734.984350201991,4794.984350201991,14.0,60.0
straight_09,straight,4794.984350201991,5465.505555555557,,670.5212053535661
