Driver,LapNumber,D_lap,H_lap,n_valid_samples,freeze_flag,yellow_flag,thin_lap,IsAccurate,TrackStatus,max_dt_used,mean_throttle,n_dt_gaps,calibration_set,error
NOR,1,3282.6237749999996,8981.037037037036,361,False,False,False,False,1,0.84,53.11357340720222,1,False,
NOR,2,3418.294808333333,9242.586419753086,332,False,False,False,True,1,0.8,58.855421686746986,1,True,
NOR,3,3428.841222222222,8786.734567901232,332,False,False,False,True,1,0.881,60.924698795180724,1,True,
NOR,4,3619.6914583333337,8579.771604938273,329,False,False,False,True,1,0.879,63.808510638297875,0,True,
NOR,5,3421.7800333333334,8029.124691358024,328,False,False,False,True,1,0.92,58.917682926829265,1,True,
NOR,6,3549.6466361111106,7730.401851851851,323,False,False,False,True,1,0.92,60.60061919504644,0,True,
NOR,7,3638.581238888889,8915.117901234567,308,False,False,False,True,1,0.999,62.701298701298704,0,True,
NOR,8,3547.0853888888887,9402.203703703708,307,False,False,False,True,1,0.88,64.41693811074919,3,True,
NOR,9,3484.5547194444443,9333.55061728395,325,False,False,False,True,1,0.96,62.86769230769231,1,True,
NOR,10,3660.7886583333334,8762.524691358025,316,False,False,False,True,1,0.92,64.76582278481013,1,True,
NOR,11,0.0,0.0,379,True,False,False,False,16,0.761,52.20316622691293,2,False,
NOR,12,0.0,0.0,439,True,False,False,False,6,1.0,32.55125284738041,0,False,
NOR,13,0.0,0.0,426,True,False,False,False,671,0.88,40.755868544600936,1,False,
NOR,14,3639.0740916666664,8193.336419753086,306,False,False,False,True,1,0.76,63.16339869281046,1,True,
NOR,15,3678.8156194444446,7673.30061728395,325,False,False,False,True,1,1.0,63.932307692307695,1,True,
NOR,16,3490.1915638888886,7392.007407407407,311,False,False,False,True,1,1.0,63.938906752411576,2,True,
NOR,17,3600.4379750000003,7974.515432098767,304,False,False,False,True,1,0.92,64.01644736842105,2,True,
NOR,18,0.0,0.0,348,True,False,False,False,126,0.96,47.53735632183908,1,False,
NOR,19,0.0,0.0,438,True,False,False,False,67,0.881,29.35388127853881,1,False,
NOR,20,0.0,0.0,322,True,False,False,False,71,0.84,63.22049689440994,0,False,
NOR,21,3661.139036111111,7895.917901234567,314,False,False,False,True,1,0.96,64.03503184713375,1,True,
NOR,22,3803.177313888889,7054.046296296297,300,False,False,False,True,1,1.0,67.54333333333334,1,True,
NOR,23,3665.2575194444444,6458.691975308642,297,False,False,False,True,1,1.0,66.35353535353535,2,True,
NOR,24,3785.1390611111115,7660.356790123456,306,False,False,False,True,1,1.0,67.95751633986929,1,True,
NOR,25,3851.7364055555554,7238.813580246914,309,False,False,False,True,1,0.72,66.20711974110033,0,True,
NOR,26,3796.8396361111113,6902.043827160492,314,False,False,False,True,1,0.96,68.59235668789809,1,True,
NOR,27,3798.1669666666667,7712.567283950617,321,False,False,False,True,1,0.961,64.74766355140187,0,True,
NOR,28,3645.812052777778,7312.8679012345665,312,False,False,False,True,1,0.88,65.70192307692308,3,True,
NOR,29,3841.768658333333,8122.533950617284,312,False,False,False,True,1,0.84,65.84615384615384,0,True,
NOR,30,3788.8836361111107,7878.096913580246,322,False,False,False,True,1,0.919,67.38509316770187,0,True,
NOR,31,3680.235561111111,7666.526543209879,305,False,False,False,True,1,0.879,65.65245901639344,2,True,
NOR,32,3807.1375500000004,7087.691975308641,306,False,False,False,True,1,0.84,67.15032679738562,2,True,
NOR,33,3773.7230611111113,7689.306790123457,322,False,False,False,True,1,0.96,66.43478260869566,2,True,
NOR,34,0.0,0.0,411,True,False,False,False,167,0.8,42.42335766423358,1,False,
NOR,35,0.0,0.0,332,True,False,False,False,1,0.84,61.68975903614458,1,False,
NOR,36,3699.1720277777777,6913.558641975309,308,False,False,False,True,1,0.881,62.85064935064935,1,True,
NOR,37,3694.026422222222,8518.74074074074,305,False,False,False,True,1,0.92,65.38688524590164,1,True,
NOR,38,3625.792775,9247.333333333332,323,False,False,False,True,1,0.8,63.0,0,True,
NOR,39,3694.7265194444444,7434.608641975308,312,False,False,False,True,1,0.92,64.8076923076923,1,True,
NOR,40,3786.0035083333332,7382.301234567901,321,False,False,False,True,1,0.92,66.2834890965732,0,True,
NOR,41,3791.0159972222227,7464.342592592591,327,False,False,False,True,1,0.68,65.3302752293578,0,True,
NOR,42,3716.695125,7393.657407407407,309,False,False,False,True,1,1.0,68.76051779935275,1,True,
NOR,43,3807.3999249999997,7789.641975308642,316,False,False,False,True,1,0.88,66.3006329113924,1,True,
NOR,44,3808.3275583333334,6769.364814814815,305,False,False,False,True,1,0.48,66.8,0,True,
NOR,45,3862.213761111111,6880.916666666666,313,False,False,False,True,1,0.92,67.66453674121406,1,True,
NOR,46,3696.4724166666665,7883.156172839506,298,False,False,False,True,1,0.52,65.37919463087249,1,True,
NOR,47,3751.885222222222,8051.6518518518515,311,False,False,False,True,1,0.999,66.40192926045016,1,True,
NOR,48,3819.3746555555554,6081.348765432098,305,False,False,False,True,1,1.0,67.3016393442623,0,True,
NOR,49,3748.645025,7381.2870370370365,307,False,False,False,True,1,0.72,67.9413680781759,2,True,
NOR,50,3985.505933333333,6500.225308641975,295,False,False,False,True,1,0.8,70.55932203389831,1,True,
NOR,51,3703.645005555555,7173.493209876544,304,False,False,False,True,1,0.8,66.9967105263158,2,True,
NOR,52,3956.1843694444447,7343.544444444446,299,False,False,False,True,1,0.961,67.76588628762542,0,True,
NOR,53,3783.8855138888885,5267.335185185186,306,False,False,False,True,1,0.961,65.68300653594771,1,True,
NOR,54,3788.649213888889,6702.922839506173,304,False,False,False,True,1,0.959,67.0032894736842,1,True,
NOR,55,3869.8122527777778,8368.064814814814,307,False,False,False,True,1,0.96,66.61237785016287,0,True,
NOR,56,3763.9754944444444,7192.422839506171,313,False,False,False,True,1,0.76,65.20447284345047,1,True,
NOR,57,3594.0285555555556,8225.938271604937,315,False,False,False,True,1,0.48,64.43174603174603,2,True,
NOR,58,3826.209983333333,7724.443209876543,298,False,False,False,True,1,0.96,66.43959731543625,1,True,
GAS,1,3557.133519444444,9839.445679012346,365,False,False,False,False,1,0.84,59.53150684931507,1,False,
GAS,2,3638.451411111111,7590.706172839507,333,False,False,False,True,1,0.8,64.61861861861861,1,True,
GAS,3,3354.0670638888887,7668.072222222221,304,False,False,False,True,1,0.881,63.64473684210526,1,True,
GAS,4,3247.0693833333335,5916.2530864197515,290,False,False,False,True,1,0.879,66.85862068965517,0,True,
GAS,6,3518.0626722222223,8455.664197530865,314,False,False,False,True,1,0.92,65.82165605095541,0,True,
GAS,7,3624.6586555555555,9131.493209876548,300,False,False,False,True,1,0.999,66.35,0,True,
GAS,8,3013.7269305555556,9093.104938271606,277,False,False,False,True,1,0.88,64.12996389891697,3,True,
