Driver,DriverNumber,LapNumber,Position,LapTimeSeconds,LapTimeDelta,PositionChange
ALB,23,1,12.0,99.376,,
ALB,23,2,13.0,87.78,-11.596000000000004,1.0
ALB,23,3,13.0,87.512,-0.2680000000000007,0.0
ALB,23,4,14.0,87.911,0.3990000000000009,1.0
ALB,23,5,13.0,87.176,-0.7349999999999994,-1.0
ALB,23,6,13.0,86.436,-0.7399999999999949,0.0
ALB,23,7,13.0,85.688,-0.7480000000000047,0.0
ALB,23,8,13.0,85.558,-0.12999999999999545,0.0
ALB,23,9,13.0,85.728,0.1699999999999875,0.0
ALB,23,10,13.0,86.03,0.3020000000000067,0.0
ALB,23,11,10.0,93.98,7.950000000000003,-3.0
ALB,23,12,12.0,125.578,31.598,2.0
ALB,23,13,12.0,112.348,-13.230000000000004,0.0
ALB,23,14,12.0,85.379,-26.968999999999994,0.0
ALB,23,15,12.0,85.035,-0.3440000000000083,0.0
ALB,23,17,13.0,85.662,0.6270000000000095,1.0
ALB,23,18,13.0,104.028,18.366,0.0
ALB,23,19,13.0,109.476,5.447999999999993,0.0
ALB,23,20,13.0,85.041,-24.435000000000002,0.0
ALB,23,21,13.0,85.065,0.02400000000000091,0.0
ALB,23,22,13.0,85.297,0.23199999999999932,0.0
ALB,23,23,13.0,85.258,-0.03900000000000148,0.0
ALB,23,24,13.0,85.334,0.07600000000000762,0.0
ALB,23,25,13.0,85.569,0.23499999999999943,0.0
ALB,23,26,13.0,85.782,0.21299999999999386,0.0
ALB,23,27,13.0,85.734,-0.04800000000000182,0.0
ALB,23,28,13.0,86.642,0.9080000000000013,0.0
ALB,23,29,12.0,86.614,-0.027999999999991587,-1.0
ALB,23,30,12.0,86.472,-0.14200000000001012,0.0
ALB,23,31,12.0,86.523,0.05100000000000193,0.0
ALB,23,32,12.0,86.459,-0.06399999999999295,0.0
ALB,23,33,12.0,110.03,23.570999999999998,0.0
ALB,23,34,12.0,90.918,-19.111999999999995,0.0
ALB,23,35,12.0,84.446,-6.472000000000008,0.0
ALB,23,36,12.0,84.375,-0.07099999999999795,0.0
ALB,23,37,12.0,85.052,0.6770000000000067,0.0
ALB,23,38,12.0,86.338,1.2859999999999872,0.0
ALB,23,39,12.0,84.858,-1.4799999999999898,0.0
ALB,23,40,12.0,86.672,1.813999999999993,0.0
ALB,23,41,12.0,84.876,-1.7959999999999923,0.0
ALB,23,42,12.0,84.858,-0.018000000000000682,0.0
ALB,23,43,12.0,84.956,0.09799999999999898,0.0
ALB,23,44,12.0,84.841,-0.1150000000000091,0.0
ALB,23,45,12.0,84.702,-0.1389999999999958,0.0
ALB,23,46,12.0,84.777,0.07500000000000284,0.0
ALB,23,47,12.0,84.815,0.0379999999999967,0.0
ALB,23,48,12.0,84.773,-0.04200000000000159,0.0
