Driver,LapNumber,DriverNumber,IsAccurate,TrackStatus,PitInTime,PitOutTime,freeze_flag,yellow_flag,race_state_factor,race_state_label,thin_lap,n_raw_samples,n_in_window,n_valid_samples,error,D_lap,H_lap,max_dt_used,n_dt_gaps,mean_throttle,calibration_set,LapStartDistance,LookaheadDeployProxy,LookaheadHarvestProxy,LookaheadCoveredM,EstimatedEnergyIndex_end,EstimatedEnergyIndex_min,EstimatedEnergyIndex_max,n_clip_low,n_clip_high,EstimatedEnergyIndex
NOR,1,1,False,1,,,False,False,1.0,normal,False,362,361,361,,3282.623775,8981.037037037036,0.84,1,53.11357340720222,False,0.0,17283.209019026875,99592.0444273849,400.0,0.9666518485396528,0.9167598111838171,1.0,0,5,0.9666518485396528
NOR,2,1,True,1,,,False,False,1.0,normal,False,333,332,332,,3418.294808333333,9242.586419753086,0.8,1,58.855421686746986,True,5.266666666666668,17017.173810712524,99579.100360628,400.0,0.9618230267159074,0.9129474426608465,1.0,0,3,0.9618230267159074
NOR,3,1,True,1,,,False,False,1.0,normal,False,333,332,332,,3428.841222222222,8786.734567901232,0.881,1,60.92469879518072,True,31.52444444444445,16098.336599879158,99506.57205346944,400.0,0.9632207578924816,0.9126718844971623,1.0,0,2,0.9632207578924816
NOR,4,1,True,1,,,False,False,1.0,normal,False,330,329,329,,3619.6914583333337,8579.771604938273,0.879,0,63.80851063829788,True,18.099999999999994,16556.06480774252,99543.88860626874,400.0,0.9370825171650089,0.8969430402269231,1.0,0,2,0.9370825171650089
NOR,5,1,True,1,,,False,False,1.0,normal,False,329,328,328,,3421.780033333333,8029.124691358024,0.92,1,58.91768292682927,True,7.045833333333336,16932.97455016767,99574.61638765114,400.0,0.9478042711160318,0.9180690543577387,1.0,0,2,0.9478042711160318
NOR,6,1,True,1,,,False,False,1.0,normal,False,324,323,323,,3549.64663611111,7730.401851851851,0.92,0,60.60061919504644,True,24.95333333333333,16322.38929159443,99524.83807674827,400.0,0.9543995525448593,0.9053440229095373,0.9995100837338747,0,0,0.9543995525448593
NOR,7,1,True,1,,,False,False,1.0,normal,False,309,308,308,,3638.581238888889,8915.117901234567,0.999,0,62.701298701298704,True,6.677777777777777,16945.89433506712,99575.6322245982,400.0,0.964838267536841,0.9088325683671276,1.0,0,2,0.964838267536841
NOR,8,1,True,1,,,False,False,1.0,normal,False,308,307,307,,3547.0853888888887,9402.203703703708,0.88,3,64.41693811074919,True,1.8766666666666636,17188.412928975627,99587.43207954684,400.0,0.9630775783324302,0.9186414178331107,1.0,0,3,0.9630775783324302
NOR,9,1,True,1,,,False,False,1.0,normal,False,326,325,325,,3484.5547194444443,9333.55061728395,0.96,1,62.86769230769231,True,20.421111111111102,16476.922759552934,99537.43650572264,400.0,0.9646646530468348,0.9209615400851349,1.0,0,4,0.9646646530468348
NOR,10,1,True,1,,,False,False,1.0,normal,False,317,316,316,,3660.788658333333,8762.524691358025,0.92,1,64.76582278481013,True,3.6180555555555536,17100.4501272392,99583.15220852896,400.0,0.9575758926025963,0.9100234406782839,1.0,0,2,0.9575758926025963
NOR,11,1,False,16,0 days 01:18:15.593000,,True,False,0.0,freeze,False,380,379,379,,0.0,0.0,0.761,2,52.20316622691293,False,19.052777777777774,16523.57830399787,99541.24012555151,400.0,0.9575758926025963,0.9575758926025963,0.9575758926025963,0,0,0.9575758926025963
NOR,12,1,False,6,,0 days 01:18:34.141000,True,False,0.0,freeze,False,440,439,439,,0.0,0.0,1.0,0,32.55125284738041,False,2.133333333333332,17175.447921988154,99586.80126110362,400.0,0.9575758926025963,0.9575758926025963,0.9575758926025963,0,0,0.9575758926025963
NOR,13,1,False,671,,,True,False,0.0,freeze,False,427,426,426,,0.0,0.0,0.88,1,40.755868544600936,False,0.281944444444445,17268.96715529064,99591.35148288288,400.0,0.9575758926025963,0.9575758926025963,0.9575758926025963,0,0,0.9575758926025963
NOR,14,1,True,1,,,False,False,1.0,normal,False,307,306,306,,3639.0740916666655,8193.336419753086,0.76,1,63.16339869281046,True,15.850000000000009,16632.78220725612,99550.1430359508,400.0,0.9505825550828048,0.8999193733990157,1.0,0,2,0.9505825550828048
NOR,15,1,True,1,,,False,False,1.0,normal,False,326,325,325,,3678.815619444445,7673.30061728395,1.0,1,63.932307692307695,True,0.0666666666666664,17279.841484744415,99591.8805784386,400.0,0.9382739413385459,0.8962388937243738,1.0,0,1,0.9382739413385459
NOR,16,1,True,1,,,False,False,1.0,normal,False,312,311,311,,3490.1915638888886,7392.007407407407,1.0,2,63.938906752411576,True,20.55111111111111,16472.490198692147,99537.07513867437,400.0,0.9314780907239287,0.8947698159977907,1.0,0,1,0.9314780907239287
NOR,17,1,True,1,,,False,False,1.0,normal,False,305,304,304,,3600.4379750000003,7974.515432098767,0.92,2,64.01644736842105,True,1.9466666666666617,17184.87701797904,99587.26003815324,400.0,0.9424726834942767,0.8939390959073006,0.9893845742490451,0,0,0.9424726834942767
NOR,18,1,False,126,,,True,False,0.0,freeze,False,349,348,348,,0.0,0.0,0.96,1,47.53735632183908,False,17.247777777777777,16585.122706718783,99546.2575680298,400.00000000000006,0.9424726834942767,0.9424726834942767,0.9424726834942767,0,0,0.9424726834942767
NOR,19,1,False,67,,,True,False,0.0,freeze,False,439,438,438,,0.0,0.0,0.881,1,29.35388127853881,False,14.175555555555556,16689.875106548465,99554.79756707714,400.0,0.9424726834942767,0.9424726834942767,0.9424726834942767,0,0,0.9424726834942767
NOR,20,1,False,71,,,True,False,0.0,freeze,False,323,322,322,,0.0,0.0,0.84,0,63.22049689440994,False,1.6311111111111138,17200.816680249354,99588.03558983232,400.0,0.9424726834942767,0.9424726834942767,0.9424726834942767,0,0,0.9424726834942767
NOR,21,1,True,1,,,False,False,1.0,normal,False,315,314,314,,3661.139036111111,7895.917901234567,0.96,1,64.03503184713375,True,9.59055555555556,16846.20811844618,99567.54270489592,400.0,0.9294652363884656,0.8984616485688458,1.0,0,1,0.9294652363884656
NOR,22,1,True,1,,,False,False,1.0,normal,False,301,300,300,,3803.177313888889,7054.046296296297,1.0,1,67.54333333333334,True,8.708333333333332,16876.28891608262,99569.99505905272,400.0,0.8969168078391299,0.8673363622430426,0.9918720690757132,0,0,0.8969168078391299
NOR,23,1,True,1,,,False,False,1.0,normal,False,298,297,297,,3665.257519444445,6458.691975308642,1.0,2,66.35353535353535,True,8.180833333333327,16894.27488419081,99571.46137534484,400.0,0.8545995819357896,0.8156835569544822,0.9371610670718611,0,0,0.8545995819357896
NOR,24,1,True,1,,,False,False,1.0,normal,False,307,306,306,,3785.139061111112,7660.356790123456,1.0,1,67.95751633986929,True,0.7902777777777779,17243.28970638688,99590.10213466742,400.0,0.8428358737459346,0.8134222976339547,0.9247761479067002,0,0,0.8428358737459346
