Driver,DriverNumber,LapNumber,Position,PositionChange,LapTimeSeconds,LapTimeDelta,EstimatedEnergyIndex,LookaheadDeployProxy,LookaheadHarvestProxy,LookaheadCoveredM,DriverAhead_end,DistanceToDriverAhead_end,DistanceToDriverAhead_median,n_samples_with_car_ahead,n_car_samples_ahead_extract
ALB,23,1,12.0,,99.376,,0.963488172600788,17283.209019026875,99592.0444273849,400.0,5,43.101111111110185,5.971527777777283,366,369
ALB,23,2,13.0,1.0,87.78,-11.596000000000004,0.9624469898786976,16952.26458741811,99575.94217218828,400.0,87,32.69749999999931,20.366666666663832,336,337
ALB,23,3,13.0,0.0,87.512,-0.2680000000000007,0.9647862842803158,16808.626063968404,99564.47880650352,400.0,14,29.671111111111717,33.05944444444549,329,330
ALB,23,4,14.0,1.0,87.911,0.3990000000000009,0.9658316158330512,16871.998424480196,99569.64527428162,400.0,3,91.22027777778112,33.52944444444529,335,336
ALB,23,5,13.0,-1.0,87.176,-0.7349999999999994,0.9563153005002274,15419.283430061,99451.21185711327,400.0,3,268.2255555555512,35.50777777777239,333,334
ALB,23,6,13.0,0.0,86.436,-0.7399999999999949,0.9603900504667906,16899.076825123328,99571.85285631384,400.00000000000006,5,312.50277777777865,219.04361111111132,328,329
ALB,23,7,13.0,0.0,85.688,-0.7480000000000047,0.91052251364428,16665.590734653048,99552.81776982963,400.0,5,271.83500000000004,211.6105555555556,307,308
ALB,23,8,13.0,0.0,85.558,-0.1299999999999954,0.9627394602194592,17038.09461744231,99580.11827220683,400.00000000000006,5,294.22527777777486,214.5684722222221,304,305
ALB,23,9,13.0,0.0,85.728,0.1699999999999875,0.9627259870600094,16803.69152506142,99564.07651540916,400.0,87,362.9811111111149,250.85291666666637,324,325
ALB,23,10,13.0,0.0,86.03,0.3020000000000067,0.9544532796706624,16721.584965014084,99557.38273134572,400.0,5,362.3700000000008,259.21097222222284,312,313
ALB,23,11,10.0,-3.0,93.98,7.950000000000003,0.9544532796706624,17031.990961555355,99579.82129599169,400.0,5,321.45555555555075,258.9083333333333,347,348
ALB,23,12,12.0,2.0,125.578,31.598,0.9544532796706624,17133.465994600152,99584.75861090656,400.0,10,270.2033333333302,310.12388888888927,465,466
ALB,23,13,12.0,0.0,112.348,-13.230000000000004,0.9544532796706624,17081.156962079272,99582.21349060752,400.0,10,273.26555555556115,237.6616666666665,427,428
