event_id,attacker,target,event_start_lap,gap_at_start_m,old_event_type,new_event_type,old_label,new_label,old_start_time,new_start_time,old_end_time,new_end_time,type_changed,label_changed,boundary_changed,lap_boundary_crossing_involved,cum_distance_diff_at_start_m_new,swap_by_distance_new,swap_by_driver_ahead_new,new_reason
australian_gp_2026_R_00024,ALO,BOR,2,10.63222222222339,ON_TRACK_PASS,UNCERTAIN,1.0,,2026-03-08 04:05:27.612,2026-03-08 04:05:27.612,2026-03-08 04:06:08.732,2026-03-08 04:06:08.732,True,True,False,True,-10.786388888890542,False,True,"only one of the two order-change signals fired (distance=False, driver_ahead=True)"
australian_gp_2026_R_00027,LEC,RUS,2,10.242222222220336,ON_TRACK_PASS,UNCERTAIN,1.0,,2026-03-08 04:05:43.452,2026-03-08 04:05:43.452,2026-03-08 04:07:13.773,2026-03-08 04:07:13.773,True,True,False,True,-10.109444444442488,False,True,"only one of the two order-change signals fired (distance=False, driver_ahead=True)"
australian_gp_2026_R_00047,OCO,GAS,2,10.894166666668752,ON_TRACK_PASS,UNCERTAIN,1.0,,2026-03-08 04:06:18.172,2026-03-08 04:06:18.172,2026-03-08 04:06:26.372,2026-03-08 04:06:26.372,True,True,False,True,-11.471944444445398,False,True,"only one of the two order-change signals fired (distance=False, driver_ahead=True)"
australian_gp_2026_R_00048,BOR,OCO,2,46.666944444446926,CLOSE_INTERACTION_NO_PASS,UNCERTAIN,0.0,,2026-03-08 04:06:18.612,2026-03-08 04:06:18.612,2026-03-08 04:06:24.372,2026-03-08 04:06:24.372,True,True,False,True,-46.512777777777956,True,False,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
australian_gp_2026_R_00052,BEA,ALO,2,11.351666666663732,CLOSE_INTERACTION_NO_PASS,UNCERTAIN,0.0,,2026-03-08 04:06:25.372,2026-03-08 04:06:25.372,2026-03-08 04:06:33.612,2026-03-08 04:06:33.612,True,True,False,True,-11.334166666661986,True,False,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
australian_gp_2026_R_00053,SAI,ALB,2,24.03472222221989,CLOSE_INTERACTION_NO_PASS,UNCERTAIN,0.0,,2026-03-08 04:06:26.372,2026-03-08 04:06:26.372,2026-03-08 04:06:49.452,2026-03-08 04:06:49.452,True,True,False,True,-24.633333333331393,True,False,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
australian_gp_2026_R_00054,LIN,HAD,2,11.20444444444638,CLOSE_INTERACTION_NO_PASS,UNCERTAIN,0.0,,2026-03-08 04:06:26.692,2026-03-08 04:06:26.692,2026-03-08 04:06:29.852,2026-03-08 04:06:29.852,True,True,False,True,-11.152777777781012,True,False,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
australian_gp_2026_R_00073,RUS,LEC,3,17.640277777775736,ON_TRACK_PASS,UNCERTAIN,1.0,,2026-03-08 04:07:14.573,2026-03-08 04:07:14.573,2026-03-08 04:13:47.533,2026-03-08 04:13:47.533,True,True,False,True,-17.75749999999789,False,True,"only one of the two order-change signals fired (distance=False, driver_ahead=True)"
australian_gp_2026_R_00086,SAI,ALO,3,19.844722222223936,CLOSE_INTERACTION_NO_PASS,UNCERTAIN,0.0,,2026-03-08 04:07:43.252,2026-03-08 04:07:43.252,2026-03-08 04:07:49.253,2026-03-08 04:07:49.253,True,True,False,True,-19.699166666669043,True,False,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
australian_gp_2026_R_00087,ALB,BEA,3,67.14972222222241,CLOSE_INTERACTION_NO_PASS,UNCERTAIN,0.0,,2026-03-08 04:07:43.252,2026-03-08 04:07:43.252,2026-03-08 04:07:51.492,2026-03-08 04:07:51.492,True,True,False,True,-67.18583333333481,True,False,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
australian_gp_2026_R_00089,ANT,HAD,3,10.332222222225028,CLOSE_INTERACTION_NO_PASS,UNCERTAIN,0.0,,2026-03-08 04:07:47.973,2026-03-08 04:07:47.973,2026-03-08 04:07:55.293,2026-03-08 04:07:55.293,True,True,False,True,-9.828888888891015,True,False,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
australian_gp_2026_R_00092,COL,SAI,3,37.28416666666635,ON_TRACK_PASS,UNCERTAIN,1.0,,2026-03-08 04:07:49.532,2026-03-08 04:07:49.532,2026-03-08 04:08:54.093,2026-03-08 04:08:54.093,True,True,False,True,-37.424444444443,False,True,"only one of the two order-change signals fired (distance=False, driver_ahead=True)"
australian_gp_2026_R_00098,STR,PER,3,11.000277777782683,CLOSE_INTERACTION_NO_PASS,UNCERTAIN,0.0,,2026-03-08 04:07:59.492,2026-03-08 04:07:59.492,2026-03-08 04:08:04.492,2026-03-08 04:08:04.492,True,True,False,True,-11.178333333336923,True,False,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
australian_gp_2026_R_00105,ANT,LIN,4,34.71749999999929,ON_TRACK_PASS,UNCERTAIN,1.0,,2026-03-08 04:08:18.612,2026-03-08 04:08:18.612,2026-03-08 04:08:58.973,2026-03-08 04:08:58.973,True,True,False,True,-34.67666666666628,False,True,"only one of the two order-change signals fired (distance=False, driver_ahead=True)"
australian_gp_2026_R_00109,HAM,RUS,4,95.93611111111022,CLOSE_INTERACTION_NO_PASS,UNCERTAIN,0.0,,2026-03-08 04:08:39.173,2026-03-08 04:08:39.173,2026-03-08 04:09:56.813,2026-03-08 04:09:56.813,True,True,False,True,-95.94444444444161,True,False,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
australian_gp_2026_R_00118,BOR,OCO,4,93.44944444444354,CLOSE_INTERACTION_NO_PASS,UNCERTAIN,0.0,,2026-03-08 04:09:00.213,2026-03-08 04:09:00.213,2026-03-08 04:09:25.092,2026-03-08 04:09:25.092,True,True,False,True,-93.42333333333227,True,False,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
australian_gp_2026_R_00125,OCO,GAS,4,59.958055555551255,UNCERTAIN,CLOSE_INTERACTION_NO_PASS,,0.0,2026-03-08 04:09:18.733,2026-03-08 04:09:18.733,2026-03-08 04:09:23.412,2026-03-08 04:09:23.412,True,True,False,True,-60.20472222222088,False,False,"valid close battle, no pairwise order change inside the horizon"
australian_gp_2026_R_00131,COL,SAI,4,10.642499999999018,UNCERTAIN,ON_TRACK_PASS,,1.0,2026-03-08 04:09:24.932,2026-03-08 04:09:24.932,2026-03-08 04:10:18.973,2026-03-08 04:10:18.973,True,True,False,True,-10.1372222222235,True,True,race-distance ordering and target DriverAhead both show the swap
australian_gp_2026_R_00152,VER,BEA,5,96.47861111111251,CLOSE_INTERACTION_NO_PASS,UNCERTAIN,0.0,,2026-03-08 04:10:28.413,2026-03-08 04:10:28.413,2026-03-08 04:11:11.973,2026-03-08 04:11:11.973,True,True,False,True,-96.62111111111153,True,False,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
australian_gp_2026_R_00159,ALO,SAI,5,46.030277777774245,ON_TRACK_PASS,UNCERTAIN,1.0,,2026-03-08 04:10:53.293,2026-03-08 04:10:53.293,2026-03-08 04:10:56.693,2026-03-08 04:10:56.693,True,True,False,True,-52.92583333333096,False,True,"only one of the two order-change signals fired (distance=False, driver_ahead=True)"
australian_gp_2026_R_00174,BEA,OCO,6,30.491944444444016,CLOSE_INTERACTION_NO_PASS,UNCERTAIN,0.0,,2026-03-08 04:11:53.893,2026-03-08 04:11:53.893,2026-03-08 04:12:14.013,2026-03-08 04:12:14.013,True,True,False,True,-30.151388888891233,True,False,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
australian_gp_2026_R_00177,ALO,COL,6,25.70166666666956,CLOSE_INTERACTION_NO_PASS,UNCERTAIN,0.0,,2026-03-08 04:12:02.773,2026-03-08 04:12:02.773,2026-03-08 04:13:24.694,2026-03-08 04:13:24.694,True,True,False,True,-26.192500000004657,True,False,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
australian_gp_2026_R_00200,BOR,BEA,8,31.037500000000136,CLOSE_INTERACTION_NO_PASS,UNCERTAIN,0.0,,2026-03-08 04:14:01.373,2026-03-08 04:14:01.373,2026-03-08 04:19:28.294,2026-03-08 04:19:28.294,True,True,False,True,-31.139999999999418,True,False,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
australian_gp_2026_R_00202,BEA,VER,8,12.826944444444734,CLOSE_INTERACTION_NO_PASS,UNCERTAIN,0.0,,2026-03-08 04:14:07.333,2026-03-08 04:14:07.333,2026-03-08 04:14:55.934,2026-03-08 04:14:55.934,True,True,False,True,-12.717777777776064,True,False,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
australian_gp_2026_R_00213,HAM,RUS,9,43.66277777777788,PIT_RELATED,UNCERTAIN,,,2026-03-08 04:15:00.653,2026-03-08 04:15:00.653,2026-03-08 04:19:22.174,2026-03-08 04:19:22.174,True,False,False,True,-43.70361111110833,True,False,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
australian_gp_2026_R_00233,ALO,LAW,9,94.46638888889174,CLOSE_INTERACTION_NO_PASS,UNCERTAIN,0.0,,2026-03-08 04:16:33.414,2026-03-08 04:16:33.414,2026-03-08 04:16:37.014,2026-03-08 04:16:37.014,True,True,False,True,-94.28055555555329,True,False,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
