event_id_v3,event_id_v4,attacker,target_number,event_start_time,event_duration_s_v3,old_event_type,new_event_type,old_label,new_label,actual_swap_delay_s,pass_after_horizon,swap_delay_in_horizon_s,new_reason
australian_gp_2026_R_00136,australian_gp_2026_R_00153,ALB,14,2026-03-08 04:09:40.733,37.079,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,37.4,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 37.4 s after t0, outside it"
australian_gp_2026_R_00147,australian_gp_2026_R_00170,ALB,55,2026-03-08 04:10:20.373,32.52,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,32.92,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 32.9 s after t0, outside it"
australian_gp_2026_R_00024,australian_gp_2026_R_00024,ALO,5,2026-03-08 04:05:27.612,41.12,UNCERTAIN,CLOSE_INTERACTION_NO_PASS,,0.0,,False,,"valid close battle, no pairwise order change inside the horizon"
australian_gp_2026_R_00057,australian_gp_2026_R_00065,ANT,1,2026-03-08 04:06:30.172,50.201,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,78.881,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 78.9 s after t0, outside it"
australian_gp_2026_R_00156,australian_gp_2026_R_00178,ANT,6,2026-03-08 04:10:48.013,44.16,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,44.44,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 44.4 s after t0, outside it"
australian_gp_2026_R_00166,australian_gp_2026_R_00189,BEA,10,2026-03-08 04:11:12.293,41.28,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,41.6,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 41.6 s after t0, outside it"
australian_gp_2026_R_00020,australian_gp_2026_R_00021,BEA,14,2026-03-08 04:05:22.412,21.2,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,46.48,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 46.5 s after t0, outside it"
australian_gp_2026_R_00202,australian_gp_2026_R_00237,BEA,3,2026-03-08 04:14:07.333,48.601,UNCERTAIN,CLOSE_INTERACTION_NO_PASS,,0.0,,False,,"valid close battle, no pairwise order change inside the horizon"
australian_gp_2026_R_00174,australian_gp_2026_R_00199,BEA,31,2026-03-08 04:11:53.893,20.12,UNCERTAIN,CLOSE_INTERACTION_NO_PASS,,0.0,,False,,"valid close battle, no pairwise order change inside the horizon"
australian_gp_2026_R_00479,australian_gp_2026_R_00574,BEA,41,2026-03-08 04:59:47.662,85.8,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,86.16,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 86.2 s after t0, outside it"
australian_gp_2026_R_00481,australian_gp_2026_R_00575,BOR,10,2026-03-08 05:00:00.742,86.36,ON_TRACK_PASS,UNCERTAIN,1.0,,86.56,True,2.719,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
australian_gp_2026_R_00061,australian_gp_2026_R_00069,BOR,14,2026-03-08 04:06:33.212,40.561,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,40.801,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 40.8 s after t0, outside it"
australian_gp_2026_R_00118,australian_gp_2026_R_00133,BOR,31,2026-03-08 04:09:00.213,24.879,UNCERTAIN,CLOSE_INTERACTION_NO_PASS,,0.0,,False,,"valid close battle, no pairwise order change inside the horizon"
australian_gp_2026_R_00477,australian_gp_2026_R_00571,BOR,31,2026-03-08 04:59:21.541,39.841,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,39.201,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 39.2 s after t0, outside it"
