zone_id,zone_type,start_m,end_m,corner_number,length_m
straight_01,straight,0.0,106.682778328013,,106.682778328013
brake_T1,brake,106.682778328013,226.682778328013,1.0,120.0
corner_T1,corner,226.682778328013,286.682778328013,1.0,60.0
straight_02,straight,286.682778328013,756.8551538060126,,470.1723754779996
brake_T2,brake,756.8551538060126,876.8551538060126,2.0,120.0
corner_T2,corner,876.8551538060126,936.8551538060126,2.0,60.0
straight_03,straight,936.8551538060126,1046.9094527128927,,110.05429890688015
brake_T3,brake,1046.9094527128927,1166.9094527128927,3.0,120.0
corner_T3,corner,1166.9094527128927,1226.9094527128927,3.0,60.0
straight_04,straight,1226.9094527128927,1860.3690603791076,,633.4596076662149
brake_T4,brake,1860.3690603791076,1980.3690603791076,4.0,120.0
corner_T4,corner,1980.3690603791076,2040.3690603791076,4.0,60.0
straight_05,straight,2040.3690603791076,2048.2864352520974,,7.91737487298974
brake_T5,brake,2048.2864352520974,2168.2864352520974,5.0,120.0
corner_T5,corner,2168.2864352520974,2228.2864352520974,5.0,60.0
straight_06,straight,2228.2864352520974,2367.767738257944,,139.4813030058467
brake_T6,brake,2367.767738257944,2487.767738257944,6.0,120.0
corner_T6,corner,2487.767738257944,2547.767738257944,6.0,60.0
straight_07,straight,2547.767738257944,2688.7218882301654,,140.95414997222133
brake_T7,brake,2688.7218882301654,2808.7218882301654,7.0,120.0
corner_T7,corner,2808.7218882301654,2868.7218882301654,7.0,60.0
straight_08,straight,2868.7218882301654,2891.0655625650184,,22.34367433485295
brake_T8,brake,2891.0655625650184,3011.0655625650184,8.0,120.0
corner_T8,corner,3011.0655625650184,3071.0655625650184,8.0,60.0
straight_09,straight,3071.0655625650184,3428.359711047288,,357.2941484822695
brake_T9,brake,3428.359711047288,3548.359711047288,9.0,120.0
corner_T9,corner,3548.359711047288,3608.359711047288,9.0,60.0
straight_10,straight,3608.359711047288,3628.1908482172335,,19.831137169945578
brake_T10,brake,3628.1908482172335,3748.1908482172335,10.0,120.0
corner_T10,corner,3748.1908482172335,3808.1908482172335,10.0,60.0
straight_11,straight,3808.1908482172335,4567.890277777777,,759.6994295605432
