event_id,race_id,year,circuit,attacker,target,target_number,event_start_time,event_end_time,event_duration_s,in_band_duration_s,horizon_end_time,horizon_s_effective,event_start_lap,n_samples_in_episode,gap_at_start_m,gap_at_start_s_crude_audit,gap_min_in_episode_m,attacker_speed_at_start_kmh,target_speed_same_time_kmh_audit,relative_speed_same_time_kmh_audit,closing_speed_v1_kmh_audit,closing_speed_v1_window_s_audit,closing_speed_v1_available_audit,attacker_position,target_position,track_distance_at_start_m,zone_id,distance_to_next_corner_m,distance_to_next_straight_m,compound,tyre_age,stint,EstimatedEnergyIndex,LookaheadDeployProxy,LookaheadHarvestProxy,LookaheadCoveredM,lookahead_truncated,TrackStatus,freeze_flag,event_type,overtake_success,actual_swap_delay_s,pass_after_horizon,attacker_PositionChange_audit,target_speed_at_attacker_position_kmh,relative_speed_same_position_kmh,spatial_time_gap_s,spatial_alignment_ok,spatial_alignment_lag_raw_s,closing_speed_at_start_kmh,closing_speed_n_samples,closing_speed_available,closing_speed_window_s,zone_type,track_position_frac,circuit_length_m,corner_count,longest_straight_m,n_long_straights_over_500m,pair_id,cluster_id,reciprocal_event_id,window_crosses_start_finish,detector_version
austria_2026_R_00001,austria_2026_R,2026,Austrian Grand Prix,HAM,RUS,63,2026-06-28 13:04:36.211,2026-06-28 13:04:47.012,10.801,10.241,2026-06-28 13:05:06.211,30.0,2,36,63.6363888888889,0.7486633986928106,12.353888888888946,306.0,286.0,20.0,-35.91059073975572,1.879,True,2.0,1.0,33.05777777777777,straight_01,193.62500055023523,253.62500055023523,MEDIUM,2.0,1.0,0.8668336525528195,15812.619214521663,113735.75583462989,400.0,False,1,False,ON_TRACK_PASS,1.0,11.041,False,0.0,297.3456503378378,8.65434966216219,0.787652,True,0.787652,-24.766614789458135,10,True,3.0,straight,0.0072369903319700534,4567.890277777777,10,759.6994295605432,2,austria_2026_R|HAM|RUS,austria_2026_R|L2|austria_2026_R|HAM|RUS,austria_2026_R_00019,False,v4_t0_anchored_30s_horizon
austria_2026_R_00002,austria_2026_R,2026,Austrian Grand Prix,PIA,VER,3,2026-06-28 13:04:38.331,2026-06-28 13:04:53.332,15.001,15.001,2026-06-28 13:05:08.331,30.0,2,59,38.32833333333333,0.450921568627451,22.32694444444445,306.0,296.0,10.0,-69.75965909090644,1.76,True,6.0,3.0,15.899444444444438,straight_01,210.78333388356856,270.78333388356856,MEDIUM,2.0,1.0,0.9131868196995487,16160.887480226927,113798.21386119188,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,,False,0.0,,,,False,,-27.789485301024385,8,True,3.0,straight,0.003480697538159635,4567.890277777777,10,759.6994295605432,2,austria_2026_R|PIA|VER,austria_2026_R|L2|austria_2026_R|PIA|VER,,False,v4_t0_anchored_30s_horizon
austria_2026_R_00003,austria_2026_R,2026,Austrian Grand Prix,NOR,PIA,81,2026-06-28 13:04:38.972,2026-06-28 13:09:41.652,302.68,302.68,2026-06-28 13:05:08.972,30.0,2,1050,32.529444444444444,0.38145276872964173,10.018611111111113,307.0,307.0,0.0,96.80418636056397,1.4809999999999999,True,7.0,6.0,37.99083333333334,straight_01,188.69194499467966,248.69194499467966,MEDIUM,2.0,1.0,0.9302855123149937,15712.491383363173,113717.79902560101,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,,False,0.0,307.0,0.0,0.381947,True,0.381947,0.1375668336803705,8,True,3.0,straight,0.008316932111560137,4567.890277777777,10,759.6994295605432,2,austria_2026_R|NOR|PIA,austria_2026_R|L2|austria_2026_R|NOR|PIA,,False,v4_t0_anchored_30s_horizon
austria_2026_R_00004,austria_2026_R,2026,Austrian Grand Prix,LAW,NOR,1,2026-06-28 13:04:39.572,2026-06-28 13:04:57.731,18.159,18.159,2026-06-28 13:05:09.572,30.0,2,68,39.09888888888889,0.45699999999999996,12.511388888889087,308.0,304.0,4.0,-53.45658963147707,1.601,True,8.0,7.0,49.74055555555555,straight_01,176.94222277245746,236.94222277245746,MEDIUM,2.0,1.0,0.8963258105745547,15474.003454415997,113675.0288772192,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,,False,0.0,307.6866720779221,0.31332792207791726,0.462665,True,0.462665,15.94249417369437,8,True,3.0,straight,0.010889174767952993,4567.890277777777,10,759.6994295605432,2,austria_2026_R|LAW|NOR,austria_2026_R|L2|austria_2026_R|LAW|NOR,,False,v4_t0_anchored_30s_horizon
austria_2026_R_00005,austria_2026_R,2026,Austrian Grand Prix,HAD,LAW,30,2026-06-28 13:04:39.812,2026-06-28 13:04:57.731,17.919,16.159,2026-06-28 13:05:09.812,30.0,2,65,50.56527777777777,0.6255498281786941,12.759166666666658,291.0,306.0,-15.0,,,False,9.0,8.0,19.892777777777777,straight_01,206.79000055023522,266.7900005502352,MEDIUM,2.0,1.0,0.8880062531429261,16079.83349629008,113783.6777337861,400.0,False,1,False,ON_TRACK_PASS,1.0,18.159,False,0.0,305.383474025974,-14.38347402597401,0.58887,True,0.58887,-47.949003724275975,9,True,3.0,straight,0.004354915851318428,4567.890277777777,10,759.6994295605432,2,austria_2026_R|HAD|LAW,austria_2026_R|L2|austria_2026_R|HAD|LAW,,False,v4_t0_anchored_30s_horizon
austria_2026_R_00006,austria_2026_R,2026,Austrian Grand Prix,LIN,HAD,6,2026-06-28 13:04:40.172,2026-06-28 13:04:56.771,16.599,16.599,2026-06-28 13:05:10.172,30.0,2,65,27.69444444444444,0.3368243243243243,12.653333333333308,296.0,291.0,5.0,-17.149918522543842,1.841,True,10.0,9.0,21.080000000000002,straight_01,205.602778328013,265.602778328013,MEDIUM,2.0,1.0,0.9311566417241207,16055.73606116584,113779.35612773905,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,,False,0.0,291.07318493150683,4.92681506849317,0.345363,True,0.345363,9.779237829442621,11,True,3.0,straight,0.004614821880147079,4567.890277777777,10,759.6994295605432,2,austria_2026_R|HAD|LIN,austria_2026_R|L2|austria_2026_R|HAD|LIN,,False,v4_t0_anchored_30s_horizon
austria_2026_R_00007,austria_2026_R,2026,Austrian Grand Prix,BOR,LIN,41,2026-06-28 13:04:40.852,2026-06-28 13:04:57.211,16.359,16.359,2026-06-28 13:05:10.852,30.0,2,65,25.8088888888889,0.30264495114006534,13.742500000000007,307.0,299.0,8.0,,,False,12.0,10.0,51.66499999999999,straight_01,175.017778328013,235.017778328013,SOFT,2.0,1.0,0.9103566686276614,15434.942380354054,113668.02370953227,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,,False,1.0,298.2932958346002,8.706704165399799,0.310949,True,0.310949,8.322895667114398,12,True,3.0,straight,0.011310473075796907,4567.890277777777,10,759.6994295605432,2,austria_2026_R|BOR|LIN,austria_2026_R|L2|austria_2026_R|BOR|LIN,,False,v4_t0_anchored_30s_horizon
austria_2026_R_00008,austria_2026_R,2026,Austrian Grand Prix,OCO,BOR,5,2026-06-28 13:04:41.012,2026-06-28 13:04:57.211,16.199,14.959,2026-06-28 13:05:11.012,30.0,2,60,26.84583333333333,0.31276699029126215,11.5288888888889,309.0,306.0,3.0,,,False,11.0,12.0,38.46249999999999,straight_01,188.22027832801302,248.22027832801302,MEDIUM,2.0,1.0,0.8902495408455615,15702.917811804688,113716.08211238906,400.0,False,1,False,ON_TRACK_PASS,1.0,16.399,False,-1.0,305.94442552561446,3.055574474385537,0.314817,True,0.314817,5.509174179759523,12,True,3.0,straight,0.008420189115994164,4567.890277777777,10,759.6994295605432,2,austria_2026_R|BOR|OCO,austria_2026_R|L2|austria_2026_R|BOR|OCO,austria_2026_R_00026,False,v4_t0_anchored_30s_horizon
austria_2026_R_00009,austria_2026_R,2026,Austrian Grand Prix,GAS,OCO,31,2026-06-28 13:04:41.012,2026-06-28 13:04:57.211,16.199,16.199,2026-06-28 13:05:11.012,30.0,2,64,16.513055555555557,0.19684437086092718,10.591666666666697,302.0,309.0,-7.0,,,False,13.0,11.0,21.865555555555556,straight_01,204.81722277245746,264.81722277245746,MEDIUM,2.0,1.0,0.9308042857346088,16039.791384859956,113776.49662799618,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,,False,0.0,,,,False,,-18.463176831399835,12,True,3.0,straight,0.00478679526562378,4567.890277777777,10,759.6994295605432,2,austria_2026_R|GAS|OCO,austria_2026_R|L2|austria_2026_R|GAS|OCO,,False,v4_t0_anchored_30s_horizon
austria_2026_R_00010,austria_2026_R,2026,Austrian Grand Prix,VER,LEC,16,2026-06-28 13:04:41.411,2026-06-28 13:04:51.531,10.12,10.12,2026-06-28 13:05:11.411,30.0,2,40,40.10666666666674,1.0313142857142876,24.219166666666638,140.0,,,,,False,3.0,,250.9419444444444,corner_T1,625.9132093615682,35.7408338835686,MEDIUM,2.0,1.0,0.9982063764346374,21563.48576052485,8208.226892287716,400.0,False,1,False,INVALID,,,False,-2.0,,,,False,,,0,False,3.0,corner,0.05493607096152157,4567.890277777777,10,759.6994295605432,2,austria_2026_R|LEC|VER,austria_2026_R|L2|austria_2026_R|LEC|VER,,False,v4_t0_anchored_30s_horizon
