event_id,race_id,attacker,target,event_start_time,event_start_lap,event_type,reason,gap_at_start_m,duration_s,cum_distance_diff_at_start_m,lapped_at_start,max_gap_jump_m,swap_by_distance,swap_by_driver_ahead,swap_time,swap_delay_s,swap_distance_delay_any_s,swap_ahead_delay_any_s,actual_swap_delay_s,pass_after_horizon,target_speed_at_start_kmh,closing_speed_at_start_kmh,green_at_start,target_retires_in_window,horizon_end,horizon_s_effective,audit_horizon_s,either_in_box_lap_at_start,either_pit_in_window,target_pit_before_outcome
austria_2026_R_00001,austria_2026_R,HAM,RUS,2026-06-28 13:04:36.211,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,63.6363888888889,10.801,-63.473611111110586,False,16.611111111111107,True,True,2026-06-28 13:04:47.252,11.041,11.041,11.041,11.041,False,286.0,-35.91059073975572,True,False,2026-06-28 13:05:06.211,30.0,120.0,False,False,False
austria_2026_R_00002,austria_2026_R,PIA,VER,2026-06-28 13:04:38.331,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",38.32833333333333,15.001,-38.333888888889305,False,3.0,False,False,,,,,,False,296.0,-69.75965909090644,True,False,2026-06-28 13:05:08.331,30.0,120.0,False,False,False
austria_2026_R_00003,austria_2026_R,NOR,PIA,2026-06-28 13:04:38.972,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",32.529444444444444,302.68,-32.571666666666715,False,9.935277777781167,False,False,,,,,,False,307.0,96.80418636056397,True,False,2026-06-28 13:05:08.972,30.0,120.0,False,False,False
austria_2026_R_00004,austria_2026_R,LAW,NOR,2026-06-28 13:04:39.572,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",39.09888888888889,18.159,-39.139166666666824,False,11.33333333333303,False,False,,,,,,False,304.0,-53.45658963147707,True,False,2026-06-28 13:05:09.572,30.0,120.0,False,False,False
austria_2026_R_00005,austria_2026_R,HAD,LAW,2026-06-28 13:04:39.812,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,50.56527777777777,17.919,-50.24777777777763,False,14.266666666666652,True,True,2026-06-28 13:04:57.971,18.159,18.159,18.159,18.159,False,306.0,,True,False,2026-06-28 13:05:09.812,30.0,120.0,False,False,False
austria_2026_R_00006,austria_2026_R,LIN,HAD,2026-06-28 13:04:40.172,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",27.69444444444444,16.599,-27.96833333333325,False,3.177777777777692,False,False,,,92.72,,,False,291.0,-17.149918522543842,True,False,2026-06-28 13:05:10.172,30.0,120.0,False,False,False
austria_2026_R_00007,austria_2026_R,BOR,LIN,2026-06-28 13:04:40.852,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",25.8088888888889,16.359,-25.82611111111146,False,4.7666666666666515,False,False,,,,,,False,299.0,,True,False,2026-06-28 13:05:10.852,30.0,120.0,False,False,False
austria_2026_R_00008,austria_2026_R,OCO,BOR,2026-06-28 13:04:41.012,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,26.84583333333333,16.199,-26.80250000000069,False,5.133333333333553,True,True,2026-06-28 13:04:57.411,16.399,16.399,16.399,16.399,False,306.0,,True,False,2026-06-28 13:05:11.012,30.0,120.0,False,False,False
austria_2026_R_00009,austria_2026_R,GAS,OCO,2026-06-28 13:04:41.012,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",16.513055555555557,16.199,-16.59694444444449,False,4.666666666666288,False,False,,,,,,False,309.0,,True,False,2026-06-28 13:05:11.012,30.0,120.0,False,False,False
austria_2026_R_00010,austria_2026_R,VER,LEC,2026-06-28 13:04:41.411,2,INVALID,no causal target sample at t0,40.10666666666674,10.12,,False,2.8111111111111313,False,False,,,,,,False,,,True,False,2026-06-28 13:05:11.411,30.0,120.0,False,False,False
