zone_id,zone_type,start_m,end_m,corner_number,length_m
straight_01,straight,0.0,216.22131082720455,,216.22131082720455
brake_T1,brake,216.22131082720455,336.22131082720455,1.0,120.0
corner_T1,corner,336.22131082720455,396.22131082720455,1.0,60.0
straight_02,straight,396.22131082720455,893.9845141195669,,497.7632032923624
brake_T2,brake,893.9845141195669,1013.9845141195669,2.0,120.0
corner_T2,corner,1013.9845141195669,1073.984514119567,2.0,60.0
brake_T3,brake,1073.984514119567,1126.9701868108516,3.0,52.98567269128466
corner_T3,corner,1126.9701868108516,1186.9701868108516,3.0,60.0
brake_T4,brake,1186.9701868108516,1215.8937726877466,4.0,28.923585876895004
corner_T4,corner,1215.8937726877466,1275.8937726877466,4.0,60.0
straight_03,straight,1275.8937726877466,2229.3801990296042,,953.4864263418576
brake_T5,brake,2229.3801990296042,2349.3801990296042,5.0,120.0
corner_T5,corner,2349.3801990296042,2409.3801990296042,5.0,60.0
corner_T6,corner,2409.3801990296042,2465.794311468421,6.0,56.414112438816574
straight_04,straight,2465.794311468421,2466.514487486519,,0.7201760180983001
brake_T7,brake,2466.514487486519,2586.514487486519,7.0,120.0
corner_T7,corner,2586.514487486519,2646.514487486519,7.0,60.0
straight_05,straight,2646.514487486519,2861.542966638428,,215.02847915190887
brake_T8,brake,2861.542966638428,2981.542966638428,8.0,120.0
corner_T8,corner,2981.542966638428,3041.542966638428,8.0,60.0
straight_06,straight,3041.542966638428,3090.5472442628015,,49.00427762437357
brake_T9,brake,3090.5472442628015,3210.5472442628015,9.0,120.0
corner_T9,corner,3210.5472442628015,3270.5472442628015,9.0,60.0
straight_07,straight,3270.5472442628015,3612.853202666745,,342.30595840394335
brake_T10,brake,3612.853202666745,3732.853202666745,10.0,120.0
corner_T10,corner,3732.853202666745,3792.853202666745,10.0,60.0
straight_08,straight,3792.853202666745,3859.1188275178956,,66.26562485115073
brake_T11,brake,3859.1188275178956,3979.1188275178956,11.0,120.0
corner_T11,corner,3979.1188275178956,4039.1188275178956,11.0,60.0
straight_09,straight,4039.1188275178956,4282.792409167332,,243.67358164943653
brake_T12,brake,4282.792409167332,4402.792409167332,12.0,120.0
corner_T12,corner,4402.792409167332,4462.792409167332,12.0,60.0
brake_T13,brake,4462.792409167332,4553.0854398853835,13.0,90.29303071805134
corner_T13,corner,4553.0854398853835,4613.0854398853835,13.0,60.0
straight_10,straight,4613.0854398853835,4722.039952418906,,108.95451253352257
brake_T14,brake,4722.039952418906,4842.039952418906,14.0,120.0
corner_T14,corner,4842.039952418906,4902.039952418906,14.0,60.0
straight_11,straight,4902.039952418906,4977.667354062105,,75.62740164319894
brake_T15,brake,4977.667354062105,5097.667354062105,15.0,120.0
corner_T15,corner,5097.667354062105,5157.667354062105,15.0,60.0
straight_12,straight,5157.667354062105,5693.8619707045655,,536.1946166424605
brake_T16,brake,5693.8619707045655,5813.8619707045655,16.0,120.0
corner_T16,corner,5813.8619707045655,5873.8619707045655,16.0,60.0
straight_13,straight,5873.8619707045655,5961.990799815393,,88.12882911082761
brake_T17,brake,5961.990799815393,6081.990799815393,17.0,120.0
corner_T17,corner,6081.990799815393,6141.990799815393,17.0,60.0
straight_14,straight,6141.990799815393,6500.484616276595,,358.4938164612022
brake_T18,brake,6500.484616276595,6620.484616276595,18.0,120.0
corner_T18,corner,6620.484616276595,6680.484616276595,18.0,60.0
brake_T19,brake,6680.484616276595,6685.53221151828,19.0,5.047595241684576
corner_T19,corner,6685.53221151828,6745.53221151828,19.0,60.0
straight_15,straight,6745.53221151828,7069.849166666669,,324.31695514838884
