event_id,race_id,year,circuit,attacker,target,target_number,event_start_time,event_end_time,event_duration_s,in_band_duration_s,horizon_end_time,horizon_s_effective,event_start_lap,n_samples_in_episode,gap_at_start_m,gap_at_start_s_crude_audit,gap_min_in_episode_m,attacker_speed_at_start_kmh,target_speed_same_time_kmh_audit,relative_speed_same_time_kmh_audit,closing_speed_v1_kmh_audit,closing_speed_v1_window_s_audit,closing_speed_v1_available_audit,attacker_position,target_position,track_distance_at_start_m,zone_id,distance_to_next_corner_m,distance_to_next_straight_m,compound,tyre_age,stint,EstimatedEnergyIndex,LookaheadDeployProxy,LookaheadHarvestProxy,LookaheadCoveredM,lookahead_truncated,TrackStatus,freeze_flag,event_type,overtake_success,actual_swap_delay_s,pass_after_horizon,attacker_PositionChange_audit,target_speed_at_attacker_position_kmh,relative_speed_same_position_kmh,spatial_time_gap_s,spatial_alignment_ok,spatial_alignment_lag_raw_s,closing_speed_at_start_kmh,closing_speed_n_samples,closing_speed_available,closing_speed_window_s,zone_type,track_position_frac,circuit_length_m,corner_count,longest_straight_m,n_long_straights_over_500m,pair_id,cluster_id,reciprocal_event_id,window_crosses_start_finish,detector_version
belgium_2026_R_00001,belgium_2026_R,2026,Belgian Grand Prix,OCO,BOT,77,2026-07-19 13:11:47.879,2026-07-19 13:13:54.199,126.32,126.32,2026-07-19 13:12:17.879,30.0,4,465,60.74805555555556,1.0413952380952383,16.47305555555556,210.0,246.0,-36.0,,,False,20.0,19.0,33.91499999999999,straight_01,302.3063108272046,362.3063108272046,HARD,3.0,2.0,1.0,16760.898608098294,75206.19457352639,400.0,False,41,True,INVALID,,,False,-1.0,222.47634638196917,-12.476346381969165,0.917191,True,0.917191,,2,False,3.0,straight,0.004797132046310745,7069.849166666669,19,953.4864263418576,2,belgium_2026_R|BOT|OCO,belgium_2026_R|L4|belgium_2026_R|BOT|OCO,,False,v4_t0_anchored_30s_horizon
belgium_2026_R_00002,belgium_2026_R,2026,Belgian Grand Prix,BOT,PER,11,2026-07-19 13:11:49.199,2026-07-19 13:12:06.359,17.16,17.16,2026-07-19 13:12:19.199,30.0,4,65,98.13027777777782,1.3231048689138583,18.659722222222285,267.0,,,111.48078096400245,1.639,True,19.0,,188.81138888888887,straight_01,147.40992193831568,207.40992193831568,HARD,3.0,2.0,1.0,15117.748286418542,75162.75235328771,399.99999999999994,False,41,True,INVALID,,,False,-1.0,,,,False,,,0,False,3.0,straight,0.026706565364804057,7069.849166666669,19,953.4864263418576,2,belgium_2026_R|BOT|PER,belgium_2026_R|L4|belgium_2026_R|BOT|PER,,False,v4_t0_anchored_30s_horizon
belgium_2026_R_00003,belgium_2026_R,2026,Belgian Grand Prix,HAD,OCO,31,2026-07-19 13:11:52.000,2026-07-19 13:12:11.759,19.759,19.759,2026-07-19 13:12:22.000,30.0,4,50,97.87944444444443,1.4867763713080169,10.281944444444491,237.0,164.0,73.0,8.335242061426358,1.921,True,21.0,20.0,190.94916666666663,straight_01,145.27214416053792,205.27214416053792,HARD,2.0,3.0,1.0,15095.070609628063,75162.15279242184,400.0,False,41,True,INVALID,,,False,5.0,245.75153890824623,-8.751538908246232,1.6757840000000002,True,1.6757840000000002,-10.190913537525669,13,True,3.0,straight,0.027008944910305123,7069.849166666669,19,953.4864263418576,2,belgium_2026_R|HAD|OCO,belgium_2026_R|L4|belgium_2026_R|HAD|OCO,,False,v4_t0_anchored_30s_horizon
belgium_2026_R_00004,belgium_2026_R,2026,Belgian Grand Prix,BOT,PER,11,2026-07-19 13:12:31.239,2026-07-19 13:12:41.279,10.04,10.04,2026-07-19 13:13:01.239,30.0,4,38,96.37694444444605,1.4639535864979147,62.46333333333541,237.0,,,115.51847826086941,1.8399999999999999,True,19.0,,2300.350277777777,brake_T5,49.02992125182709,165.44403369064366,HARD,3.0,2.0,1.0,9679.599718902718,58187.47562082156,400.0,False,41,True,INVALID,,,False,-1.0,,,,False,,,0,False,3.0,brake,0.3253747319848917,7069.849166666669,19,953.4864263418576,2,belgium_2026_R|BOT|PER,belgium_2026_R|L4|belgium_2026_R|BOT|PER,,False,v4_t0_anchored_30s_horizon
belgium_2026_R_00005,belgium_2026_R,2026,Belgian Grand Prix,HAD,OCO,31,2026-07-19 13:12:33.719,2026-07-19 13:13:54.199,80.48,78.64,2026-07-19 13:13:03.719,30.0,4,279,98.2319444444438,1.3294548872180365,10.361388888881265,266.0,130.0,136.0,103.8271739130439,1.8399999999999999,True,21.0,20.0,2267.461111111111,brake_T5,81.919087918493,198.33320035730958,HARD,2.0,3.0,1.0,8362.86394301412,83211.05551096352,400.0,False,41,True,INVALID,,80.88,True,5.0,243.39767538397544,22.60232461602456,2.108374,True,2.108374,76.04069141594371,12,True,3.0,brake,0.32072269968670153,7069.849166666669,19,953.4864263418576,2,belgium_2026_R|HAD|OCO,belgium_2026_R|L4|belgium_2026_R|HAD|OCO,,False,v4_t0_anchored_30s_horizon
belgium_2026_R_00006,belgium_2026_R,2026,Belgian Grand Prix,BOT,PER,11,2026-07-19 13:13:17.319,2026-07-19 13:14:07.479,50.16,48.52,2026-07-19 13:13:47.319,30.0,4,152,95.94472222222066,1.4391708333333098,10.00111111111164,240.0,,,24.06000000000022,2.0,True,19.0,,4294.443888888889,brake_T12,108.34852027844317,318.6415509964945,HARD,3.0,2.0,1.0,9931.635846693123,74486.25203380825,400.0,False,41,True,INVALID,,,False,-1.0,,,,False,,,0,False,3.0,brake,0.6074307651620886,7069.849166666669,19,953.4864263418576,2,belgium_2026_R|BOT|PER,belgium_2026_R|L4|belgium_2026_R|BOT|PER,,False,v4_t0_anchored_30s_horizon
belgium_2026_R_00007,belgium_2026_R,2026,Belgian Grand Prix,HAD,BOT,77,2026-07-19 13:13:54.599,2026-07-19 13:13:58.800,4.201,4.201,2026-07-19 13:14:24.599,30.0,4,18,17.69805555554558,0.2413371212119852,13.22027777776566,264.0,239.0,25.0,,,False,21.0,19.0,5835.626944444457,corner_T16,246.3638553709361,38.2350262601085,HARD,2.0,3.0,1.0,32162.9111676855,172.9563374482802,400.0,False,41,True,INVALID,,58.44,True,5.0,239.0,25.0,0.268046,True,0.268046,19.547667472422326,12,True,3.0,corner,0.8254245326701745,7069.849166666669,19,953.4864263418576,2,belgium_2026_R|BOT|HAD,belgium_2026_R|L4|belgium_2026_R|BOT|HAD,,True,v4_t0_anchored_30s_horizon
belgium_2026_R_00008,belgium_2026_R,2026,Belgian Grand Prix,OCO,BOT,77,2026-07-19 13:13:59.119,2026-07-19 13:14:07.479,8.36,8.36,2026-07-19 13:14:29.119,30.0,4,28,20.348611111108767,0.29899999999996557,18.937499999996362,245.0,253.0,-8.0,,,False,20.0,19.0,6145.380555555559,straight_14,475.10406072103615,600.1516559627207,HARD,3.0,2.0,1.0,28884.208957671577,21461.10392133162,400.0,False,41,True,INVALID,,116.24,True,-1.0,253.0,-8.0,0.282486,True,0.282486,-4.128587769778148,13,True,3.0,straight,0.8692378593492706,7069.849166666669,19,953.4864263418576,2,belgium_2026_R|BOT|OCO,belgium_2026_R|L4|belgium_2026_R|BOT|OCO,,True,v4_t0_anchored_30s_horizon
belgium_2026_R_00009,belgium_2026_R,2026,Belgian Grand Prix,LEC,ANT,12,2026-07-19 13:14:06.999,2026-07-19 13:14:33.359,26.36,26.36,2026-07-19 13:14:36.999,30.0,5,102,69.92472222222223,1.0711872340425534,14.722222222222229,235.0,252.0,-17.0,,,False,2.0,1.0,12.47111111111111,straight_01,323.75019971609345,383.75019971609345,MEDIUM,5.0,1.0,0.9992723747585147,16988.376686693908,75212.20872369842,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,,False,0.0,232.61834763948497,2.3816523605150337,1.030532,True,1.030532,,2,False,3.0,straight,0.001763985456706859,7069.849166666669,19,953.4864263418576,2,belgium_2026_R|ANT|LEC,belgium_2026_R|L5|belgium_2026_R|ANT|LEC,,False,v4_t0_anchored_30s_horizon
belgium_2026_R_00010,belgium_2026_R,2026,Belgian Grand Prix,VER,LEC,16,2026-07-19 13:14:07.959,2026-07-19 13:15:33.079,85.12,85.12,2026-07-19 13:14:37.959,30.0,5,321,65.27916666666667,1.0538340807174889,16.956666666667388,223.0,258.0,-35.0,,,False,3.0,2.0,14.84527777777778,straight_01,321.3760330494268,381.3760330494268,MEDIUM,5.0,1.0,0.9991369126124936,16963.191382181398,75211.5428652368,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,,False,0.0,235.86508097165992,-12.865080971659921,0.925396,True,0.925396,,2,False,3.0,straight,0.002099801201950835,7069.849166666669,19,953.4864263418576,2,belgium_2026_R|LEC|VER,belgium_2026_R|L5|belgium_2026_R|LEC|VER,,False,v4_t0_anchored_30s_horizon
