event_id,race_id,attacker,target,event_start_time,event_start_lap,event_type,reason,gap_at_start_m,duration_s,cum_distance_diff_at_start_m,lapped_at_start,max_gap_jump_m,swap_by_distance,swap_by_driver_ahead,swap_time,swap_delay_s,swap_distance_delay_any_s,swap_ahead_delay_any_s,actual_swap_delay_s,pass_after_horizon,target_speed_at_start_kmh,closing_speed_at_start_kmh,green_at_start,target_retires_in_window,horizon_end,horizon_s_effective,audit_horizon_s,either_in_box_lap_at_start,either_pit_in_window,target_pit_before_outcome
belgium_2026_R_00001,belgium_2026_R,OCO,BOT,2026-07-19 13:11:47.879,4,INVALID,"race state not green at t0 (TrackStatus=41, freeze=True)",60.74805555555556,126.32,-60.251944444444234,False,8.4074999999998,False,False,,,,,,False,246.0,,False,False,2026-07-19 13:12:17.879,30.0,120.0,False,False,False
belgium_2026_R_00002,belgium_2026_R,BOT,PER,2026-07-19 13:11:49.199,4,INVALID,no causal target sample at t0,98.13027777777782,17.16,,False,11.244444444444298,False,False,,,,,,False,,111.48078096400245,False,False,2026-07-19 13:12:19.199,30.0,120.0,False,False,False
belgium_2026_R_00003,belgium_2026_R,HAD,OCO,2026-07-19 13:11:52.000,4,INVALID,"race state not green at t0 (TrackStatus=41, freeze=True)",97.87944444444443,19.759,-98.47277777778072,False,13.71999999999997,False,False,,,,,,False,164.0,8.335242061426358,False,False,2026-07-19 13:12:22.000,30.0,120.0,False,False,False
belgium_2026_R_00004,belgium_2026_R,BOT,PER,2026-07-19 13:12:31.239,4,INVALID,no causal target sample at t0,96.37694444444605,10.04,,False,9.273333333333085,False,False,,,,,,False,,115.51847826086941,False,False,2026-07-19 13:13:01.239,30.0,120.0,False,False,False
belgium_2026_R_00005,belgium_2026_R,HAD,OCO,2026-07-19 13:12:33.719,4,INVALID,"race state not green at t0 (TrackStatus=41, freeze=True)",98.2319444444438,80.48,-98.82527777777796,False,10.365277777777465,False,False,,,80.88,80.88,80.88,True,130.0,103.8271739130439,False,False,2026-07-19 13:13:03.719,30.0,120.0,False,False,False
belgium_2026_R_00006,belgium_2026_R,BOT,PER,2026-07-19 13:13:17.319,4,INVALID,no causal target sample at t0,95.94472222222066,50.16,,False,28.86999999999989,False,False,,,,,,False,,24.06000000000022,False,False,2026-07-19 13:13:47.319,30.0,120.0,False,False,False
belgium_2026_R_00007,belgium_2026_R,HAD,BOT,2026-07-19 13:13:54.599,4,INVALID,"race state not green at t0 (TrackStatus=41, freeze=True)",17.69805555554558,4.201,-17.795277777768206,False,1.944444444443434,True,False,2026-07-19 13:14:22.559,27.96,27.96,58.44,58.44,True,239.0,,False,False,2026-07-19 13:14:24.599,30.0,120.0,False,False,False
belgium_2026_R_00008,belgium_2026_R,OCO,BOT,2026-07-19 13:13:59.119,4,INVALID,"race state not green at t0 (TrackStatus=41, freeze=True)",20.348611111108767,8.36,-19.852499999997235,False,4.987777777778319,False,False,,,116.24,115.96,116.24,True,253.0,,False,False,2026-07-19 13:14:29.119,30.0,120.0,False,False,False
belgium_2026_R_00009,belgium_2026_R,LEC,ANT,2026-07-19 13:14:06.999,5,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",69.92472222222223,26.36,-70.48722222222204,False,10.633333333333326,False,False,,,,,,False,252.0,,True,False,2026-07-19 13:14:36.999,30.0,120.0,False,False,False
belgium_2026_R_00010,belgium_2026_R,VER,LEC,2026-07-19 13:14:07.959,5,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",65.27916666666667,85.12,-64.72583333333387,False,10.333333333333343,False,False,,,,,,False,258.0,,True,False,2026-07-19 13:14:37.959,30.0,120.0,False,False,False
belgium_2026_R_00011,belgium_2026_R,PIA,VER,2026-07-19 13:14:08.759,5,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 101.3 s after t0, outside it",38.61972222222221,3.32,-38.84416666666948,False,3.177777777777777,False,False,,,101.28,101.28,101.28,True,240.0,,True,False,2026-07-19 13:14:38.759,30.0,120.0,False,False,False
belgium_2026_R_00012,belgium_2026_R,LIN,LAW,2026-07-19 13:14:10.199,5,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",39.375000000000014,106.201,-38.8183333333327,False,4.111111111110404,False,False,,,,,,False,242.0,,True,False,2026-07-19 13:14:40.199,30.0,120.0,False,False,False
belgium_2026_R_00013,belgium_2026_R,COL,LIN,2026-07-19 13:14:10.399,5,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",29.79333333333333,31.72,-29.92638888888905,False,5.688888888888954,False,False,,,,,,False,246.0,,True,False,2026-07-19 13:14:40.399,30.0,120.0,False,False,False
belgium_2026_R_00014,belgium_2026_R,NOR,BOR,2026-07-19 13:14:11.039,5,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",19.108055555555556,31.08,-18.208888888886577,False,4.000000000000455,False,False,,,,113.56,,False,242.0,,True,False,2026-07-19 13:14:41.039,30.0,120.0,False,False,False
belgium_2026_R_00015,belgium_2026_R,BOR,COL,2026-07-19 13:14:11.039,5,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 31.4 s after t0, outside it",20.872777777777785,31.08,-21.24472222222539,False,9.927500000000236,False,False,,,31.44,31.44,31.44,True,252.0,,True,False,2026-07-19 13:14:41.039,30.0,120.0,False,False,False
belgium_2026_R_00016,belgium_2026_R,GAS,NOR,2026-07-19 13:14:11.440,5,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",35.90388888888888,34.199,-36.766388888889196,False,6.699999999999818,False,False,,,,,,False,256.0,,True,False,2026-07-19 13:14:41.440,30.0,120.0,False,False,False
belgium_2026_R_00017,belgium_2026_R,ALB,GAS,2026-07-19 13:14:12.079,5,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 45.4 s after t0, outside it",41.03194444444444,6.121,-40.342499999998836,False,7.7777777777778,False,False,,,45.361,45.361,45.361,True,256.0,,True,False,2026-07-19 13:14:42.079,30.0,120.0,False,False,False
belgium_2026_R_00018,belgium_2026_R,HAM,VER,2026-07-19 13:14:12.399,5,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 103.3 s after t0, outside it",20.055000000000007,10.96,-20.310555555555766,False,3.2000000000000455,False,False,,,98.84,103.281,103.281,True,181.0,,True,False,2026-07-19 13:14:42.399,30.0,120.0,False,False,False
belgium_2026_R_00019,belgium_2026_R,LAW,PIA,2026-07-19 13:14:12.399,5,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",58.96277777777783,10.96,-59.273888888888905,False,7.000000000000028,False,False,,,,,,False,193.0,,True,False,2026-07-19 13:14:42.399,30.0,120.0,False,False,False
belgium_2026_R_00020,belgium_2026_R,HUL,ALB,2026-07-19 13:14:12.679,5,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,34.25333333333333,5.521,-34.53777777777941,False,14.76666666666668,True,True,2026-07-19 13:14:18.400,5.721,5.721,5.721,5.721,False,244.0,,True,False,2026-07-19 13:14:42.679,30.0,120.0,False,False,False
belgium_2026_R_00021,belgium_2026_R,BOT,PER,2026-07-19 13:14:12.839,4,INVALID,no causal target sample at t0,11.289166666663732,39.88,,False,18.662777777778885,False,False,,,,,,False,,-32.327327327319026,False,False,2026-07-19 13:14:42.839,30.0,120.0,False,False,False
belgium_2026_R_00022,belgium_2026_R,BEA,ALO,2026-07-19 13:14:17.199,5,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,37.4663888888889,23.6,-37.576666666667734,False,11.111111111111086,True,True,2026-07-19 13:14:41.079,23.88,23.88,23.88,23.88,False,242.0,,True,False,2026-07-19 13:14:47.199,30.0,120.0,False,False,False
belgium_2026_R_00023,belgium_2026_R,PER,STR,2026-07-19 13:14:17.199,5,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",44.91361111111112,29.72,-44.55861111111153,False,4.088888888888846,False,False,,,,,,False,243.0,,True,False,2026-07-19 13:14:47.199,30.0,120.0,False,False,False
