zone_id,zone_type,start_m,end_m,corner_number,length_m
straight_01,straight,0.0,70.39304006159654,,70.39304006159654
brake_T1,brake,70.39304006159654,190.39304006159654,1.0,120.0
corner_T1,corner,190.39304006159654,250.39304006159654,1.0,60.0
brake_T2,brake,250.39304006159654,292.7898970294764,2.0,42.39685696787984
corner_T2,corner,292.7898970294764,352.7898970294764,2.0,60.0
straight_02,straight,352.7898970294764,553.6289536787175,,200.83905664924112
brake_T3,brake,553.6289536787175,673.6289536787175,3.0,120.0
corner_T3,corner,673.6289536787175,733.6289536787175,3.0,60.0
brake_T4,brake,733.6289536787175,737.6487775632371,4.0,4.01982388451961
corner_T4,corner,737.6487775632371,797.6487775632371,4.0,60.0
straight_03,straight,797.6487775632371,851.5017732777344,,53.8529957144973
brake_T5,brake,851.5017732777344,971.5017732777344,5.0,120.0
corner_T5,corner,971.5017732777344,1031.5017732777344,5.0,60.0
straight_04,straight,1031.5017732777344,1058.8536135178124,,27.35184024007799
brake_T6,brake,1058.8536135178124,1178.8536135178124,6.0,120.0
corner_T6,corner,1178.8536135178124,1238.8536135178124,6.0,60.0
brake_T7,brake,1238.8536135178124,1274.7058387492514,7.0,35.85222523143898
corner_T7,corner,1274.7058387492514,1334.7058387492514,7.0,60.0
straight_05,straight,1334.7058387492514,1842.3452888744719,,507.6394501252205
brake_T8,brake,1842.3452888744719,1962.3452888744719,8.0,120.0
corner_T8,corner,1962.3452888744719,2022.3452888744719,8.0,60.0
brake_T9,brake,2022.3452888744719,2046.5043518897328,9.0,24.159063015260926
corner_T9,corner,2046.5043518897328,2106.504351889733,9.0,60.0
straight_06,straight,2106.504351889733,2519.5499715300793,,413.04561964034656
brake_T10,brake,2519.5499715300793,2639.5499715300793,10.0,120.0
corner_T10,corner,2639.5499715300793,2699.5499715300793,10.0,60.0
brake_T11,brake,2699.5499715300793,2739.8428141361096,11.0,40.29284260603026
corner_T11,corner,2739.8428141361096,2799.8428141361096,11.0,60.0
straight_07,straight,2799.8428141361096,3005.6801661992336,,205.83735206312394
brake_T12,brake,3005.6801661992336,3125.6801661992336,12.0,120.0
corner_T12,corner,3125.6801661992336,3185.6801661992336,12.0,60.0
straight_08,straight,3185.6801661992336,3720.2652777777794,,534.5851115785458
brake_T13,brake,3720.2652777777794,3840.2652777777794,13.0,120.0
corner_T13,corner,3840.2652777777794,3900.2652777777794,13.0,60.0
corner_T14,corner,3900.2652777777794,3937.526293551249,14.0,37.26101577346981
straight_09,straight,3937.526293551249,4543.174444444448,,605.6481508931993
