event_id,race_id,attacker,target,event_start_time,event_start_lap,event_type,reason,gap_at_start_m,duration_s,cum_distance_diff_at_start_m,lapped_at_start,max_gap_jump_m,swap_by_distance,swap_by_driver_ahead,swap_time,swap_delay_s,swap_distance_delay_any_s,swap_ahead_delay_any_s,actual_swap_delay_s,pass_after_horizon,target_speed_at_start_kmh,closing_speed_at_start_kmh,green_at_start,target_retires_in_window,horizon_end,horizon_s_effective,audit_horizon_s,either_in_box_lap_at_start,either_pit_in_window,target_pit_before_outcome
canada_2026_R_00001,canada_2026_R,ANT,NOR,2026-05-24 20:11:15.770,2,PIT_RELATED,attacker or target on a box lap at t0,86.4413888888889,35.599,-86.42249999999967,False,10.693333333333385,False,False,,,35.799,35.799,35.799,True,262.0,-38.53385416666777,False,False,2026-05-24 20:11:45.770,30.0,120.0,True,True,False
canada_2026_R_00002,canada_2026_R,RUS,ANT,2026-05-24 20:11:16.530,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",47.39583333333333,34.839,-47.414722222221826,False,7.377777777777766,False,False,,,,,,False,276.0,46.12857142856879,True,False,2026-05-24 20:11:46.530,30.0,120.0,False,False,False
canada_2026_R_00003,canada_2026_R,HAM,RUS,2026-05-24 20:11:17.170,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 70.9 s after t0, outside it",43.25694444444444,50.92,-43.25694444444434,False,15.30000000000041,False,False,,,70.92,70.92,70.92,True,286.0,-58.83510638297091,True,False,2026-05-24 20:11:47.170,30.0,120.0,False,False,False
canada_2026_R_00004,canada_2026_R,LEC,VER,2026-05-24 20:11:18.689,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",38.78083333333333,219.722,-38.71666666666715,False,12.83416666666389,False,False,,,,,,False,275.0,-7.34241245136365,True,False,2026-05-24 20:11:48.689,30.0,120.0,False,False,False
canada_2026_R_00005,canada_2026_R,VER,HAM,2026-05-24 20:11:19.009,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",91.44472222222223,61.841,-91.40777777777839,False,11.977777777777646,False,False,,,84.081,,,False,179.0,22.1712887438848,True,False,2026-05-24 20:11:49.009,30.0,120.0,False,False,False
canada_2026_R_00006,canada_2026_R,HAD,LEC,2026-05-24 20:11:20.010,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",85.74666666666667,32.279,-85.83500000000004,False,7.999999999999972,False,False,,,,,,False,242.0,4.816586921846569,True,False,2026-05-24 20:11:50.010,30.0,120.0,False,False,False
canada_2026_R_00007,canada_2026_R,COL,HAD,2026-05-24 20:11:21.090,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",88.31111111111112,58.2,-88.32388888888909,False,14.666666666667197,False,False,,,,,,False,257.0,-39.55350353068904,True,False,2026-05-24 20:11:51.090,30.0,120.0,False,False,False
canada_2026_R_00008,canada_2026_R,LAW,COL,2026-05-24 20:11:21.690,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",39.09999999999999,32.76,-38.933333333333394,False,10.800000000000182,False,False,,,,,,False,260.0,-34.40357142857514,True,False,2026-05-24 20:11:51.690,30.0,120.0,False,False,False
canada_2026_R_00009,canada_2026_R,HUL,LAW,2026-05-24 20:11:22.250,2,PIT_RELATED,attacker or target on a box lap at t0,45.85638888888888,32.36,-46.00583333333361,False,22.499999999999773,False,False,,,,,,False,261.0,26.861500000001538,False,False,2026-05-24 20:11:52.250,30.0,120.0,True,True,False
canada_2026_R_00010,canada_2026_R,BEA,HUL,2026-05-24 20:11:23.730,2,PIT_RELATED,attacker or target on a box lap at t0,99.4402777777778,52.6,-99.03805555555573,False,7.733333333333462,False,False,,,53.04,53.04,53.04,True,222.0,-74.93829787235002,False,False,2026-05-24 20:11:53.730,30.0,120.0,True,True,False
canada_2026_R_00011,canada_2026_R,GAS,BEA,2026-05-24 20:11:23.730,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",15.378333333333327,12.08,-15.79777777777781,False,5.59999999999998,False,False,,,,,,False,305.0,,True,False,2026-05-24 20:11:53.730,30.0,120.0,False,False,False
canada_2026_R_00012,canada_2026_R,BOR,GAS,2026-05-24 20:11:24.969,2,PIT_RELATED,attacker or target on a box lap at t0,13.980277777777772,13.08,-13.849444444444089,False,4.5,True,True,2026-05-24 20:11:38.289,13.32,13.32,13.32,13.32,False,272.0,-17.73813169983723,False,False,2026-05-24 20:11:54.969,30.0,120.0,True,True,False
canada_2026_R_00013,canada_2026_R,OCO,ALO,2026-05-24 20:11:25.249,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",47.781666666666666,10.121,-47.73416666666617,False,3.200000000000003,False,False,,,,,,False,278.0,,True,False,2026-05-24 20:11:55.249,30.0,120.0,False,False,False
canada_2026_R_00014,canada_2026_R,SAI,OCO,2026-05-24 20:11:26.650,2,PIT_RELATED,attacker or target on a box lap at t0,97.28972222222222,27.96,-97.3133333333335,False,16.800000000000068,False,False,,,,,,False,214.0,,False,False,2026-05-24 20:11:56.650,30.0,120.0,True,True,False
canada_2026_R_00015,canada_2026_R,PER,SAI,2026-05-24 20:11:27.050,2,PIT_RELATED,attacker or target on a box lap at t0,18.14027777777777,27.56,-18.125833333333503,False,11.700000000000045,True,True,2026-05-24 20:11:54.930,27.88,27.88,27.88,27.88,False,271.0,,False,False,2026-05-24 20:11:57.050,30.0,120.0,True,True,False
canada_2026_R_00016,canada_2026_R,BOT,PER,2026-05-24 20:11:27.450,2,PIT_RELATED,attacker or target on a box lap at t0,25.96111111111111,5.84,-26.02694444444478,False,2.5999999999999943,False,False,,,82.96,82.96,82.96,True,263.0,,False,False,2026-05-24 20:11:57.450,30.0,120.0,True,True,False
canada_2026_R_00017,canada_2026_R,STR,BOT,2026-05-24 20:11:33.490,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 51.1 s after t0, outside it",70.06027777777769,3.68,-69.9513888888896,False,5.600000000000023,False,False,,,51.12,51.12,51.12,True,78.0,,True,False,2026-05-24 20:12:03.490,30.0,120.0,False,False,False
