zone_id,zone_type,start_m,end_m,corner_number,length_m
straight_01,straight,0.0,441.55789151851525,,441.55789151851525
brake_T1,brake,441.55789151851525,561.5578915185152,1.0,120.0
corner_T1,corner,561.5578915185152,621.5578915185152,1.0,60.0
brake_T2,brake,621.5578915185152,739.406612090792,2.0,117.84872057227676
corner_T2,corner,739.406612090792,799.406612090792,2.0,60.0
brake_T3,brake,799.406612090792,909.2025121056611,3.0,109.79590001486906
corner_T3,corner,909.2025121056611,969.2025121056611,3.0,60.0
brake_T4,brake,969.2025121056611,1002.0369161815734,4.0,32.83440407591229
corner_T4,corner,1002.0369161815734,1062.0369161815734,4.0,60.0
straight_02,straight,1062.0369161815734,1207.3654807244234,,145.32856454285002
brake_T5,brake,1207.3654807244234,1327.3654807244234,5.0,120.0
corner_T5,corner,1327.3654807244234,1387.3654807244234,5.0,60.0
straight_03,straight,1387.3654807244234,1449.2294547912513,,61.86397406682795
brake_T6,brake,1449.2294547912513,1569.2294547912513,6.0,120.0
corner_T6,corner,1569.2294547912513,1629.2294547912513,6.0,60.0
straight_04,straight,1629.2294547912513,1915.6319128491195,,286.4024580578682
brake_T7,brake,1915.6319128491195,2035.6319128491195,7.0,120.0
corner_T7,corner,2035.6319128491195,2095.6319128491195,7.0,60.0
straight_05,straight,2095.6319128491195,2211.50459596787,,115.8726831187505
brake_T8,brake,2211.50459596787,2331.50459596787,8.0,120.0
corner_T8,corner,2331.50459596787,2391.50459596787,8.0,60.0
brake_T9,brake,2391.50459596787,2501.619906130312,9.0,110.1153101624418
corner_T9,corner,2501.619906130312,2561.619906130312,9.0,60.0
brake_T10,brake,2561.619906130312,2622.8936812823104,10.0,61.27377515199851
corner_T10,corner,2622.8936812823104,2682.8936812823104,10.0,60.0
straight_06,straight,2682.8936812823104,2971.7107806350714,,288.81709935276103
brake_T11,brake,2971.7107806350714,3091.7107806350714,11.0,120.0
corner_T11,corner,3091.7107806350714,3151.7107806350714,11.0,60.0
brake_T12,brake,3151.7107806350714,3168.4327455486805,12.0,16.7219649136091
corner_T12,corner,3168.4327455486805,3228.4327455486805,12.0,60.0
straight_07,straight,3228.4327455486805,3232.641364942598,,4.2086193939176155
brake_T13,brake,3232.641364942598,3352.641364942598,13.0,120.0
corner_T13,corner,3352.641364942598,3412.641364942598,13.0,60.0
straight_08,straight,3412.641364942598,4608.374754182525,,1195.733389239927
brake_T14,brake,4608.374754182525,4728.374754182525,14.0,120.0
corner_T14,corner,4728.374754182525,4788.374754182525,14.0,60.0
brake_T15,brake,4788.374754182525,4816.200288407842,15.0,27.825534225316915
corner_T15,corner,4816.200288407842,4876.200288407842,15.0,60.0
straight_09,straight,4876.200288407842,4979.527726473932,,103.3274380660896
brake_T16,brake,4979.527726473932,5099.527726473932,16.0,120.0
corner_T16,corner,5099.527726473932,5159.527726473932,16.0,60.0
straight_10,straight,5159.527726473932,5762.717499999997,,603.1897735260654
