event_id,race_id,year,circuit,attacker,target,target_number,event_start_time,event_end_time,event_duration_s,in_band_duration_s,horizon_end_time,horizon_s_effective,event_start_lap,n_samples_in_episode,gap_at_start_m,gap_at_start_s_crude_audit,gap_min_in_episode_m,attacker_speed_at_start_kmh,target_speed_same_time_kmh_audit,relative_speed_same_time_kmh_audit,closing_speed_v1_kmh_audit,closing_speed_v1_window_s_audit,closing_speed_v1_available_audit,attacker_position,target_position,track_distance_at_start_m,zone_id,distance_to_next_corner_m,distance_to_next_straight_m,compound,tyre_age,stint,EstimatedEnergyIndex,LookaheadDeployProxy,LookaheadHarvestProxy,LookaheadCoveredM,lookahead_truncated,TrackStatus,freeze_flag,event_type,overtake_success,actual_swap_delay_s,pass_after_horizon,attacker_PositionChange_audit,target_speed_at_attacker_position_kmh,relative_speed_same_position_kmh,spatial_time_gap_s,spatial_alignment_ok,spatial_alignment_lag_raw_s,closing_speed_at_start_kmh,closing_speed_n_samples,closing_speed_available,closing_speed_window_s,zone_type,track_position_frac,circuit_length_m,corner_count,longest_straight_m,n_long_straights_over_500m,pair_id,cluster_id,reciprocal_event_id,window_crosses_start_finish,detector_version
china_2026_R_00001,china_2026_R,2026,Chinese Grand Prix,ANT,HAM,44,2026-03-15 07:05:40.491,2026-03-15 07:06:43.731,63.24,63.24,2026-03-15 07:06:10.491,30.0,2,232,54.6413888888889,0.7101407942238268,10.379722222222199,277.0,288.0,-11.0,,,False,1.0,2.0,20.21944444444445,straight_01,541.3384470740708,1041.817471737129,MEDIUM,2.0,1.0,0.9909021976024399,28296.288142565412,942.7036957544263,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,,False,-1.0,279.36058673469387,-2.360586734693868,0.690517,True,0.690517,-28.080956335918508,13,True,3.0,straight,0.0035086648693857473,5762.717499999997,16,1195.733389239927,2,china_2026_R|ANT|HAM,china_2026_R|L2|china_2026_R|ANT|HAM,,False,v4_t0_anchored_30s_horizon
china_2026_R_00002,china_2026_R,2026,Chinese Grand Prix,LEC,ANT,12,2026-03-15 07:05:41.491,2026-03-15 07:06:28.091,46.6,46.6,2026-03-15 07:06:11.491,30.0,2,175,71.95944444444443,0.959459259259259,14.097222222222172,270.0,277.0,-7.0,,,False,3.0,1.0,25.049999999999997,straight_01,536.5078915185153,1036.9869161815734,MEDIUM,2.0,1.0,0.9687921631241969,28296.288142565412,942.7036957544263,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,62.64,True,0.0,277.0,-7.0,0.93722,True,0.93722,-3.613731991746553,13,True,3.0,straight,0.004346907513686036,5762.717499999997,16,1195.733389239927,2,china_2026_R|ANT|LEC,china_2026_R|L2|china_2026_R|ANT|LEC,,False,v4_t0_anchored_30s_horizon
china_2026_R_00003,china_2026_R,2026,Chinese Grand Prix,RUS,LEC,16,2026-03-15 07:05:42.251,2026-03-15 07:06:28.091,45.84,45.32,2026-03-15 07:06:12.251,30.0,2,168,58.40472222222222,0.8055823754789272,10.155555555555111,261.0,292.0,-31.0,,,False,4.0,3.0,24.8675,straight_01,536.6903915185153,1037.1694161815733,MEDIUM,2.0,1.0,0.9694870268691311,28296.288142565412,942.7036957544263,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,46.28,True,0.0,270.0,-9.0,0.762433,True,0.762433,-163.8108000359036,14,True,3.0,straight,0.0043152384270094815,5762.717499999997,16,1195.733389239927,2,china_2026_R|LEC|RUS,china_2026_R|L2|china_2026_R|LEC|RUS,,False,v4_t0_anchored_30s_horizon
china_2026_R_00004,china_2026_R,2026,Chinese Grand Prix,GAS,RUS,63,2026-03-15 07:05:43.011,2026-03-15 07:05:56.771,13.76,13.76,2026-03-15 07:06:13.011,30.0,2,51,58.07666666666667,0.8675352697095436,58.07666666666667,241.0,261.0,-20.0,,,False,5.0,4.0,21.890833333333337,straight_01,539.6670581851819,1040.14608284824,MEDIUM,2.0,1.0,0.9620954385373863,28296.288142565412,942.7036957544263,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,86.24,True,0.0,261.0,-20.0,0.801057,True,0.801057,38.67955309140147,14,True,3.0,straight,0.0037986997164676816,5762.717499999997,16,1195.733389239927,2,china_2026_R|GAS|RUS,china_2026_R|L2|china_2026_R|GAS|RUS,,False,v4_t0_anchored_30s_horizon
china_2026_R_00005,china_2026_R,2026,Chinese Grand Prix,LAW,COL,43,2026-03-15 07:05:46.410,2026-03-15 07:05:53.531,7.121,7.121,2026-03-15 07:06:16.410,30.0,2,28,45.25249999999999,0.6147509433962263,41.63222222222225,265.0,275.0,-10.0,,,False,7.0,6.0,18.59777777777778,straight_01,542.9601137407375,1043.4391384037956,MEDIUM,2.0,1.0,0.9629872710181503,28296.288142565412,942.7036957544263,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,83.161,True,0.0,273.2211515151515,-8.221151515151519,0.573461,True,0.573461,-29.164108086876006,13,True,3.0,straight,0.0032272582818397375,5762.717499999997,16,1195.733389239927,2,china_2026_R|COL|LAW,china_2026_R|L2|china_2026_R|COL|LAW,,False,v4_t0_anchored_30s_horizon
china_2026_R_00006,china_2026_R,2026,Chinese Grand Prix,SAI,ALO,14,2026-03-15 07:05:48.011,2026-03-15 07:05:54.811,6.8,6.8,2026-03-15 07:06:18.011,30.0,2,12,20.851388888888884,0.27597426470588227,11.906944444444463,272.0,274.0,-2.0,,,False,11.0,13.0,30.877499999999998,straight_01,530.6803915185153,1031.1594161815733,MEDIUM,2.0,1.0,0.9585228880398274,28296.288142565412,942.7036957544263,400.0,False,1,False,ON_TRACK_PASS,1.0,4.279,False,0.0,269.52571759259257,2.474282407407429,0.275885,True,0.275885,-8.011944237787844,13,True,3.0,straight,0.005358149171810003,5762.717499999997,16,1195.733389239927,2,china_2026_R|ALO|SAI,china_2026_R|L2|china_2026_R|ALO|SAI,,False,v4_t0_anchored_30s_horizon
china_2026_R_00007,china_2026_R,2026,Chinese Grand Prix,VER,SAI,55,2026-03-15 07:05:49.571,2026-03-15 07:05:56.091,6.52,5.88,2026-03-15 07:06:19.571,30.0,2,14,33.49277777777779,0.4087254237288137,11.094166666666524,295.0,302.0,-7.0,,,False,10.0,11.0,121.47361111111111,straight_01,440.08428040740415,940.5633050704622,SOFT,5.0,1.0,0.9850481605114959,23944.167299211,45593.048922565366,400.00000000000006,False,1,False,ON_TRACK_PASS,1.0,6.68,False,-3.0,298.14480066445185,-3.14480066445185,0.399382,True,0.399382,0.3306503092829964,11,True,3.0,straight,0.02107922366680497,5762.717499999997,16,1195.733389239927,2,china_2026_R|SAI|VER,china_2026_R|L2|china_2026_R|SAI|VER,,False,v4_t0_anchored_30s_horizon
china_2026_R_00008,china_2026_R,2026,Chinese Grand Prix,HUL,BOT,77,2026-03-15 07:05:49.571,2026-03-15 07:05:53.771,4.2,4.2,2026-03-15 07:06:19.571,30.0,2,18,37.08666666666666,0.5115402298850573,37.08666666666666,261.0,296.0,-35.0,,,False,15.0,14.0,55.027499999999996,straight_01,506.5303915185153,1007.0094161815733,HARD,2.0,1.0,0.991038779205956,27562.748306811696,8468.415430995998,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,88.679,True,0.0,290.6084417808219,-29.60844178082192,0.45277,True,0.45277,-31.954840232322407,11,True,3.0,straight,0.009548880367639057,5762.717499999997,16,1195.733389239927,2,china_2026_R|BOT|HUL,china_2026_R|L2|china_2026_R|BOT|HUL,,False,v4_t0_anchored_30s_horizon
china_2026_R_00009,china_2026_R,2026,Chinese Grand Prix,STR,HUL,27,2026-03-15 07:05:49.731,2026-03-15 07:05:57.850,8.119,8.119,2026-03-15 07:06:19.731,30.0,2,31,53.8725,0.7052400000000001,15.037499999999966,275.0,261.0,14.0,,,False,16.0,15.0,13.539444444444445,straight_01,548.0184470740708,1048.497471737129,HARD,2.0,1.0,0.9722252447888563,28296.288142565412,942.7036957544263,400.0,False,1,False,ON_TRACK_PASS,1.0,26.72,False,0.0,,,,False,,-30.000702507468176,12,True,3.0,straight,0.0023494895324028034,5762.717499999997,16,1195.733389239927,2,china_2026_R|HUL|STR,china_2026_R|L2|china_2026_R|HUL|STR,china_2026_R_00027,False,v4_t0_anchored_30s_horizon
china_2026_R_00010,china_2026_R,2026,Chinese Grand Prix,ALO,LIN,41,2026-03-15 07:05:50.091,2026-03-15 07:05:54.811,4.72,3.88,2026-03-15 07:06:20.091,30.0,2,11,63.7905555555555,0.800160278745644,29.436388888888928,287.0,314.0,-27.0,,,False,13.0,9.0,214.46888888888887,straight_01,347.0890026296264,847.5680272926845,HARD,2.0,1.0,0.9728658560062097,18161.909009930027,83942.84918903498,400.0,False,1,False,ON_TRACK_PASS,1.0,4.92,False,3.0,311.074398443029,-24.074398443028997,0.730643,True,0.730643,0.4107840621665203,12,True,3.0,straight,0.03721662373505017,5762.717499999997,16,1195.733389239927,2,china_2026_R|ALO|LIN,china_2026_R|L2|china_2026_R|ALO|LIN,,False,v4_t0_anchored_30s_horizon
