event_id,race_id,attacker,target,event_start_time,event_start_lap,event_type,reason,gap_at_start_m,duration_s,cum_distance_diff_at_start_m,lapped_at_start,max_gap_jump_m,swap_by_distance,swap_by_driver_ahead,swap_time,swap_delay_s,swap_distance_delay_any_s,swap_ahead_delay_any_s,actual_swap_delay_s,pass_after_horizon,target_speed_at_start_kmh,closing_speed_at_start_kmh,green_at_start,target_retires_in_window,horizon_end,horizon_s_effective,audit_horizon_s,either_in_box_lap_at_start,either_pit_in_window,target_pit_before_outcome
china_2026_R_00001,china_2026_R,ANT,HAM,2026-03-15 07:05:40.491,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",54.6413888888889,63.24,-54.56277777777723,False,7.666666666666629,False,False,,,,98.96,,False,288.0,,True,False,2026-03-15 07:06:10.491,30.0,120.0,False,False,False
china_2026_R_00002,china_2026_R,LEC,ANT,2026-03-15 07:05:41.491,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 62.6 s after t0, outside it",71.95944444444443,46.6,-72.11388888888905,False,9.888888888888914,False,False,,,62.64,62.64,62.64,True,277.0,,True,False,2026-03-15 07:06:11.491,30.0,120.0,False,False,False
china_2026_R_00003,china_2026_R,RUS,LEC,2026-03-15 07:05:42.251,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 46.3 s after t0, outside it",58.40472222222222,45.84,-58.40472222222161,False,10.0,False,False,,,46.28,46.28,46.28,True,292.0,,True,False,2026-03-15 07:06:12.251,30.0,120.0,False,False,False
china_2026_R_00004,china_2026_R,GAS,RUS,2026-03-15 07:05:43.011,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 86.2 s after t0, outside it",58.07666666666667,13.76,-58.076666666666824,False,4.933333333333394,False,False,,,86.24,86.24,86.24,True,261.0,,True,False,2026-03-15 07:06:13.011,30.0,120.0,False,False,False
china_2026_R_00005,china_2026_R,LAW,COL,2026-03-15 07:05:46.410,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 83.2 s after t0, outside it",45.25249999999999,7.121,-43.80611111111102,False,1.2666666666665947,False,False,,,83.161,83.161,83.161,True,275.0,,True,False,2026-03-15 07:06:16.410,30.0,120.0,False,False,False
china_2026_R_00006,china_2026_R,SAI,ALO,2026-03-15 07:05:48.011,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,20.851388888888884,6.8,-20.913611111111095,False,25.433333333333394,True,True,2026-03-15 07:05:52.290,4.279,4.279,4.279,4.279,False,274.0,,True,False,2026-03-15 07:06:18.011,30.0,120.0,False,False,False
china_2026_R_00007,china_2026_R,VER,SAI,2026-03-15 07:05:49.571,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,33.49277777777779,6.52,-33.49277777777752,False,19.077777777777897,True,True,2026-03-15 07:05:56.251,6.68,6.68,6.68,6.68,False,302.0,,True,False,2026-03-15 07:06:19.571,30.0,120.0,False,False,False
china_2026_R_00008,china_2026_R,HUL,BOT,2026-03-15 07:05:49.571,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 88.7 s after t0, outside it",37.08666666666666,4.2,-37.12472222222186,False,6.93333333333328,False,False,,,88.679,88.679,88.679,True,296.0,,True,False,2026-03-15 07:06:19.571,30.0,120.0,False,False,False
china_2026_R_00009,china_2026_R,STR,HUL,2026-03-15 07:05:49.731,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,53.8725,8.119,-53.088055555555,False,8.240833333333285,True,True,2026-03-15 07:06:16.451,26.72,26.72,26.72,26.72,False,261.0,,True,False,2026-03-15 07:06:19.731,30.0,120.0,False,False,False
china_2026_R_00010,china_2026_R,ALO,LIN,2026-03-15 07:05:50.091,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,63.7905555555555,4.72,-63.72833333333347,False,35.96916666666664,True,True,2026-03-15 07:05:55.011,4.92,4.92,4.92,4.92,False,314.0,,True,False,2026-03-15 07:06:20.091,30.0,120.0,False,False,False
