zone_id,zone_type,start_m,end_m,corner_number,length_m
straight_01,straight,0.0,558.5071885773141,,558.5071885773141
brake_T1,brake,558.5071885773141,678.5071885773141,1.0,120.0
corner_T1,corner,678.5071885773141,738.5071885773141,1.0,60.0
brake_T2,brake,738.5071885773141,795.1939770737913,2.0,56.68678849647722
corner_T2,corner,795.1939770737913,855.1939770737913,2.0,60.0
straight_02,straight,855.1939770737913,919.0869410023893,,63.892963928597965
brake_T3,brake,919.0869410023893,1039.0869410023893,3.0,120.0
corner_T3,corner,1039.0869410023893,1099.0869410023893,3.0,60.0
brake_T4,brake,1099.0869410023893,1157.2399212397477,4.0,58.152980237358406
corner_T4,corner,1157.2399212397477,1217.2399212397477,4.0,60.0
brake_T5,brake,1217.2399212397477,1316.9874712388341,5.0,99.74754999908646
corner_T5,corner,1316.9874712388341,1376.9874712388341,5.0,60.0
brake_T6,brake,1376.9874712388341,1481.6480995239986,6.0,104.66062828516442
corner_T6,corner,1481.6480995239986,1541.6480995239986,6.0,60.0
straight_03,straight,1541.6480995239986,1689.4937716280324,,147.84567210403384
brake_T7,brake,1689.4937716280324,1809.4937716280324,7.0,120.0
corner_T7,corner,1809.4937716280324,1869.4937716280324,7.0,60.0
straight_04,straight,1869.4937716280324,2106.2163515919974,,236.72257996396502
brake_T8,brake,2106.2163515919974,2226.2163515919974,8.0,120.0
corner_T8,corner,2226.2163515919974,2286.2163515919974,8.0,60.0
brake_T9,brake,2286.2163515919974,2378.0453408722724,9.0,91.82898928027498
corner_T9,corner,2378.0453408722724,2438.0453408722724,9.0,60.0
straight_05,straight,2438.0453408722724,2575.500005447459,,137.4546645751866
brake_T10,brake,2575.500005447459,2695.500005447459,10.0,120.0
corner_T10,corner,2695.500005447459,2755.500005447459,10.0,60.0
brake_T11,brake,2755.500005447459,2851.195277777776,11.0,95.69527233031704
corner_T11,corner,2851.195277777776,2911.195277777776,11.0,60.0
straight_06,straight,2911.195277777776,2983.5104392597545,,72.31516148197852
brake_T12,brake,2983.5104392597545,3103.5104392597545,12.0,120.0
corner_T12,corner,3103.5104392597545,3163.5104392597545,12.0,60.0
straight_07,straight,3163.5104392597545,3614.3958086624216,,450.88536940266704
brake_T13,brake,3614.3958086624216,3734.3958086624216,13.0,120.0
corner_T13,corner,3734.3958086624216,3794.3958086624216,13.0,60.0
brake_T14,brake,3794.3958086624216,3890.8398358262366,14.0,96.44402716381501
corner_T14,corner,3890.8398358262366,3950.8398358262366,14.0,60.0
straight_08,straight,3950.8398358262366,4808.165630008997,,857.3257941827605
brake_T15,brake,4808.165630008997,4928.165630008997,15.0,120.0
corner_T15,corner,4928.165630008997,4988.165630008997,15.0,60.0
straight_09,straight,4988.165630008997,5200.515145404754,,212.3495153957565
brake_T16,brake,5200.515145404754,5320.515145404754,16.0,120.0
corner_T16,corner,5320.515145404754,5380.515145404754,16.0,60.0
brake_T17,brake,5380.515145404754,5397.408733290231,17.0,16.893587885477245
corner_T17,corner,5397.408733290231,5457.408733290231,17.0,60.0
brake_T18,brake,5457.408733290231,5567.070201492223,18.0,109.66146820199174
corner_T18,corner,5567.070201492223,5627.070201492223,18.0,60.0
straight_10,straight,5627.070201492223,6134.094166666663,,507.0239651744405
