event_id,race_id,attacker,target,event_start_time,event_start_lap,event_type,reason,gap_at_start_m,duration_s,cum_distance_diff_at_start_m,lapped_at_start,max_gap_jump_m,swap_by_distance,swap_by_driver_ahead,swap_time,swap_delay_s,swap_distance_delay_any_s,swap_ahead_delay_any_s,actual_swap_delay_s,pass_after_horizon,target_speed_at_start_kmh,closing_speed_at_start_kmh,green_at_start,target_retires_in_window,horizon_end,horizon_s_effective,audit_horizon_s,either_in_box_lap_at_start,either_pit_in_window,target_pit_before_outcome
japan_2026_R_00001,japan_2026_R,NOR,LEC,2026-03-29 05:15:39.794,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 49.9 s after t0, outside it",63.546111111111124,29.441,-62.59277777777788,False,11.666666666666629,False,False,,,49.881,49.881,49.881,True,279.0,,True,False,2026-03-29 05:16:09.794,30.0,120.0,False,False,False
japan_2026_R_00002,japan_2026_R,GAS,RUS,2026-03-29 05:15:42.554,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 32.5 s after t0, outside it",45.01777777777778,12.52,-44.76333333333332,False,9.375277777777796,False,False,,,32.52,32.52,32.52,True,312.0,,True,False,2026-03-29 05:16:12.554,30.0,120.0,False,False,False
japan_2026_R_00003,japan_2026_R,RUS,HAM,2026-03-29 05:15:44.994,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,30.216388888888844,10.08,-30.216388888889014,False,7.466666666666583,True,True,2026-03-29 05:15:49.074,4.08,4.08,4.08,4.08,False,297.0,,True,False,2026-03-29 05:16:14.994,30.0,120.0,False,False,False
japan_2026_R_00004,japan_2026_R,LAW,OCO,2026-03-29 05:15:45.514,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",48.99999999999999,13.84,-48.65916666666635,False,7.7999999999999545,False,False,,,,,,False,298.0,,True,False,2026-03-29 05:16:15.514,30.0,120.0,False,False,False
japan_2026_R_00005,japan_2026_R,LIN,GAS,2026-03-29 05:15:46.034,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",92.10472222222222,28.68,-92.35916666666617,False,8.799999999999955,False,False,,,,,,False,323.0,,True,False,2026-03-29 05:16:16.034,30.0,120.0,False,False,False
japan_2026_R_00006,japan_2026_R,HAM,ANT,2026-03-29 05:15:46.474,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,10.552499999999895,8.6,-10.552500000000691,False,3.599999999999909,True,True,2026-03-29 05:16:14.354,27.88,27.88,27.88,27.88,False,318.0,-21.702702702702553,True,False,2026-03-29 05:16:16.474,30.0,120.0,False,False,False
japan_2026_R_00007,japan_2026_R,SAI,COL,2026-03-29 05:15:46.714,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 36.7 s after t0, outside it",60.52944444444444,3.401,-59.977222222222736,False,3.7000000000000455,False,False,,,36.681,36.681,36.681,True,315.0,,True,False,2026-03-29 05:16:16.714,30.0,120.0,False,False,False
japan_2026_R_00008,japan_2026_R,LEC,PIA,2026-03-29 05:15:47.074,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 75.1 s after t0, outside it",92.97555555555596,20.68,-92.98222222222284,False,6.999999999999886,False,False,,,75.121,75.121,75.121,True,198.0,49.81395348837129,True,False,2026-03-29 05:16:17.074,30.0,120.0,False,False,False
japan_2026_R_00009,japan_2026_R,HAD,LIN,2026-03-29 05:15:47.274,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",11.399444444444441,27.44,-11.39944444444427,False,8.533333333333076,False,False,,,,,,False,322.0,-31.61290322580636,True,False,2026-03-29 05:16:17.274,30.0,120.0,False,False,False
japan_2026_R_00010,japan_2026_R,BEA,SAI,2026-03-29 05:15:47.274,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,39.98166666666668,5.92,-40.72555555555573,False,6.5333333333334735,True,True,2026-03-29 05:15:53.474,6.2,6.2,6.2,6.2,False,286.0,,True,False,2026-03-29 05:16:17.274,30.0,120.0,False,False,False
japan_2026_R_00011,japan_2026_R,ANT,NOR,2026-03-29 05:15:48.154,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 30.6 s after t0, outside it",98.83416666666642,25.84,-99.78749999999945,False,6.311111111111018,False,False,,,30.56,30.56,30.56,True,218.0,64.02380952381004,True,False,2026-03-29 05:16:18.154,30.0,120.0,False,False,False
japan_2026_R_00012,japan_2026_R,ALB,BEA,2026-03-29 05:15:48.154,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 99.9 s after t0, outside it",65.20222222222222,3.24,-65.20055555555518,False,5.455277777777752,False,False,,,99.88,99.0,99.88,True,287.0,,True,False,2026-03-29 05:16:18.154,30.0,120.0,False,False,False
japan_2026_R_00013,japan_2026_R,BOR,LAW,2026-03-29 05:15:48.394,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,30.105555555555554,29.4,-21.3100000000004,False,3.060277777777742,True,True,2026-03-29 05:16:10.635,22.241,22.241,22.241,22.241,False,308.0,,True,False,2026-03-29 05:16:18.394,30.0,120.0,False,False,False
japan_2026_R_00014,japan_2026_R,OCO,HAD,2026-03-29 05:15:48.394,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,99.7716666666667,27.681,-99.67694444444442,False,8.914722222222167,True,True,2026-03-29 05:16:16.275,27.881,27.881,27.881,27.881,False,295.0,22.06249999999997,True,False,2026-03-29 05:16:18.394,30.0,120.0,False,False,False
japan_2026_R_00015,japan_2026_R,PER,ALB,2026-03-29 05:15:48.394,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",48.273333333333326,9.88,-48.274999999999636,False,9.86666666666666,False,False,,,,,,False,278.0,,True,False,2026-03-29 05:16:18.394,30.0,120.0,False,False,False
japan_2026_R_00016,japan_2026_R,HUL,PER,2026-03-29 05:15:49.595,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,11.21888888888887,8.679,-11.170555555556348,False,7.666666666666629,True,True,2026-03-29 05:15:58.554,8.959,8.959,8.959,8.959,False,305.0,-9.392070484581389,True,False,2026-03-29 05:16:19.595,30.0,120.0,False,False,False
japan_2026_R_00017,japan_2026_R,ALO,HUL,2026-03-29 05:15:49.955,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",64.72916666666666,8.319,-64.77750000000015,False,5.833333333333371,False,False,,,,,,False,272.0,,True,False,2026-03-29 05:16:19.955,30.0,120.0,False,False,False
japan_2026_R_00018,japan_2026_R,COL,BOR,2026-03-29 05:15:51.034,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,14.060277777777799,9.52,-23.099722222222226,False,7.400000000000091,True,True,2026-03-29 05:16:00.834,9.8,9.8,9.8,9.8,False,330.0,,True,False,2026-03-29 05:16:21.034,30.0,120.0,False,False,False
japan_2026_R_00019,japan_2026_R,VER,COL,2026-03-29 05:15:51.794,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,10.979722222222222,3.28,-11.171388888888941,False,7.2333333333333485,True,True,2026-03-29 05:16:16.275,24.481,24.481,24.481,24.481,False,301.0,-45.63157894736838,True,False,2026-03-29 05:16:21.794,30.0,120.0,False,False,False
japan_2026_R_00020,japan_2026_R,STR,ALO,2026-03-29 05:15:52.354,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 85.7 s after t0, outside it",95.22222222222223,30.641,-95.22222222222172,False,7.850277777777819,False,False,,,85.72,85.72,85.72,True,319.0,,True,False,2026-03-29 05:16:22.354,30.0,120.0,False,False,False
japan_2026_R_00021,japan_2026_R,RUS,ANT,2026-03-29 05:15:54.194,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 60.4 s after t0, outside it",19.46305555555557,9.601,-19.463055555555,False,4.888888888888914,False,False,,,60.4,60.4,60.4,True,159.0,,True,False,2026-03-29 05:16:24.194,30.0,120.0,False,False,False
japan_2026_R_00022,japan_2026_R,BOT,STR,2026-03-29 05:15:54.194,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",10.764999999999986,32.08,-10.600000000000364,False,4.92305555555572,False,False,,,,,,False,315.0,-18.000000000000036,True,False,2026-03-29 05:16:24.194,30.0,120.0,False,False,False
japan_2026_R_00023,japan_2026_R,GAS,HAM,2026-03-29 05:15:54.194,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 34.8 s after t0, outside it",23.0172222222227,9.601,-22.762777777777956,False,5.066666666666606,False,False,,,34.801,34.801,34.801,True,168.0,,True,False,2026-03-29 05:16:24.194,30.0,120.0,False,False,False
japan_2026_R_00024,japan_2026_R,HUL,ALB,2026-03-29 05:15:58.554,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",55.007222222222026,20.16,-54.9605555555554,False,5.444444444444571,False,False,,,,,,False,181.0,,True,False,2026-03-29 05:16:28.554,30.0,120.0,False,False,False
japan_2026_R_00025,japan_2026_R,ALB,SAI,2026-03-29 05:15:58.554,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 63.0 s after t0, outside it",52.36249999999984,24.441,-53.104722222222335,False,3.6666666666667425,False,False,,,63.04,63.04,63.04,True,145.0,,True,False,2026-03-29 05:16:28.554,30.0,120.0,False,False,False
japan_2026_R_00026,japan_2026_R,ALO,PER,2026-03-29 05:15:58.554,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,30.732499999999618,24.441,-30.732500000000073,False,3.800000000000068,True,True,2026-03-29 05:16:23.395,24.841,24.841,24.841,24.841,False,163.0,,True,False,2026-03-29 05:16:28.554,30.0,120.0,False,False,False
japan_2026_R_00027,japan_2026_R,PER,HUL,2026-03-29 05:15:58.994,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 60.4 s after t0, outside it",11.650000000000546,24.001,-11.69833333333463,False,5.399999999999977,False,False,,,60.36,60.36,60.36,True,217.0,-81.90909090909051,True,False,2026-03-29 05:16:28.994,30.0,120.0,False,False,False
japan_2026_R_00028,japan_2026_R,BEA,OCO,2026-03-29 05:15:59.634,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",44.24277777777695,16.441,-44.337499999999636,False,9.599999999999909,False,False,,,73.68,,,False,220.0,,True,False,2026-03-29 05:16:29.634,30.0,120.0,False,False,False
japan_2026_R_00029,japan_2026_R,COL,BEA,2026-03-29 05:16:01.234,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,18.2302777777777,16.36,-18.038611111111095,False,14.733333333333121,True,True,2026-03-29 05:16:17.794,16.56,16.56,16.56,16.56,False,180.0,,True,False,2026-03-29 05:16:31.234,30.0,120.0,False,False,False
japan_2026_R_00030,japan_2026_R,SAI,BOR,2026-03-29 05:16:01.674,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,36.96333333333325,16.52,-45.45055555555609,False,7.999999999999773,True,True,2026-03-29 05:16:25.914,24.24,24.24,24.24,24.24,False,139.0,,True,False,2026-03-29 05:16:31.674,30.0,120.0,False,False,False
japan_2026_R_00031,japan_2026_R,LAW,VER,2026-03-29 05:16:04.954,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,10.08888888888987,11.121,-9.653333333334558,False,11.927222222222554,True,True,2026-03-29 05:16:18.474,13.52,13.52,13.52,13.52,False,181.0,-11.126155519304348,True,False,2026-03-29 05:16:34.954,30.0,120.0,False,False,False
japan_2026_R_00032,japan_2026_R,LIN,RUS,2026-03-29 05:16:15.074,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,87.26083333333258,5.2,-87.26083333333281,False,8.300000000000182,True,True,2026-03-29 05:16:20.474,5.4,5.4,5.4,5.4,False,203.0,,True,False,2026-03-29 05:16:45.074,30.0,120.0,False,False,False
japan_2026_R_00033,japan_2026_R,GAS,ANT,2026-03-29 05:16:15.074,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,30.988333333332776,4.96,-30.733888888888032,False,5.444444444443889,True,True,2026-03-29 05:16:20.274,5.2,5.2,5.2,5.2,False,206.0,,True,False,2026-03-29 05:16:45.074,30.0,120.0,False,False,False
japan_2026_R_00034,japan_2026_R,RUS,GAS,2026-03-29 05:16:15.755,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 39.4 s after t0, outside it",12.5625,3.319,-12.816944444444744,False,6.5,False,False,,,39.44,39.44,39.44,True,262.0,-58.3538913362677,True,False,2026-03-29 05:16:45.755,30.0,120.0,False,False,False
japan_2026_R_00035,japan_2026_R,HAD,OCO,2026-03-29 05:16:16.955,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",10.85333333333324,16.319,-10.948055555555584,False,5.333333333333485,False,False,,,,97.44,,False,253.0,-52.35294117647192,True,False,2026-03-29 05:16:46.955,30.0,120.0,False,False,False
japan_2026_R_00036,japan_2026_R,LAW,HAD,2026-03-29 05:16:18.474,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",82.6741666666685,5.401,-82.23861111111273,False,9.111111111110858,False,False,,,,,,False,195.0,,True,False,2026-03-29 05:16:48.474,30.0,120.0,False,False,False
japan_2026_R_00037,japan_2026_R,ANT,HAM,2026-03-29 05:16:23.395,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,14.422222222222445,4.599,-14.422222222223354,False,4.122222222222263,True,True,2026-03-29 05:16:28.314,4.9190000000000005,4.9190000000000005,4.9190000000000005,4.9190000000000005,False,198.0,,True,False,2026-03-29 05:16:53.395,30.0,120.0,False,False,False
japan_2026_R_00038,japan_2026_R,ALO,HUL,2026-03-29 05:16:23.395,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",56.523611111110995,22.399,-56.57194444444394,False,13.222222222223081,False,False,,,,,,False,263.0,,True,False,2026-03-29 05:16:53.395,30.0,120.0,False,False,False
japan_2026_R_00039,japan_2026_R,ALB,VER,2026-03-29 05:16:23.395,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,60.506111111109476,4.919,-60.504444444441106,False,12.524166666666588,True,True,2026-03-29 05:16:26.514,3.1189999999999998,3.1189999999999998,3.1189999999999998,3.1189999999999998,False,134.0,,True,False,2026-03-29 05:16:53.395,30.0,120.0,False,False,False
japan_2026_R_00040,japan_2026_R,BEA,HAD,2026-03-29 05:16:24.274,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,14.3352777777759,3.72,-14.335277777776355,False,7.311111111111131,True,True,2026-03-29 05:16:34.274,10.0,10.0,10.24,10.24,False,128.0,,True,False,2026-03-29 05:16:54.274,30.0,120.0,False,False,False
japan_2026_R_00041,japan_2026_R,HAM,NOR,2026-03-29 05:16:24.874,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 84.3 s after t0, outside it",10.09611111111144,3.12,-11.049444444444816,False,5.366666666666788,False,False,,,83.681,84.321,84.321,True,240.0,-22.10682893847102,True,False,2026-03-29 05:16:54.874,30.0,120.0,False,False,False
japan_2026_R_00042,japan_2026_R,SAI,BEA,2026-03-29 05:16:25.914,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,22.020000000002256,8.36,-21.276111111114005,False,12.622222222221808,True,True,2026-03-29 05:16:34.514,8.6,8.6,8.6,8.6,False,158.0,,True,False,2026-03-29 05:16:55.914,30.0,120.0,False,False,False
japan_2026_R_00043,japan_2026_R,STR,ALO,2026-03-29 05:16:26.514,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 51.6 s after t0, outside it",37.30611111111193,5.24,-37.30611111111102,False,1.800000000000182,False,False,,,51.56,51.56,51.56,True,227.0,,True,False,2026-03-29 05:16:56.514,30.0,120.0,False,False,False
