zone_id,zone_type,start_m,end_m,corner_number,length_m
straight_01,straight,0.0,218.6946051366225,,218.6946051366225
brake_T1,brake,218.6946051366225,338.6946051366225,1.0,120.0
corner_T1,corner,338.6946051366225,398.6946051366225,1.0,60.0
brake_T2,brake,398.6946051366225,447.20473856577786,2.0,48.51013342915536
corner_T2,corner,447.20473856577786,507.20473856577786,2.0,60.0
brake_T3,brake,507.20473856577786,544.8948948685448,3.0,37.69015630276698
corner_T3,corner,544.8948948685448,604.8948948685448,3.0,60.0
straight_02,straight,604.8948948685448,975.1716391583725,,370.27674428982766
brake_T4,brake,975.1716391583725,1095.1716391583725,4.0,120.0
corner_T4,corner,1095.1716391583725,1155.1716391583725,4.0,60.0
brake_T5,brake,1155.1716391583725,1242.1970518383912,5.0,87.02541268001869
corner_T5,corner,1242.1970518383912,1302.1970518383912,5.0,60.0
brake_T6,brake,1302.1970518383912,1369.9516252746973,6.0,67.75457343630615
corner_T6,corner,1369.9516252746973,1429.9516252746973,6.0,60.0
brake_T7,brake,1429.9516252746973,1520.000831485629,7.0,90.04920621093174
corner_T7,corner,1520.000831485629,1580.000831485629,7.0,60.0
brake_T8,brake,1580.000831485629,1607.0704707561658,8.0,27.069639270536754
corner_T8,corner,1607.0704707561658,1667.0704707561658,8.0,60.0
straight_03,straight,1667.0704707561658,2009.280002799096,,342.2095320429303
brake_T9,brake,2009.280002799096,2129.280002799096,9.0,120.0
corner_T9,corner,2129.280002799096,2189.280002799096,9.0,60.0
straight_04,straight,2189.280002799096,2279.697734039079,,90.41773123998291
brake_T10,brake,2279.697734039079,2399.697734039079,10.0,120.0
corner_T10,corner,2399.697734039079,2459.697734039079,10.0,60.0
straight_05,straight,2459.697734039079,2923.9183354267952,,464.2206013877162
brake_T11,brake,2923.9183354267952,3043.9183354267952,11.0,120.0
corner_T11,corner,3043.9183354267952,3103.9183354267952,11.0,60.0
brake_T12,brake,3103.9183354267952,3161.366063126525,12.0,57.44772769972997
corner_T12,corner,3161.366063126525,3221.366063126525,12.0,60.0
brake_T13,brake,3221.366063126525,3296.514363639054,13.0,75.14830051252875
corner_T13,corner,3296.514363639054,3356.514363639054,13.0,60.0
brake_T14,brake,3356.514363639054,3366.4655217753525,14.0,9.951158136298545
corner_T14,corner,3366.4655217753525,3426.4655217753525,14.0,60.0
corner_T15,corner,3426.4655217753525,3448.512875479756,15.0,22.047353704403577
brake_T16,brake,3448.512875479756,3478.1742733425963,16.0,29.661397862840204
corner_T16,corner,3478.1742733425963,3538.1742733425963,16.0,60.0
straight_06,straight,3538.1742733425963,4675.538195481428,,1137.363922138832
brake_T17,brake,4675.538195481428,4795.538195481428,17.0,120.0
corner_T17,corner,4795.538195481428,4855.538195481428,17.0,60.0
brake_T18,brake,4855.538195481428,4940.184554245954,18.0,84.64635876452576
corner_T18,corner,4940.184554245954,5000.184554245954,18.0,60.0
straight_07,straight,5000.184554245954,5024.91365792993,,24.729103683976064
brake_T19,brake,5024.91365792993,5144.91365792993,19.0,120.0
corner_T19,corner,5144.91365792993,5204.91365792993,19.0,60.0
straight_08,straight,5204.91365792993,5463.167222222221,,258.25356429229123
