event_id,race_id,attacker,target,event_start_time,event_start_lap,event_type,reason,gap_at_start_m,duration_s,cum_distance_diff_at_start_m,lapped_at_start,max_gap_jump_m,swap_by_distance,swap_by_driver_ahead,swap_time,swap_delay_s,swap_distance_delay_any_s,swap_ahead_delay_any_s,actual_swap_delay_s,pass_after_horizon,target_speed_at_start_kmh,closing_speed_at_start_kmh,green_at_start,target_retires_in_window,horizon_end,horizon_s_effective,audit_horizon_s,either_in_box_lap_at_start,either_pit_in_window,target_pit_before_outcome
miami_2026_R_00001,miami_2026_R,ANT,LEC,2026-05-03 17:05:40.709,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",88.03055555555557,31.759,-88.00277777777774,False,10.946111111111122,False,False,,,,,,False,279.0,16.25715773034997,True,False,2026-05-03 17:06:10.709,30.0,120.0,False,False,False
miami_2026_R_00002,miami_2026_R,NOR,ANT,2026-05-03 17:05:41.149,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",66.87777777777777,221.72,-66.87777777777774,False,15.44833333332388,False,False,,,,,,False,279.0,-14.844106463881483,True,False,2026-05-03 17:06:11.149,30.0,120.0,False,False,False
miami_2026_R_00003,miami_2026_R,PIA,NOR,2026-05-03 17:05:42.149,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",47.13083333333334,91.16,-47.14361111111066,False,11.944444444444343,False,False,,,,,,False,283.0,-70.96988636363889,True,False,2026-05-03 17:06:12.149,30.0,120.0,False,False,False
miami_2026_R_00004,miami_2026_R,RUS,PIA,2026-05-03 17:05:42.469,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 106.1 s after t0, outside it",43.80055555555555,98.12,-43.712777777777774,False,16.1244444444443,False,False,,,106.12,98.36,106.12,True,276.0,44.27954545456301,True,False,2026-05-03 17:06:12.469,30.0,120.0,False,False,False
miami_2026_R_00005,miami_2026_R,HAM,RUS,2026-05-03 17:05:44.309,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",99.92416666666668,35.08,-99.9769444444446,False,14.332499999999982,False,False,,,,,,False,280.0,-17.337499999997544,True,False,2026-05-03 17:06:14.309,30.0,120.0,False,False,False
miami_2026_R_00006,miami_2026_R,COL,HAM,2026-05-03 17:05:44.509,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",75.55333333333334,35.4,-75.61555555555606,False,10.26666666666668,False,False,,,,,,False,308.0,-81.26755319149498,True,False,2026-05-03 17:06:14.509,30.0,120.0,False,False,False
miami_2026_R_00007,miami_2026_R,LAW,COL,2026-05-03 17:05:45.988,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",97.63166666666666,13.641,-97.57861111111106,False,9.899999999999977,False,False,,,,,,False,275.0,-53.71899946780914,True,False,2026-05-03 17:06:15.988,30.0,120.0,False,False,False
miami_2026_R_00008,miami_2026_R,OCO,SAI,2026-05-03 17:05:48.709,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,13.209166666666661,17.199,-13.141111111111059,False,9.336388888888678,True,True,2026-05-03 17:05:50.509,1.8,1.8,1.8,1.8,False,258.0,9.185937500005583,True,False,2026-05-03 17:06:18.709,30.0,120.0,False,False,False
miami_2026_R_00009,miami_2026_R,BEA,OCO,2026-05-03 17:05:49.149,2,ON_TRACK_PASS,race-distance ordering and target DriverAhead both show the swap,21.859166666666667,16.759,-21.904722222222517,False,7.404722222221949,True,True,2026-05-03 17:06:06.149,17.0,17.0,17.0,17.0,False,307.0,,True,False,2026-05-03 17:06:19.149,30.0,120.0,False,False,False
miami_2026_R_00010,miami_2026_R,LIN,BEA,2026-05-03 17:05:49.749,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 84.7 s after t0, outside it",69.96388888888887,16.159,-69.94805555555558,False,12.811944444444464,False,False,,,84.72,84.72,84.72,True,311.0,-40.877551020410365,True,False,2026-05-03 17:06:19.749,30.0,120.0,False,False,False
miami_2026_R_00011,miami_2026_R,STR,LIN,2026-05-03 17:05:50.749,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",87.1011111111111,79.56,-87.11166666666577,False,13.093888888889069,False,False,,,,,,False,287.0,,True,False,2026-05-03 17:06:20.749,30.0,120.0,False,False,False
miami_2026_R_00012,miami_2026_R,PER,STR,2026-05-03 17:05:51.229,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",19.279166666666654,85.72,-19.264444444444962,False,6.099999999999909,False,False,,,,,,False,271.0,,True,False,2026-05-03 17:06:21.229,30.0,120.0,False,False,False
miami_2026_R_00013,miami_2026_R,SAI,ALB,2026-05-03 17:05:52.148,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",13.818333333333271,4.041,-14.028333333333649,False,2.3333333333333712,False,False,,,,,,False,170.0,,True,False,2026-05-03 17:06:22.148,30.0,120.0,False,False,False
miami_2026_R_00014,miami_2026_R,VER,LAW,2026-05-03 17:05:52.148,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 42.1 s after t0, outside it",63.894722222222185,6.2,-63.947777777777446,False,5.988888888888823,False,False,,,42.121,42.121,42.121,True,101.0,,True,False,2026-05-03 17:06:22.148,30.0,120.0,False,False,False
miami_2026_R_00015,miami_2026_R,HAD,BOR,2026-05-03 17:05:52.748,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 82.4 s after t0, outside it",26.45944444444444,82.041,-26.278611111110877,False,4.91111111111104,False,False,,,82.401,82.401,82.401,True,262.0,,True,False,2026-05-03 17:06:22.748,30.0,120.0,False,False,False
