zone_id,zone_type,start_m,end_m,corner_number,length_m
straight_01,straight,0.0,103.25242503709188,,103.25242503709188
brake_T1,brake,103.25242503709188,223.25242503709188,1.0,120.0
corner_T1,corner,223.25242503709188,283.2524250370919,1.0,60.0
straight_02,straight,283.2524250370919,504.6005610580646,,221.34813602097273
brake_T2,brake,504.6005610580646,624.6005610580646,2.0,120.0
corner_T2,corner,624.6005610580646,684.6005610580646,2.0,60.0
brake_T3,brake,684.6005610580646,788.2902580314842,3.0,103.68969697341959
corner_T3,corner,788.2902580314842,848.2902580314842,3.0,60.0
brake_T4,brake,848.2902580314842,915.0977083535101,4.0,66.80745032202594
corner_T4,corner,915.0977083535101,975.0977083535101,4.0,60.0
straight_03,straight,975.0977083535101,1024.2604437872517,,49.162735433741545
brake_T5,brake,1024.2604437872517,1144.2604437872517,5.0,120.0
corner_T5,corner,1144.2604437872517,1204.2604437872517,5.0,60.0
brake_T6,brake,1204.2604437872517,1262.327149441124,6.0,58.066705653872305
corner_T6,corner,1262.327149441124,1322.327149441124,6.0,60.0
brake_T7,brake,1322.327149441124,1340.0451956386314,7.0,17.71804619750742
corner_T7,corner,1340.0451956386314,1400.0451956386314,7.0,60.0
brake_T8,brake,1400.0451956386314,1430.6584194298027,8.0,30.613223791171322
corner_T8,corner,1430.6584194298027,1490.6584194298027,8.0,60.0
straight_04,straight,1490.6584194298027,1646.6738884648921,,156.01546903508938
brake_T9,brake,1646.6738884648921,1766.6738884648921,9.0,120.0
corner_T9,corner,1766.6738884648921,1826.6738884648921,9.0,60.0
straight_05,straight,1826.6738884648921,1978.5471469054714,,151.87325844057932
brake_T10,brake,1978.5471469054714,2098.5471469054714,10.0,120.0
corner_T10,corner,2098.5471469054714,2158.5471469054714,10.0,60.0
corner_T11,corner,2158.5471469054714,2207.4448867970345,11.0,48.897739891563106
straight_06,straight,2207.4448867970345,2251.913720423509,,44.46883362647441
brake_T12,brake,2251.913720423509,2371.913720423509,12.0,120.0
corner_T12,corner,2371.913720423509,2431.913720423509,12.0,60.0
brake_T13,brake,2431.913720423509,2521.301344230945,13.0,89.38762380743583
corner_T13,corner,2521.301344230945,2581.301344230945,13.0,60.0
corner_T14,corner,2581.301344230945,2623.8618186590547,14.0,42.560474428109956
brake_T15,brake,2623.8618186590547,2695.250931447275,15.0,71.38911278822025
corner_T15,corner,2695.250931447275,2755.250931447275,15.0,60.0
corner_T16,corner,2755.250931447275,2775.4966373252705,16.0,20.245705877995533
brake_T17,brake,2775.4966373252705,2789.588293204663,17.0,14.09165587939242
corner_T17,corner,2789.588293204663,2849.588293204663,17.0,60.0
brake_T18,brake,2849.588293204663,2907.0649738640495,18.0,57.4766806593866
corner_T18,corner,2907.0649738640495,2967.0649738640495,18.0,60.0
brake_T19,brake,2967.0649738640495,2993.261071131189,19.0,26.19609726713952
corner_T19,corner,2993.261071131189,3053.261071131189,19.0,60.0
straight_07,straight,3053.261071131189,3484.7408333333333,,431.47976220214423
