event_id,race_id,attacker,target,event_start_time,event_start_lap,event_type,reason,gap_at_start_m,duration_s,cum_distance_diff_at_start_m,lapped_at_start,max_gap_jump_m,swap_by_distance,swap_by_driver_ahead,swap_time,swap_delay_s,swap_distance_delay_any_s,swap_ahead_delay_any_s,actual_swap_delay_s,pass_after_horizon,target_speed_at_start_kmh,closing_speed_at_start_kmh,green_at_start,target_retires_in_window,horizon_end,horizon_s_effective,audit_horizon_s,either_in_box_lap_at_start,either_pit_in_window,target_pit_before_outcome
monaco_2026_R_00001,monaco_2026_R,HAM,ANT,2026-06-07 13:04:37.400,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",94.69944444444442,4.521,-94.673888888889,False,13.255277777777778,False,False,,,,,,False,129.0,36.09954058193261,True,False,2026-06-07 13:05:07.400,30.0,120.0,False,False,False
monaco_2026_R_00002,monaco_2026_R,LEC,HAM,2026-06-07 13:04:38.121,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",75.37083333333334,230.361,-75.16666666666652,False,16.35555555555584,False,False,,,105.801,,,False,204.0,16.455851063833034,True,False,2026-06-07 13:05:08.121,30.0,120.0,False,False,False
monaco_2026_R_00003,monaco_2026_R,HAD,LEC,2026-06-07 13:04:39.241,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",83.65972222222221,39.72,-83.87388888888881,False,9.822222222222223,False,False,,,,,,False,211.0,7.890277023351168,True,False,2026-06-07 13:05:09.241,30.0,120.0,False,False,False
monaco_2026_R_00004,monaco_2026_R,RUS,HAD,2026-06-07 13:04:40.081,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",63.64027777777778,40.08,-63.602777777777646,False,10.25555555555556,False,False,,,,,,False,238.0,-16.95765306122671,True,False,2026-06-07 13:05:10.081,30.0,120.0,False,False,False
monaco_2026_R_00005,monaco_2026_R,PIA,RUS,2026-06-07 13:04:42.201,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",92.93444444444441,5.44,-93.01999999999998,False,13.000000000000028,False,False,,,106.44,,,False,143.0,19.85978260871003,True,False,2026-06-07 13:05:12.201,30.0,120.0,False,False,False
monaco_2026_R_00006,monaco_2026_R,GAS,PIA,2026-06-07 13:04:42.761,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",48.13861111111111,200.841,-48.10166666666646,False,15.600000000000023,False,False,,,,,,False,215.0,4.70053191488736,True,False,2026-06-07 13:05:12.761,30.0,120.0,False,False,False
monaco_2026_R_00007,monaco_2026_R,NOR,GAS,2026-06-07 13:04:42.961,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",39.148888888888884,580.522,-39.0616666666665,False,23.733611111114257,False,False,,,,,,False,269.0,5.325531914893314,True,False,2026-06-07 13:05:12.961,30.0,120.0,False,False,False
monaco_2026_R_00008,monaco_2026_R,LAW,NOR,2026-06-07 13:04:43.960,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",46.294722222222205,327.442,-46.422222222222445,False,11.511111111111859,False,False,,,,,,False,229.0,-29.42239909039484,True,False,2026-06-07 13:05:13.960,30.0,120.0,False,False,False
monaco_2026_R_00009,monaco_2026_R,ALB,LAW,2026-06-07 13:04:44.761,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",50.89055555555555,203.08,-50.77944444444438,False,13.908611111109522,False,False,,,,,,False,215.0,-0.6269999999981508,True,False,2026-06-07 13:05:14.761,30.0,120.0,False,False,False
monaco_2026_R_00010,monaco_2026_R,SAI,ALB,2026-06-07 13:04:45.721,2,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",83.755,43.72,-83.82555555555518,False,11.599999999999994,False,False,,,,,,False,226.0,-77.19988642816257,True,False,2026-06-07 13:05:15.721,30.0,120.0,False,False,False
