zone_id,zone_type,start_m,end_m,corner_number,length_m
straight_01,straight,0.0,334.4204702442361,,334.4204702442361
brake_T1,brake,334.4204702442361,454.4204702442361,1.0,120.0
corner_T1,corner,454.4204702442361,514.4204702442362,1.0,60.00000000000006
straight_02,straight,514.4204702442362,640.1696311503749,,125.74916090613874
brake_T2,brake,640.1696311503749,760.1696311503749,2.0,120.0
corner_T2,corner,760.1696311503749,820.1696311503749,2.0,60.0
brake_T3,brake,820.1696311503749,931.683303679024,3.0,111.51367252864907
corner_T3,corner,931.683303679024,991.683303679024,3.0,60.0
straight_03,straight,991.683303679024,1034.7076505206737,,43.02434684164973
brake_T4,brake,1034.7076505206737,1154.7076505206737,4.0,120.0
corner_T4,corner,1154.7076505206737,1214.7076505206737,4.0,60.0
brake_T5,brake,1214.7076505206737,1333.8198813173385,5.0,119.11223079666479
corner_T5,corner,1333.8198813173385,1393.8198813173385,5.0,60.0
brake_T6,brake,1393.8198813173385,1490.6634390462352,6.0,96.84355772889671
corner_T6,corner,1490.6634390462352,1550.6634390462352,6.0,60.0
straight_04,straight,1550.6634390462352,1683.1012304814678,,132.4377914352326
brake_T7,brake,1683.1012304814678,1803.1012304814678,7.0,120.0
corner_T7,corner,1803.1012304814678,1863.1012304814678,7.0,60.0
straight_05,straight,1863.1012304814678,1989.0941007902247,,125.99287030875689
brake_T8,brake,1989.0941007902247,2109.0941007902247,8.0,120.0
corner_T8,corner,2109.0941007902247,2169.0941007902247,8.0,60.0
straight_06,straight,2169.0941007902247,2211.8539636921087,,42.759862901883935
brake_T9,brake,2211.8539636921087,2331.8539636921087,9.0,120.0
corner_T9,corner,2331.8539636921087,2391.8539636921087,9.0,60.0
straight_07,straight,2391.8539636921087,2472.5125610685322,,80.65859737642359
brake_T10,brake,2472.5125610685322,2592.5125610685322,10.0,120.0
corner_T10,corner,2592.5125610685322,2652.5125610685322,10.0,60.0
straight_08,straight,2652.5125610685322,3050.519204991165,,398.006643922633
brake_T11,brake,3050.519204991165,3170.519204991165,11.0,120.0
corner_T11,corner,3170.519204991165,3230.519204991165,11.0,60.0
brake_T12,brake,3230.519204991165,3258.5056217820343,12.0,27.986416790869043
corner_T12,corner,3258.5056217820343,3318.5056217820343,12.0,60.0
straight_09,straight,3318.5056217820343,3451.5031875622262,,132.99756578019196
brake_T13,brake,3451.5031875622262,3571.5031875622262,13.0,120.0
corner_T13,corner,3571.5031875622262,3631.5031875622262,13.0,60.0
straight_10,straight,3631.5031875622262,3701.0320040515167,,69.52881648929042
brake_T14,brake,3701.0320040515167,3821.0320040515167,14.0,120.0
corner_T14,corner,3821.0320040515167,3881.0320040515167,14.0,60.0
straight_11,straight,3881.0320040515167,4348.972500000004,,467.94049594848775
