event_id,race_id,year,circuit,attacker,target,target_number,event_start_time,event_end_time,event_duration_s,in_band_duration_s,horizon_end_time,horizon_s_effective,event_start_lap,n_samples_in_episode,gap_at_start_m,gap_at_start_s_crude_audit,gap_min_in_episode_m,attacker_speed_at_start_kmh,target_speed_same_time_kmh_audit,relative_speed_same_time_kmh_audit,closing_speed_v1_kmh_audit,closing_speed_v1_window_s_audit,closing_speed_v1_available_audit,attacker_position,target_position,track_distance_at_start_m,zone_id,distance_to_next_corner_m,distance_to_next_straight_m,compound,tyre_age,stint,EstimatedEnergyIndex,LookaheadDeployProxy,LookaheadHarvestProxy,LookaheadCoveredM,lookahead_truncated,TrackStatus,freeze_flag,event_type,overtake_success,actual_swap_delay_s,pass_after_horizon,attacker_PositionChange_audit,target_speed_at_attacker_position_kmh,relative_speed_same_position_kmh,spatial_time_gap_s,spatial_alignment_ok,spatial_alignment_lag_raw_s,closing_speed_at_start_kmh,closing_speed_n_samples,closing_speed_available,closing_speed_window_s,zone_type,track_position_frac,circuit_length_m,corner_count,longest_straight_m,n_long_straights_over_500m,pair_id,cluster_id,reciprocal_event_id,window_crosses_start_finish,detector_version
netherlands_2026_R_00001,netherlands_2026_R,2026,Dutch Grand Prix,ANT,NOR,1,2026-08-23 13:04:52.514,2026-08-23 13:06:56.433,123.919,123.919,2026-08-23 13:05:22.514,30.0,2,467,52.694722222222225,0.6179185667752444,10.089722222222917,307.0,306.0,1.0,-16.226965122326966,1.921,True,2.0,1.0,31.48527777777778,straight_01,422.9351924664584,482.9351924664584,MEDIUM,2.0,1.0,0.930890227327272,23520.45272712926,97196.76974374945,400.00000000000006,False,125,True,PIT_RELATED,,,False,0.0,301.8523454746137,5.147654525386315,0.618718,True,0.618718,-25.932967187615976,13,True,3.0,straight,0.007239704959683638,4348.972500000004,14,467.94049594848775,0,netherlands_2026_R|ANT|NOR,netherlands_2026_R|L2|netherlands_2026_R|ANT|NOR,,False,v4_t0_anchored_30s_horizon
netherlands_2026_R_00002,netherlands_2026_R,2026,Dutch Grand Prix,RUS,ANT,12,2026-08-23 13:04:53.434,2026-08-23 13:05:17.393,23.959,23.959,2026-08-23 13:05:23.434,30.0,2,92,95.31361111111109,1.1361887417218541,33.07916666666682,302.0,320.0,-18.0,33.8178032274848,1.921,True,3.0,2.0,16.744999999999997,straight_01,437.6754702442361,497.6754702442362,MEDIUM,2.0,1.0,0.9328160355708961,24617.287303065063,86445.82535525603,400.0,False,125,True,PIT_RELATED,,,False,0.0,305.0847627383219,-3.084762738321899,1.09285,True,1.09285,-21.162637268819786,14,True,3.0,straight,0.0038503347629813664,4348.972500000004,14,467.94049594848775,0,netherlands_2026_R|ANT|RUS,netherlands_2026_R|L2|netherlands_2026_R|ANT|RUS,,False,v4_t0_anchored_30s_horizon
netherlands_2026_R_00003,netherlands_2026_R,2026,Dutch Grand Prix,LEC,RUS,63,2026-08-23 13:04:54.713,2026-08-23 13:05:17.193,22.48,22.48,2026-08-23 13:05:24.713,30.0,2,89,89.23638888888891,1.056746710526316,35.574722222222306,304.0,320.0,-16.0,-78.84342171085973,1.999,True,4.0,3.0,39.64555555555556,straight_01,414.77491468868055,474.7749146886806,SOFT,6.0,1.0,0.9154969041380913,22913.24064124843,103148.53631871921,400.0,False,125,True,PIT_RELATED,,,False,0.0,307.1878281193815,-3.187828119381493,1.012197,True,1.012197,-15.05003662102271,12,True,3.0,straight,0.00911607409694026,4348.972500000004,14,467.94049594848775,0,netherlands_2026_R|LEC|RUS,netherlands_2026_R|L2|netherlands_2026_R|LEC|RUS,,False,v4_t0_anchored_30s_horizon
netherlands_2026_R_00004,netherlands_2026_R,2026,Dutch Grand Prix,HAM,PIA,81,2026-08-23 13:04:56.633,2026-08-23 13:07:07.714,131.081,131.081,2026-08-23 13:05:26.633,30.0,2,483,47.7675,0.5638131147540983,10.003333333331739,305.0,312.0,-7.0,101.32604166667038,1.92,True,6.0,5.0,38.6113888888889,straight_01,415.80908135534725,475.8090813553473,SOFT,2.0,1.0,0.9289140833793372,22990.19372004253,102394.25824544374,400.0,False,125,True,PIT_RELATED,,,False,0.0,306.47558275058276,-1.4755827505827597,0.543842,True,0.543842,-17.82941122989134,12,True,3.0,straight,0.008878278464370344,4348.972500000004,14,467.94049594848775,0,netherlands_2026_R|HAM|PIA,netherlands_2026_R|L2|netherlands_2026_R|HAM|PIA,,False,v4_t0_anchored_30s_horizon
netherlands_2026_R_00005,netherlands_2026_R,2026,Dutch Grand Prix,PIA,LEC,16,2026-08-23 13:04:58.513,2026-08-23 13:05:33.754,35.241,35.241,2026-08-23 13:05:28.513,30.0,2,138,98.18861111111099,1.087627692307691,40.42805555555532,325.0,213.0,112.0,47.27659574468103,1.88,True,5.0,4.0,255.1666666666667,straight_01,199.2538035775694,259.25380357756944,MEDIUM,2.0,1.0,0.9331510016445049,11483.931944843065,108876.9514197404,400.0,False,125,True,PIT_RELATED,,,False,0.0,320.014140625,4.985859375000018,1.3622619999999999,True,1.3622619999999999,26.606308640094102,13,True,3.0,straight,0.058672862766243394,4348.972500000004,14,467.94049594848775,0,netherlands_2026_R|LEC|PIA,netherlands_2026_R|L2|netherlands_2026_R|LEC|PIA,,False,v4_t0_anchored_30s_horizon
netherlands_2026_R_00006,netherlands_2026_R,2026,Dutch Grand Prix,TSU,COL,43,2026-08-23 13:05:01.113,2026-08-23 13:06:10.113,69.0,69.0,2026-08-23 13:05:31.113,30.0,2,262,43.10749999999999,0.6061992187499998,21.46972222222223,256.0,284.0,-28.0,-25.211228460259026,1.799,True,11.0,10.0,18.936666666666664,straight_01,435.48380357756946,495.4838035775695,SOFT,2.0,1.0,0.9884135947144274,24454.203824234697,88044.33569588003,400.0,False,25,True,PIT_RELATED,,,False,0.0,,,,False,,-52.72454928201509,13,True,3.0,straight,0.0043542852171786885,4348.972500000004,14,467.94049594848775,0,netherlands_2026_R|COL|TSU,netherlands_2026_R|L2|netherlands_2026_R|COL|TSU,,False,v4_t0_anchored_30s_horizon
netherlands_2026_R_00007,netherlands_2026_R,2026,Dutch Grand Prix,LAW,HAM,44,2026-08-23 13:05:01.353,2026-08-23 13:05:07.633,6.28,6.28,2026-08-23 13:05:31.353,30.0,2,24,99.40666666666658,1.2130983050847448,53.14000000000004,295.0,160.0,135.0,102.54363535297395,1.799,True,7.0,6.0,304.13388888888886,straight_01,150.28658135534727,210.28658135534732,SOFT,5.0,1.0,0.981083721065726,9868.468759604593,111717.76147206032,399.99999999999994,False,25,True,PIT_RELATED,,,False,0.0,290.16419354838706,4.835806451612939,1.723046,True,1.723046,63.26497216979665,13,True,3.0,straight,0.06993235503073164,4348.972500000004,14,467.94049594848775,0,netherlands_2026_R|HAM|LAW,netherlands_2026_R|L2|netherlands_2026_R|HAM|LAW,,False,v4_t0_anchored_30s_horizon
netherlands_2026_R_00008,netherlands_2026_R,2026,Dutch Grand Prix,COL,GAS,10,2026-08-23 13:05:01.793,2026-08-23 13:07:21.634,139.841,139.841,2026-08-23 13:05:31.793,30.0,2,480,34.63694444444447,0.41703344481605376,10.067777777777792,299.0,293.0,6.0,-24.742251223484242,1.839,True,10.0,9.0,118.04416666666665,straight_01,336.3763035775695,396.3763035775695,MEDIUM,2.0,1.0,0.9845077441141328,17323.516733977936,114829.7728921879,400.00000000000006,False,25,True,PIT_RELATED,,,False,0.0,286.2173518461061,12.782648153893888,0.426337,True,0.426337,20.964208720178803,13,True,3.0,straight,0.027143001402438516,4348.972500000004,14,467.94049594848775,0,netherlands_2026_R|COL|GAS,netherlands_2026_R|L2|netherlands_2026_R|COL|GAS,,False,v4_t0_anchored_30s_horizon
netherlands_2026_R_00009,netherlands_2026_R,2026,Dutch Grand Prix,LIN,LAW,30,2026-08-23 13:05:03.993,2026-08-23 13:05:21.393,17.4,17.4,2026-08-23 13:05:33.993,30.0,2,69,98.33805555555551,1.316048327137546,53.82361111111112,269.0,120.0,149.0,147.5227272727273,1.76,True,8.0,7.0,336.2333333333333,brake_T1,118.18713691090284,178.1871369109029,SOFT,5.0,1.0,0.9842942554920511,8944.381890430443,112257.76864247181,400.00000000000006,False,25,True,PIT_RELATED,,,False,-1.0,241.38806287170772,27.611937128292283,2.161691,True,2.161691,117.08501040943842,11,True,3.0,brake,0.07731328108727589,4348.972500000004,14,467.94049594848775,0,netherlands_2026_R|LAW|LIN,netherlands_2026_R|L2|netherlands_2026_R|LAW|LIN,,False,v4_t0_anchored_30s_horizon
netherlands_2026_R_00010,netherlands_2026_R,2026,Dutch Grand Prix,ALO,ALB,23,2026-08-23 13:05:04.953,2026-08-23 13:06:25.314,80.361,79.521,2026-08-23 13:05:34.953,30.0,2,267,34.66388888888888,0.5425652173913041,10.041111111111036,230.0,259.0,-29.0,,,False,15.0,14.0,46.31944444444444,straight_01,408.10102579979167,468.1010257997917,SOFT,2.0,1.0,0.9861611740404436,22416.63181204964,108016.19277547867,400.0,False,25,True,PIT_RELATED,,64.96,True,0.0,248.74899598393574,-18.748995983935743,0.488032,True,0.488032,-6.200666170142428,11,True,3.0,straight,0.01065066390841616,4348.972500000004,14,467.94049594848775,0,netherlands_2026_R|ALB|ALO,netherlands_2026_R|L2|netherlands_2026_R|ALB|ALO,,False,v4_t0_anchored_30s_horizon
