event_id,race_id,attacker,target,event_start_time,event_start_lap,event_type,reason,gap_at_start_m,duration_s,cum_distance_diff_at_start_m,lapped_at_start,max_gap_jump_m,swap_by_distance,swap_by_driver_ahead,swap_time,swap_delay_s,swap_distance_delay_any_s,swap_ahead_delay_any_s,actual_swap_delay_s,pass_after_horizon,target_speed_at_start_kmh,closing_speed_at_start_kmh,green_at_start,target_retires_in_window,horizon_end,horizon_s_effective,audit_horizon_s,either_in_box_lap_at_start,either_pit_in_window,target_pit_before_outcome
netherlands_2026_R_00001,netherlands_2026_R,ANT,NOR,2026-08-23 13:04:52.514,2,PIT_RELATED,attacker or target on a box lap at t0,52.694722222222225,123.919,-52.50472222222197,False,8.075833333333321,False,False,,,,,,False,306.0,-16.226965122326966,False,False,2026-08-23 13:05:22.514,30.0,120.0,True,True,False
netherlands_2026_R_00002,netherlands_2026_R,RUS,ANT,2026-08-23 13:04:53.434,2,PIT_RELATED,attacker or target on a box lap at t0,95.31361111111109,23.959,-95.37361111111113,False,10.388888888888829,False,False,,,,,,False,320.0,33.8178032274848,False,False,2026-08-23 13:05:23.434,30.0,120.0,True,True,False
netherlands_2026_R_00003,netherlands_2026_R,LEC,RUS,2026-08-23 13:04:54.713,2,PIT_RELATED,attacker or target on a box lap at t0,89.23638888888891,22.48,-88.9572222222223,False,6.93333333333328,False,False,,,,,,False,320.0,-78.84342171085973,False,False,2026-08-23 13:05:24.713,30.0,120.0,True,True,False
netherlands_2026_R_00004,netherlands_2026_R,HAM,PIA,2026-08-23 13:04:56.633,2,PIT_RELATED,attacker or target on a box lap at t0,47.7675,131.081,-47.133055555555984,False,10.677777777777465,False,False,,,,,,False,312.0,101.32604166667038,False,False,2026-08-23 13:05:26.633,30.0,120.0,True,True,False
netherlands_2026_R_00005,netherlands_2026_R,PIA,LEC,2026-08-23 13:04:58.513,2,PIT_RELATED,attacker or target on a box lap at t0,98.18861111111099,35.241,-98.6011111111111,False,7.9333333333333655,False,False,,,,,,False,213.0,47.27659574468103,False,False,2026-08-23 13:05:28.513,30.0,120.0,True,True,False
netherlands_2026_R_00006,netherlands_2026_R,TSU,COL,2026-08-23 13:05:01.113,2,PIT_RELATED,attacker or target on a box lap at t0,43.10749999999999,69.0,-43.36305555555555,False,6.200000000000273,False,False,,,,,,False,284.0,-25.211228460259026,False,False,2026-08-23 13:05:31.113,30.0,120.0,True,True,False
netherlands_2026_R_00007,netherlands_2026_R,LAW,HAM,2026-08-23 13:05:01.353,2,PIT_RELATED,attacker or target on a box lap at t0,99.40666666666658,6.28,-99.81361111111164,False,12.344444444444434,False,False,,,,,,False,160.0,102.54363535297395,False,False,2026-08-23 13:05:31.353,30.0,120.0,True,True,False
netherlands_2026_R_00008,netherlands_2026_R,COL,GAS,2026-08-23 13:05:01.793,2,PIT_RELATED,attacker or target on a box lap at t0,34.63694444444447,139.841,-34.699166666666315,False,3.9111111111109267,False,False,,,,,,False,293.0,-24.742251223484242,False,False,2026-08-23 13:05:31.793,30.0,120.0,True,True,False
netherlands_2026_R_00009,netherlands_2026_R,LIN,LAW,2026-08-23 13:05:03.993,2,PIT_RELATED,attacker or target on a box lap at t0,98.33805555555551,17.4,-98.56722222222197,False,15.333333333333371,False,False,,,,,,False,120.0,147.5227272727273,False,False,2026-08-23 13:05:33.993,30.0,120.0,True,True,False
netherlands_2026_R_00010,netherlands_2026_R,ALO,ALB,2026-08-23 13:05:04.953,2,PIT_RELATED,attacker or target on a box lap at t0,34.66388888888888,80.361,-34.68888888888887,False,4.993333333333339,False,False,,,64.96,64.96,64.96,True,259.0,,False,False,2026-08-23 13:05:34.953,30.0,120.0,True,True,False
netherlands_2026_R_00011,netherlands_2026_R,OCO,HUL,2026-08-23 13:05:04.953,2,PIT_RELATED,attacker or target on a box lap at t0,93.87555555555556,25.24,-93.86888888888916,False,8.888888888888943,False,False,,,,,,False,296.0,,False,False,2026-08-23 13:05:34.953,30.0,120.0,True,True,False
netherlands_2026_R_00012,netherlands_2026_R,GAS,LIN,2026-08-23 13:05:05.914,2,PIT_RELATED,attacker or target on a box lap at t0,10.315555555555648,133.96,-9.968888888889524,False,7.207499999999982,False,False,,,,,,False,131.0,-10.309213951067294,False,False,2026-08-23 13:05:35.914,30.0,120.0,True,True,False
netherlands_2026_R_00013,netherlands_2026_R,HUL,TSU,2026-08-23 13:05:06.594,2,PIT_RELATED,attacker or target on a box lap at t0,94.44499999999994,6.12,-94.32499999999982,False,8.8888888888888,False,False,,,109.279,109.279,109.279,True,158.0,90.11057947900069,False,False,2026-08-23 13:05:36.594,30.0,120.0,True,True,False
netherlands_2026_R_00014,netherlands_2026_R,ALB,OCO,2026-08-23 13:05:08.833,2,PIT_RELATED,attacker or target on a box lap at t0,10.060555555555709,76.481,-10.19111111111124,False,4.444444444444343,False,False,,,,,,False,187.0,-4.331158238173209,False,False,2026-08-23 13:05:38.833,30.0,120.0,True,True,False
netherlands_2026_R_00015,netherlands_2026_R,LAW,HAM,2026-08-23 13:05:35.953,2,PIT_RELATED,attacker or target on a box lap at t0,99.1088888888878,15.0,-99.51583333333292,False,6.800000000000182,False,False,,,,,,False,66.0,39.89160644802722,False,False,2026-08-23 13:06:05.953,30.0,120.0,True,True,False
netherlands_2026_R_00016,netherlands_2026_R,LIN,LAW,2026-08-23 13:05:39.274,2,PIT_RELATED,attacker or target on a box lap at t0,97.17472222222318,96.199,-97.40388888888901,False,6.57777777777801,False,False,,,,,,False,74.0,56.374804789172025,False,False,2026-08-23 13:06:09.274,30.0,120.0,True,True,False
netherlands_2026_R_00017,netherlands_2026_R,PIA,LEC,2026-08-23 13:05:40.834,2,PIT_RELATED,attacker or target on a box lap at t0,99.21000000000004,6.84,-99.6225000000004,False,4.177777777777919,False,False,,,,,,False,61.0,17.083333333333712,False,False,2026-08-23 13:06:10.834,30.0,120.0,True,True,False
netherlands_2026_R_00018,netherlands_2026_R,HUL,TSU,2026-08-23 13:05:44.153,2,PIT_RELATED,attacker or target on a box lap at t0,97.74972222222209,71.32,-97.62972222222197,False,7.341666666666697,False,False,,,71.72,71.72,71.72,True,81.0,27.023255813953817,False,False,2026-08-23 13:06:14.153,30.0,120.0,True,True,False
netherlands_2026_R_00019,netherlands_2026_R,OCO,HUL,2026-08-23 13:05:48.633,2,PIT_RELATED,attacker or target on a box lap at t0,99.00249999999869,66.84,-98.99583333333157,False,7.92222222222199,False,False,,,,,,False,117.0,24.162838182746086,False,False,2026-08-23 13:06:18.633,30.0,120.0,True,True,False
netherlands_2026_R_00020,netherlands_2026_R,PIA,LEC,2026-08-23 13:06:11.113,2,PIT_RELATED,attacker or target on a box lap at t0,94.4727777777839,5.6,-94.88527777778381,False,3.0666666666661513,False,False,,,,,,False,74.0,47.553191489361126,False,False,2026-08-23 13:06:41.113,30.0,120.0,True,True,False
netherlands_2026_R_00021,netherlands_2026_R,LEC,RUS,2026-08-23 13:06:18.514,2,PIT_RELATED,attacker or target on a box lap at t0,98.17666666666355,44.119,-97.89749999999731,False,9.5,False,False,,,,,,False,94.0,36.894503053859836,False,False,2026-08-23 13:06:48.514,30.0,120.0,True,True,False
netherlands_2026_R_00022,netherlands_2026_R,TSU,COL,2026-08-23 13:06:19.154,2,PIT_RELATED,attacker or target on a box lap at t0,99.94777777777517,36.319,-100.2033333333311,False,7.831111111111113,False,False,,,,,,False,100.0,45.85216033315866,False,False,2026-08-23 13:06:49.154,30.0,120.0,True,True,False
netherlands_2026_R_00023,netherlands_2026_R,ALO,OCO,2026-08-23 13:06:25.674,2,PIT_RELATED,attacker or target on a box lap at t0,33.20722222222366,8.8,-33.36277777777832,False,4.160277777777537,False,False,,,32.88,32.88,32.88,True,107.0,,False,False,2026-08-23 13:06:55.674,30.0,120.0,True,True,False
