Driver,DriverNumber,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife,FreshTyre,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackStatus,Deleted,DeletedReason,IsAccurate,FastF1Generated,IsPersonalBest,Time,LapStartTime,LapStartDate,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime
NOR,1,McLaren,1.0,0 days 00:01:36.458000,6.0,1.0,MEDIUM,1.0,True,,,,0 days 00:00:18.163000,0 days 00:00:38.796000,229.0,291.0,304.0,217.0,1,False,,False,False,False,0 days 01:03:56.437000,0 days 01:02:19.743000,2026-03-08 04:03:26.366,,0 days 01:03:17.998000,0 days 01:03:56.692000
NOR,1,McLaren,2.0,0 days 00:01:27.344000,6.0,1.0,MEDIUM,2.0,True,,,0 days 00:00:31.074000,0 days 00:00:18.116000,0 days 00:00:38.154000,243.0,287.0,303.0,260.0,1,False,,True,False,True,0 days 01:05:23.781000,0 days 01:03:56.437000,2026-03-08 04:05:03.060,0 days 01:04:27.511000,0 days 01:04:45.627000,0 days 01:05:23.781000
NOR,1,McLaren,3.0,0 days 00:01:26.863000,7.0,1.0,MEDIUM,3.0,True,,,0 days 00:00:30.541000,0 days 00:00:18.252000,0 days 00:00:38.070000,245.0,311.0,286.0,273.0,1,False,,True,False,True,0 days 01:06:50.644000,0 days 01:05:23.781000,2026-03-08 04:06:30.404,0 days 01:05:54.322000,0 days 01:06:12.574000,0 days 01:06:50.644000
NOR,1,McLaren,4.0,0 days 00:01:25.857000,7.0,1.0,MEDIUM,4.0,True,,,0 days 00:00:30.190000,0 days 00:00:18.193000,0 days 00:00:37.474000,249.0,304.0,283.0,276.0,1,False,,True,False,True,0 days 01:08:16.501000,0 days 01:06:50.644000,2026-03-08 04:07:57.267,0 days 01:07:20.834000,0 days 01:07:39.027000,0 days 01:08:16.501000
NOR,1,McLaren,5.0,0 days 00:01:25.573000,7.0,1.0,MEDIUM,5.0,True,,,0 days 00:00:29.930000,0 days 00:00:17.868000,0 days 00:00:37.775000,260.0,297.0,280.0,276.0,1,False,,True,False,True,0 days 01:09:42.074000,0 days 01:08:16.501000,2026-03-08 04:09:23.124,0 days 01:08:46.431000,0 days 01:09:04.299000,0 days 01:09:42.074000
NOR,1,McLaren,6.0,0 days 00:01:25.036000,7.0,1.0,MEDIUM,6.0,True,,,0 days 00:00:30.025000,0 days 00:00:17.829000,0 days 00:00:37.182000,256.0,313.0,293.0,273.0,1,False,,True,False,True,0 days 01:11:07.110000,0 days 01:09:42.074000,2026-03-08 04:10:48.697,0 days 01:10:12.099000,0 days 01:10:29.928000,0 days 01:11:07.110000
NOR,1,McLaren,7.0,0 days 00:01:24.978000,7.0,1.0,MEDIUM,7.0,True,,,0 days 00:00:30.067000,0 days 00:00:17.764000,0 days 00:00:37.147000,253.0,316.0,297.0,285.0,1,False,,True,False,True,0 days 01:12:32.088000,0 days 01:11:07.110000,2026-03-08 04:12:13.733,0 days 01:11:37.177000,0 days 01:11:54.941000,0 days 01:12:32.088000
NOR,1,McLaren,8.0,0 days 00:01:25.299000,7.0,1.0,MEDIUM,8.0,True,,,0 days 00:00:30.191000,0 days 00:00:17.970000,0 days 00:00:37.138000,253.0,311.0,298.0,280.0,1,False,,True,False,False,0 days 01:13:57.387000,0 days 01:12:32.088000,2026-03-08 04:13:38.711,0 days 01:13:02.279000,0 days 01:13:20.249000,0 days 01:13:57.387000
NOR,1,McLaren,9.0,0 days 00:01:25.639000,7.0,1.0,MEDIUM,9.0,True,,,0 days 00:00:30.135000,0 days 00:00:17.770000,0 days 00:00:37.734000,262.0,315.0,284.0,276.0,1,False,,True,False,False,0 days 01:15:23.026000,0 days 01:13:57.387000,2026-03-08 04:15:04.010,0 days 01:14:27.522000,0 days 01:14:45.292000,0 days 01:15:23.026000
NOR,1,McLaren,10.0,0 days 00:01:25.295000,7.0,1.0,MEDIUM,10.0,True,,,0 days 00:00:30.117000,0 days 00:00:17.924000,0 days 00:00:37.254000,261.0,311.0,295.0,277.0,1,False,,True,False,False,0 days 01:16:48.321000,0 days 01:15:23.026000,2026-03-08 04:16:29.649,0 days 01:15:53.143000,0 days 01:16:11.067000,0 days 01:16:48.321000
NOR,1,McLaren,11.0,0 days 00:01:43.391000,9.0,1.0,MEDIUM,11.0,True,0 days 01:18:15.593000,,0 days 00:00:30.117000,0 days 00:00:17.987000,0 days 00:00:55.287000,251.0,309.0,,289.0,16,False,,False,False,False,0 days 01:18:31.712000,0 days 01:16:48.321000,2026-03-08 04:17:54.944,,0 days 01:17:36.425000,0 days 01:18:31.712000
NOR,1,McLaren,12.0,0 days 00:01:58.075000,9.0,2.0,HARD,1.0,True,,0 days 01:18:34.141000,0 days 00:00:44.892000,0 days 00:00:27.737000,0 days 00:00:45.446000,238.0,127.0,201.0,230.0,6,False,,False,False,False,0 days 01:20:29.787000,0 days 01:18:31.712000,2026-03-08 04:19:38.335,0 days 01:19:16.604000,0 days 01:19:44.341000,0 days 01:20:29.787000
NOR,1,McLaren,13.0,0 days 00:01:51.932000,9.0,2.0,HARD,2.0,True,,,0 days 00:00:41.529000,0 days 00:00:27.589000,0 days 00:00:42.814000,230.0,146.0,289.0,203.0,671,False,,False,False,False,0 days 01:22:21.719000,0 days 01:20:29.787000,2026-03-08 04:21:36.410,0 days 01:21:11.316000,0 days 01:21:38.905000,0 days 01:22:21.719000
NOR,1,McLaren,14.0,0 days 00:01:24.233000,9.0,2.0,HARD,3.0,True,,,0 days 00:00:29.882000,0 days 00:00:17.870000,0 days 00:00:36.481000,251.0,306.0,287.0,279.0,1,False,,True,False,True,0 days 01:23:45.952000,0 days 01:22:21.719000,2026-03-08 04:23:28.342,0 days 01:22:51.601000,0 days 01:23:09.471000,0 days 01:23:45.952000
NOR,1,McLaren,15.0,0 days 00:01:23.784000,9.0,2.0,HARD,4.0,True,,,0 days 00:00:29.402000,0 days 00:00:17.899000,0 days 00:00:36.483000,269.0,301.0,288.0,278.0,1,False,,True,False,True,0 days 01:25:09.736000,0 days 01:23:45.952000,2026-03-08 04:24:52.575,0 days 01:24:15.354000,0 days 01:24:33.253000,0 days 01:25:09.736000
