event_id,attacker,target,event_start_time,event_start_lap,event_duration_s,gap_at_start_m,gap_at_start_s_est,closing_speed_at_start_kmh,relative_speed_at_start_kmh,zone_id,EstimatedEnergyIndex,event_type,overtake_success,reason,swap_delay_s
australian_gp_2026_R_00001,RUS,LEC,2026-03-08 04:04:59.732,2,41.4,58.44805555555557,0.7132644067796612,,13.0,straight_01,0.9911474746864882,ON_TRACK_PASS,1.0,race-distance ordering and target DriverAhead both show the swap,41.64
australian_gp_2026_R_00003,NOR,LIN,2026-03-08 04:05:03.372,2,15.92,28.305,0.34193959731543627,,16.0,straight_01,0.9961844361222696,ON_TRACK_PASS,1.0,race-distance ordering and target DriverAhead both show the swap,16.16
australian_gp_2026_R_00004,LIN,HAD,2026-03-08 04:05:03.772,2,15.52,10.25500000000001,0.1309148936170214,-25.62500000000009,-26.0,straight_01,0.9950868936529208,ON_TRACK_PASS,1.0,race-distance ordering and target DriverAhead both show the swap,44.8
australian_gp_2026_R_00007,GAS,OCO,2026-03-08 04:05:05.172,2,15.76,36.21944444444445,0.44654109589041097,10.932142857143939,8.0,straight_01,0.9956293048706802,ON_TRACK_PASS,1.0,race-distance ordering and target DriverAhead both show the swap,15.76
australian_gp_2026_R_00002,HAD,HAM,2026-03-08 04:05:03.132,2,37.28,62.8736111111111,0.7445559210526315,-32.318229166665965,6.0,straight_01,0.9955715218724516,CLOSE_INTERACTION_NO_PASS,0.0,"valid close battle, no pairwise order change inside the horizon",
australian_gp_2026_R_00005,ANT,NOR,2026-03-08 04:05:04.212,2,49.44,40.726666666666674,0.49532432432432444,,5.0,straight_01,0.9923119490215582,CLOSE_INTERACTION_NO_PASS,0.0,"valid close battle, no pairwise order change inside the horizon",
australian_gp_2026_R_00006,OCO,ANT,2026-03-08 04:05:04.452,2,15.68,45.40944444444444,0.575612676056338,-238.14705882354968,-12.0,straight_01,0.9955451016493932,CLOSE_INTERACTION_NO_PASS,0.0,"valid close battle, no pairwise order change inside the horizon",
australian_gp_2026_R_00008,ALO,GAS,2026-03-08 04:05:05.452,2,15.48,22.405,0.2679667774086379,,9.0,straight_01,0.9961606575664268,CLOSE_INTERACTION_NO_PASS,0.0,"valid close battle, no pairwise order change inside the horizon",
australian_gp_2026_R_00209,LAW,COL,2026-03-08 04:14:52.773,8,22.321,93.01777777777444,1.1959428571428143,59.035517758879884,108.0,brake_T11,0.9874253768904706,PIT_RELATED,,a pit stop occurred inside the outcome window,
australian_gp_2026_R_00213,HAM,RUS,2026-03-08 04:15:00.653,9,261.521,43.66277777777788,0.9085895953757247,,25.0,corner_T2,0.9726782940072872,PIT_RELATED,,a pit stop occurred inside the outcome window,
australian_gp_2026_R_00220,COL,SAI,2026-03-08 04:15:32.094,9,6.0,98.23638888888844,1.7002451923076844,110.92000000000004,105.0,brake_T3,0.9918134742808232,PIT_RELATED,,attacker or target on a box lap at t0,
australian_gp_2026_R_00226,LAW,COL,2026-03-08 04:16:07.294,9,5.12,99.59305555555328,1.2320790378006592,34.267346938776534,64.0,brake_T9,0.9897011308598932,PIT_RELATED,,attacker or target on a box lap at t0,33.8
australian_gp_2026_R_00243,LIN,HAD,2026-03-08 04:17:28.814,10,8.2,98.32194444444347,1.2463345070422414,50.09999999999948,131.0,brake_T11,0.9829505922503424,RETIREMENT_RELATED,,target telemetry ends inside the outcome window,
australian_gp_2026_R_00565,HAM,LEC,2026-03-08 05:26:30.387,58,18.32,10.940833333331284,0.2250685714285293,-18.620555555557075,-27.0,brake_T12,0.8452384986419933,RETIREMENT_RELATED,,target telemetry ends inside the outcome window,
australian_gp_2026_R_00387,PER,LEC,2026-03-08 04:36:21.774,22,19.6,11.691388888888888,0.16003422053231936,-40.00000000000024,-40.0,straight_01,0.991361859860732,LAPPED_UNLAPPED,,pair separated by -5476 m of race distance at t0,
australian_gp_2026_R_00389,STR,ANT,2026-03-08 04:36:35.254,22,22.04,11.78638888888888,0.15429454545454535,-21.89999999999997,-21.0,straight_01,0.9507318124388068,LAPPED_UNLAPPED,,pair separated by -5477 m of race distance at t0,
australian_gp_2026_R_00421,ALO,STR,2026-03-08 04:46:17.816,18,8.6,99.60722222222228,1.3039490909090916,70.2244897959184,136.0,brake_T3,0.9645918532940476,LAPPED_UNLAPPED,,pair separated by -54755 m of race distance at t0,
australian_gp_2026_R_00427,ALO,STR,2026-03-08 04:47:04.256,18,18.441,99.8436111111114,1.3023079710144965,60.90047897817935,128.0,brake_T11,0.9569716001183792,LAPPED_UNLAPPED,,pair separated by -54755 m of race distance at t0,
australian_gp_2026_R_00125,OCO,GAS,2026-03-08 04:09:18.733,4,4.679,59.958055555551255,1.0738756218904704,,19.0,straight_09,0.9989620702887312,UNCERTAIN,,"only one of the two order-change signals fired (distance=True, driver_ahead=False)",5.159
australian_gp_2026_R_00127,GAS,NOR,2026-03-08 04:09:19.413,4,4.479,10.001388888894326,0.17310096153855564,-52.294117647058606,-36.0,straight_09,0.9928190864401568,UNCERTAIN,,"only one of the two order-change signals fired (distance=False, driver_ahead=True)",20.88
australian_gp_2026_R_00131,COL,SAI,2026-03-08 04:09:24.932,4,54.041,10.642499999999018,0.19349999999998213,-17.46886641830886,-18.0,straight_09,0.9984322591817294,UNCERTAIN,,"only one of the two order-change signals fired (distance=False, driver_ahead=True)",22.481
australian_gp_2026_R_00133,BOR,GAS,2026-03-08 04:09:26.893,5,12.36,97.95805555555556,1.1638580858085807,7.733333333333264,,straight_01,0.9912371730073504,INVALID,,no causal target sample at t0,
australian_gp_2026_R_00137,ANT,GAS,2026-03-08 04:09:41.453,5,6.76,27.294999999999163,0.7860959999999759,,,brake_T4,0.9997051924164028,INVALID,,no causal target sample at t0,
