review_case,event_id,attacker,target,event_start_lap,event_start_time,event_duration_s,horizon_s_effective,gap_at_start_m,relative_speed_same_position_kmh,closing_speed_at_start_kmh,EstimatedEnergyIndex,LookaheadDeployProxy,LookaheadCoveredM,actual_swap_delay_s,pass_after_horizon,window_crosses_start_finish,seconds_since_previous_same_pair,event_type,overtake_success,attacker_PositionChange_audit
A_fast_pass_under_10s,australian_gp_2026_R_00018,BEA,ALB,2,2026-03-08 04:05:15.972,5.96,30.0,11.023611111111109,-9.023769507803138,-13.61484842251009,0.9987088424158844,22788.103439062546,400.0,6.44,False,False,,ON_TRACK_PASS,1.0,-2.0
A_fast_pass_under_10s,australian_gp_2026_R_00049,NOR,HAD,2,2026-03-08 04:06:13.852,11.24,30.0,12.576944444443145,-46.551086956522,-7.890514022315574,0.999788060174096,9091.13029754179,400.0,4.32,False,True,54.32,ON_TRACK_PASS,1.0,0.0
A_fast_pass_under_10s,australian_gp_2026_R_00053,ALO,BEA,2,2026-03-08 04:06:20.452,4.08,30.0,12.228055555558058,-72.60617283950972,-19.81054279749734,0.9954232776694808,15780.911559654724,400.0,4.4,False,True,,ON_TRACK_PASS,1.0,0.0
B_pass_15_to_20s,australian_gp_2026_R_00003,NOR,LIN,2,2026-03-08 04:05:03.372,15.92,30.0,28.305,16.0,-1.4017567893365703,0.9961844361222696,16316.251899633346,400.0,16.16,False,False,,ON_TRACK_PASS,1.0,0.0
B_pass_15_to_20s,australian_gp_2026_R_00007,GAS,OCO,2,2026-03-08 04:05:05.172,15.76,30.0,36.21944444444445,8.0,4.8999431703626,0.9956293048706802,15521.800606892511,400.0,16.08,False,False,,ON_TRACK_PASS,1.0,0.0
B_pass_15_to_20s,australian_gp_2026_R_00009,BOR,ALO,2,2026-03-08 04:05:05.612,16.32,30.0,40.38666666666666,,-26.80621479641019,0.9955101288532958,16446.718835225918,399.99999999999994,16.8,False,False,,ON_TRACK_PASS,1.0,0.0
C_pass_25_to_30s,australian_gp_2026_R_00036,HAD,LIN,2,2026-03-08 04:06:00.132,4.04,30.0,99.56750000000147,31.144426406926783,7.35013176205856,0.9886609830210954,22043.38964764344,400.0,25.24,False,True,,ON_TRACK_PASS,1.0,0.0
D_pass_30_to_45s_outside_horizon,australian_gp_2026_R_00001,RUS,LEC,2,2026-03-08 04:04:59.732,41.4,30.0,58.44805555555557,13.0,18.503373670700242,0.9911474746864882,15958.729875332187,400.0,41.64,True,False,,CLOSE_INTERACTION_NO_PASS,0.0,-1.0
D_pass_30_to_45s_outside_horizon,australian_gp_2026_R_00004,LIN,HAD,2,2026-03-08 04:05:03.772,15.52,30.0,10.25500000000001,-25.70185064935066,-31.73112127609569,0.9950868936529208,14689.633683362807,400.0,44.8,True,False,,CLOSE_INTERACTION_NO_PASS,0.0,0.0
D_pass_30_to_45s_outside_horizon,australian_gp_2026_R_00019,NOR,HAD,2,2026-03-08 04:05:19.532,3.52,30.0,21.733055555555666,12.773818897637796,50.559475218659706,1.0,10994.357559984606,400.0,34.28,True,False,,CLOSE_INTERACTION_NO_PASS,0.0,0.0
E_pass_after_45s_outside_horizon,australian_gp_2026_R_00006,OCO,ANT,2,2026-03-08 04:05:04.452,15.68,30.0,45.40944444444444,-12.0,-32.14591269769319,0.9955451016493932,16243.228300837067,400.0,60.92,True,False,,CLOSE_INTERACTION_NO_PASS,0.0,0.0
E_pass_after_45s_outside_horizon,australian_gp_2026_R_00014,LAW,COL,2,2026-03-08 04:05:08.972,56.88,30.0,48.06583333333333,-6.950250836120404,7.544888336994662,0.995728980869104,16665.59073465305,400.0,50.92,True,False,,CLOSE_INTERACTION_NO_PASS,0.0,-1.0
E_pass_after_45s_outside_horizon,australian_gp_2026_R_00016,STR,PER,2,2026-03-08 04:05:10.372,75.64,30.0,70.2161111111111,-11.076059907834122,-10.136118528191888,0.994524546262136,16048.782842563705,399.99999999999994,76.0,True,False,,CLOSE_INTERACTION_NO_PASS,0.0,0.0
F_long_close_interaction,australian_gp_2026_R_00485,BEA,LIN,25,2026-03-08 04:39:47.974,686.164,30.0,88.66944444444444,1.891472868217079,2.309380807392208,0.9934504020863312,15734.042607596246,400.0,,False,False,41.041,CLOSE_INTERACTION_NO_PASS,0.0,0.0
F_long_close_interaction,australian_gp_2026_R_00079,RUS,LEC,3,2026-03-08 04:07:14.573,392.96,30.0,17.640277777775736,-106.0,-33.64385987170181,0.9945618434878156,22161.774675558503,400.0,,False,False,134.841,CLOSE_INTERACTION_NO_PASS,0.0,1.0
F_long_close_interaction,australian_gp_2026_R_00592,SAI,COL,41,2026-03-08 05:03:42.663,379.16,30.0,29.93055555555556,7.8741935483870975,-6.719590613650861,0.9955796468423264,16342.2032174935,400.0,,False,False,193.082,CLOSE_INTERACTION_NO_PASS,0.0,0.0
G_pair_re_engages_new_under_t0_dedup,australian_gp_2026_R_00232,LAW,COL,8,2026-03-08 04:13:55.294,5.399,30.0,91.618611111111,-9.111702127659555,29.55314998210963,0.993239620110768,14324.80252310116,400.0,,False,False,30.241,CLOSE_INTERACTION_NO_PASS,0.0,0.0
G_pair_re_engages_new_under_t0_dedup,australian_gp_2026_R_00350,PER,SAI,12,2026-03-08 04:21:33.455,11.76,30.0,99.05277777777792,27.390153769841234,18.060626937648234,0.9902082875023492,10795.099070661638,400.0,,False,True,30.32,PIT_RELATED,,0.0
G_pair_re_engages_new_under_t0_dedup,australian_gp_2026_R_00167,LIN,GAS,5,2026-03-08 04:10:18.773,3.88,30.0,45.23805555555418,,,0.9919155715297928,18731.287547671818,400.0,,False,True,30.4,INVALID,,1.0
H_cross_start_finish,australian_gp_2026_R_00036,HAD,LIN,2,2026-03-08 04:06:00.132,4.04,30.0,99.56750000000147,31.144426406926783,7.35013176205856,0.9886609830210954,22043.38964764344,400.0,25.24,False,True,,ON_TRACK_PASS,1.0,0.0
H_cross_start_finish,australian_gp_2026_R_00037,HAM,LEC,2,2026-03-08 04:06:01.932,21.64,30.0,93.59583333333512,26.246492346936805,112.45841319564514,0.983696327885003,8937.607676797448,400.00000000000045,,False,True,,CLOSE_INTERACTION_NO_PASS,0.0,0.0
H_cross_start_finish,australian_gp_2026_R_00038,NOR,LIN,2,2026-03-08 04:06:04.572,5.16,30.0,79.34833333333381,-10.281519575315087,32.307501737185795,0.9935768463054582,9286.771133492632,400.00000000000045,,False,True,61.2,CLOSE_INTERACTION_NO_PASS,0.0,0.0
I_pit_related,australian_gp_2026_R_00247,LAW,COL,8,2026-03-08 04:14:52.773,22.321,30.0,93.01777777777444,-15.162246621621762,29.155496582085974,0.9874253768904706,8645.657329975147,400.0,108.321,True,True,57.479,PIT_RELATED,,0.0
I_pit_related,australian_gp_2026_R_00259,LAW,COL,9,2026-03-08 04:15:32.094,21.4,30.0,98.70861111111115,0.6713411588411873,2.3807125412178998,0.9934437507521,6674.338779710414,399.9999999999999,69.0,True,False,39.321,PIT_RELATED,,-1.0
I_pit_related,australian_gp_2026_R_00260,COL,SAI,9,2026-03-08 04:15:32.094,6.0,30.0,98.23638888888844,-45.55240563529961,87.82272947571414,0.9918134742808232,9132.166324418073,399.9999999999999,,False,False,52.481,PIT_RELATED,,5.0
J_lapped_unlapped,australian_gp_2026_R_00465,PER,LEC,22,2026-03-08 04:36:21.774,19.6,30.0,11.691388888888888,-40.0,-57.88873691376344,0.991361859860732,15378.916818119404,400.0,,False,False,,LAPPED_UNLAPPED,,0.0
J_lapped_unlapped,australian_gp_2026_R_00467,STR,ANT,22,2026-03-08 04:36:35.254,22.04,30.0,11.78638888888888,-21.0,-37.36168722386595,0.9507318124388068,14712.847017821818,400.0,,False,False,,LAPPED_UNLAPPED,,0.0
J_lapped_unlapped,australian_gp_2026_R_00506,ALO,STR,18,2026-03-08 04:46:17.816,8.6,30.0,99.60722222222228,11.836444866920147,51.34126317371802,0.9645918532940476,6396.503664176134,400.0000000000001,,False,False,,LAPPED_UNLAPPED,,0.0
