bin,p_mean,y_rate,n,abs_gap
0,0.03885239281047183,0.046263345195729534,2529,0.007410952385257706
1,0.1471986144677443,0.17105263157894737,760,0.02385401711120308
2,0.24760892459025471,0.2693069306930693,505,0.02169800610281461
3,0.3443934025675808,0.41329479768786126,346,0.06890139512028048
4,0.4514704268360072,0.5170068027210885,294,0.06553637588508127
5,0.5497879427352457,0.6174242424242424,264,0.06763629968899676
6,0.6438437274066655,0.5771144278606966,201,0.06672929954596896
7,0.7490336605398128,0.657608695652174,184,0.09142496488763885
8,0.8517417274411512,0.8036529680365296,219,0.04808875940462154
9,0.9356000211764538,0.8888888888888888,171,0.04671113228756496
