bin,p_mean,y_rate,n,abs_gap
0,0.04565197006840877,0.08789752650176678,2264,0.04224555643335801
1,0.14258715522024287,0.19870410367170627,926,0.056116948451463394
2,0.24925837367779605,0.2669683257918552,442,0.017709952114059152
3,0.3484999037948667,0.29490022172949004,451,0.05359968206537663
4,0.44814973121673596,0.42318059299191374,371,0.024969138224822218
5,0.55059151748715,0.536,375,0.01459151748714993
6,0.6484271784342701,0.5509554140127388,314,0.09747176442153127
7,0.7450448890593244,0.7219917012448133,241,0.023053187814511156
8,0.8370107183426879,0.7590361445783133,83,0.07797457376437467
9,0.9081917148759509,0.6666666666666666,6,0.24152504820928422
