event_id,race_id,circuit,overtake_success,model,p_hat,fold,error_tag
australia_2026_R_00001,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.22297396166338368,australia_2026_R,other
australia_2026_R_00002,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.20267029456971988,australia_2026_R,other
australia_2026_R_00003,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.36513763515813524,australia_2026_R,other
australia_2026_R_00004,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.3157718862823933,australia_2026_R,other
australia_2026_R_00005,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.24198139109306346,australia_2026_R,other
australia_2026_R_00006,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.21749037888399286,australia_2026_R,other
australia_2026_R_00007,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.26594215292583334,australia_2026_R,other
australia_2026_R_00008,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.29623405533556,australia_2026_R,other
australia_2026_R_00009,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.13144805481463126,australia_2026_R,false_negative
australia_2026_R_00010,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.21593280074048726,australia_2026_R,other
australia_2026_R_00011,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.12172230168645905,australia_2026_R,true_negative
australia_2026_R_00012,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.27316868553917584,australia_2026_R,other
australia_2026_R_00013,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.49172180142171273,australia_2026_R,other
australia_2026_R_00014,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.22572821028394194,australia_2026_R,other
australia_2026_R_00015,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.382394142462301,australia_2026_R,other
australia_2026_R_00016,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.16373364534199283,australia_2026_R,true_negative
australia_2026_R_00017,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.11820926267263972,australia_2026_R,true_negative
australia_2026_R_00018,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.30883697776501595,australia_2026_R,other
australia_2026_R_00019,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.16715152607496878,australia_2026_R,true_negative
australia_2026_R_00020,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.18858409662331307,australia_2026_R,true_negative
australia_2026_R_00021,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.36744264237206725,australia_2026_R,other
