column,role
gap_at_start_m,feature_t0_ml
attacker_speed_at_start_kmh,feature_t0_ml
target_speed_at_attacker_position_kmh,feature_t0_ml
relative_speed_same_position_kmh,feature_t0_ml
closing_speed_at_start_kmh,feature_t0_ml
spatial_time_gap_s,feature_t0_ml
spatial_alignment_ok,feature_t0_ml
closing_speed_available,feature_t0_ml
track_position_frac,feature_t0_ml
distance_to_next_corner_m,feature_t0_ml
distance_to_next_straight_m,feature_t0_ml
tyre_age,feature_t0_ml
stint,feature_t0_ml
EstimatedEnergyIndex,feature_t0_ml
LookaheadDeployProxy,feature_t0_ml
LookaheadHarvestProxy,feature_t0_ml
lookahead_truncated,feature_t0_ml
zone_type,feature_t0_ml
compound,feature_t0_ml
