n,n_pos,n_neg,prevalence,noisy_fold,pr_auc,roc_auc,brier,log_loss,model,race_id,circuit
453,61,392,0.1346578366445916,False,0.40301115147349637,0.8102626296420208,0.111388951714394,0.36035783179295083,baseline,australia_2026_R,Australian Grand Prix
1213,545,668,0.44929925803792253,False,0.7044857218459686,0.7561583255507334,0.22722744269312545,0.6912100382429169,baseline,china_2026_R,Chinese Grand Prix
1492,545,947,0.3652815013404826,False,0.5922440249361127,0.7307286166842663,0.20803210323444013,0.6293369414957543,baseline,japan_2026_R,Japanese Grand Prix
363,19,344,0.05234159779614325,True,0.3874501267849193,0.9352815177478581,0.057734077465658645,0.21629485058476616,baseline,canada_2026_R,Canadian Grand Prix
665,19,646,0.02857142857142857,True,0.502552123394602,0.9244744989408507,0.03450225233754071,0.16899647676196305,baseline,monaco_2026_R,Monaco Grand Prix
538,23,515,0.04275092936802974,True,0.5065980945881425,0.9508653440270156,0.05326584166558565,0.20764368798905802,baseline,austria_2026_R,Austrian Grand Prix
749,194,555,0.2590120160213618,False,0.784127920790785,0.8751277050246122,0.12021169199839864,0.3881349799251242,baseline,netherlands_2026_R,Dutch Grand Prix
453,61,392,0.1346578366445916,False,0.42835412671264983,0.82694881231181,0.11530882314655516,0.36230585529917186,logistic,australia_2026_R,Australian Grand Prix
1213,545,668,0.44929925803792253,False,0.6997461503142229,0.7651898038784817,0.2181975322352011,0.6770769698172227,logistic,china_2026_R,Chinese Grand Prix
1492,545,947,0.3652815013404826,False,0.620804384045894,0.7389322147195877,0.20553082558422994,0.6170561837561694,logistic,japan_2026_R,Japanese Grand Prix
363,19,344,0.05234159779614325,True,0.3774472991630834,0.9374235006119951,0.04821907228191161,0.17123679467316372,logistic,canada_2026_R,Canadian Grand Prix
665,19,646,0.02857142857142857,True,0.08436852897132671,0.7150073325729184,0.0825946835266278,0.2961256461498586,logistic,monaco_2026_R,Monaco Grand Prix
538,23,515,0.04275092936802974,True,0.4267904827790038,0.951962853524694,0.05298927042384988,0.18835324556531854,logistic,austria_2026_R,Austrian Grand Prix
749,194,555,0.2590120160213618,False,0.5977062862760513,0.8049038729451101,0.16037078732963114,0.48797500063333715,logistic,netherlands_2026_R,Dutch Grand Prix
453,61,392,0.1346578366445916,False,0.5010216354159007,0.8542363666778187,0.09660542643081954,0.31479360776864834,gbdt,australia_2026_R,Australian Grand Prix
1213,545,668,0.44929925803792253,False,0.7801936071606639,0.807934131736527,0.19380895528726166,0.5856560414814094,gbdt,china_2026_R,Chinese Grand Prix
1492,545,947,0.3652815013404826,False,0.6839973408326088,0.7882148358408494,0.18361225391850808,0.5587118591715233,gbdt,japan_2026_R,Japanese Grand Prix
363,19,344,0.05234159779614325,True,0.395821153753593,0.9377294981640147,0.04100178760422476,0.14665515506514196,gbdt,canada_2026_R,Canadian Grand Prix
665,19,646,0.02857142857142857,True,0.3712673608153229,0.8945738960404106,0.028096201980803485,0.13321377572444393,gbdt,monaco_2026_R,Monaco Grand Prix
538,23,515,0.04275092936802974,True,0.4299120017805257,0.9473195441114395,0.03682476850574524,0.14131001311757524,gbdt,austria_2026_R,Austrian Grand Prix
749,194,555,0.2590120160213618,False,0.8075176871346214,0.9183012909817033,0.10701596822949035,0.3330874984340603,gbdt,netherlands_2026_R,Dutch Grand Prix
