event_id,race_id,circuit,event_start_time,p_hat,EstimatedEnergyIndex,LookaheadDeployProxy,LookaheadHarvestProxy,LookaheadCoveredM,lookahead_truncated,zone_type,strategy_action,strategy_reason_code,strategy_reason,strategy_deploy_share,strategy_lookahead_usable,strategy_spend_compatible,strategy_ablation,split,overtake_success_analysis_only
australia_2026_R_00001,australia_2026_R,Australian Grand Prix,2026-03-08 04:04:59.732,0.2229739616633836,0.9226286429944076,15958.729875332188,99495.19053575172,400.0,False,straight,SAVE,p_hat_below_gate,Overtake probability below the strategic opportunity threshold.,0.13822596771516912,True,True,B,development_ablation_B,0.0
australia_2026_R_00002,australia_2026_R,Australian Grand Prix,2026-03-08 04:05:03.132,0.2026702945697198,0.961294958210956,15778.548170598024,99480.5011196688,400.0,False,straight,SAVE,p_hat_below_gate,Overtake probability below the strategic opportunity threshold.,0.1368963935392313,True,True,B,development_ablation_B,0.0
australia_2026_R_00003,australia_2026_R,Australian Grand Prix,2026-03-08 04:05:03.372,0.3651376351581352,0.9666518485396528,16316.251899633342,99524.3377223737,400.0,False,straight,SAVE,p_hat_below_gate,Overtake probability below the strategic opportunity threshold.,0.1408509051350135,True,True,B,development_ablation_B,1.0
australia_2026_R_00004,australia_2026_R,Australian Grand Prix,2026-03-08 04:05:03.772,0.3157718862823933,0.9570592919281312,14689.633683362805,99461.24839436752,400.0,False,straight,SAVE,p_hat_below_gate,Overtake probability below the strategic opportunity threshold.,0.1286861162698681,True,True,B,development_ablation_B,0.0
australia_2026_R_00005,australia_2026_R,Australian Grand Prix,2026-03-08 04:05:04.212,0.2419813910930634,0.9328061862729335,15362.190530768656,99446.55732598693,400.0,False,straight,SAVE,p_hat_below_gate,Overtake probability below the strategic opportunity threshold.,0.1338067944956227,True,True,B,development_ablation_B,0.0
australia_2026_R_00006,australia_2026_R,Australian Grand Prix,2026-03-08 04:05:04.452,0.2174903788839928,0.9610640446085584,16243.22830083706,99518.38443189858,400.0,False,straight,SAVE,p_hat_below_gate,Overtake probability below the strategic opportunity threshold.,0.14031618873813184,True,True,B,development_ablation_B,0.0
australia_2026_R_00007,australia_2026_R,Australian Grand Prix,2026-03-08 04:05:05.172,0.2659421529258333,0.96179998348075,15521.80060689251,99459.56962833289,400.0,False,straight,SAVE,p_hat_below_gate,Overtake probability below the strategic opportunity threshold.,0.13499404795001557,True,True,B,development_ablation_B,1.0
australia_2026_R_00008,australia_2026_R,Australian Grand Prix,2026-03-08 04:05:05.452,0.29623405533556,0.966444023193995,15531.063522537484,99460.3247928056,400.0,False,straight,SAVE,p_hat_below_gate,Overtake probability below the strategic opportunity threshold.,0.13506284035763055,True,True,B,development_ablation_B,0.0
australia_2026_R_00009,australia_2026_R,Australian Grand Prix,2026-03-08 04:05:05.612,0.1314480548146312,0.960758381241728,16446.718835225915,99534.97411359228,400.0,False,straight,SAVE,p_hat_below_gate,Overtake probability below the strategic opportunity threshold.,0.14180443841670531,True,True,B,development_ablation_B,1.0
australia_2026_R_00010,australia_2026_R,Australian Grand Prix,2026-03-08 04:05:06.212,0.2159328007404872,0.9625917851317504,16502.779364574184,99539.54448017104,400.0,False,straight,SAVE,p_hat_below_gate,Overtake probability below the strategic opportunity threshold.,0.14221345124606002,True,True,B,development_ablation_B,0.0
australia_2026_R_00011,australia_2026_R,Australian Grand Prix,2026-03-08 04:05:07.612,0.121722301686459,0.9195061805309944,16732.230688107084,99558.25062998309,400.0,False,straight,SAVE,p_hat_below_gate,Overtake probability below the strategic opportunity threshold.,0.1438830633294852,True,True,B,development_ablation_B,0.0
australia_2026_R_00012,australia_2026_R,Australian Grand Prix,2026-03-08 04:05:08.291,0.2731686855391758,0.8947025676238476,16225.33704556778,99516.92583712457,400.0,False,straight,SAVE,p_hat_below_gate,Overtake probability below the strategic opportunity threshold.,0.14018506845690895,True,True,B,development_ablation_B,1.0
australia_2026_R_00013,australia_2026_R,Australian Grand Prix,2026-03-08 04:05:08.451,0.4917218014217127,0.9774080129414116,16507.04144232494,99539.89194848672,400.0,False,straight,ATTACK,attack,High overtake probability with sufficient energy for the immediate deployment window.,0.14224452951922578,True,True,B,development_ablation_B,0.0
australia_2026_R_00014,australia_2026_R,Australian Grand Prix,2026-03-08 04:05:08.972,0.2257282102839419,0.9626711549245804,16665.590734653048,99552.81776982963,400.0,False,straight,SAVE,p_hat_below_gate,Overtake probability below the strategic opportunity threshold.,0.143398889634685,True,True,B,development_ablation_B,0.0
australia_2026_R_00015,australia_2026_R,Australian Grand Prix,2026-03-08 04:05:09.532,0.382394142462301,0.9625310812785742,16080.047550686471,99505.08102831928,400.0,False,straight,SAVE,p_hat_below_gate,Overtake probability below the strategic opportunity threshold.,0.1391186543491648,True,True,B,development_ablation_B,0.0
australia_2026_R_00016,australia_2026_R,Australian Grand Prix,2026-03-08 04:05:10.372,0.1637336453419928,0.9521443575797204,16048.782842563704,99502.53215518592,400.0,False,straight,SAVE,p_hat_below_gate,Overtake probability below the strategic opportunity threshold.,0.13888879449685412,True,True,B,development_ablation_B,0.0
australia_2026_R_00017,australia_2026_R,Australian Grand Prix,2026-03-08 04:05:12.892,0.1182092626726397,0.999302549777057,24362.20667345048,1804.0717021988632,400.0,False,brake,SAVE,p_hat_below_gate,Overtake probability below the strategic opportunity threshold.,0.9310535615229961,True,True,B,development_ablation_B,0.0
australia_2026_R_00018,australia_2026_R,Australian Grand Prix,2026-03-08 04:05:15.972,0.3088369777650159,0.9887152410353904,22788.103439062543,42244.19542672794,400.0,False,straight,SAVE,p_hat_below_gate,Overtake probability below the strategic opportunity threshold.,0.3504120850178029,True,True,B,development_ablation_B,1.0
australia_2026_R_00019,australia_2026_R,Australian Grand Prix,2026-03-08 04:05:19.532,0.1671515260749687,1.0,10994.357559984606,17465.38657301021,400.0,False,brake,SAVE,p_hat_below_gate,Overtake probability below the strategic opportunity threshold.,0.38631259327585776,True,False,B,development_ablation_B,0.0
